sampling_seed,spec_id,worker_sha256,checkpoint_sha256,cohort,fold,generator_seed,worm,phase,event,cut,lag,method,particles,mc_seed,contrast_fraction,steps_factor,sources,panel,file,wall_seconds,transition_samples,calls,velocity_network_sample_evaluations
195830,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,16,direct,16384,91101,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell16_direct_N16384_mc91101_a1.0_steps1.npz,42.7005319170421,851968,52,40894464
195831,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,16,direct,16384,91102,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell16_direct_N16384_mc91102_a1.0_steps1.npz,41.7170870420523,851968,52,40894464
195832,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,16,direct,16384,91103,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell16_direct_N16384_mc91103_a1.0_steps1.npz,41.723712959035765,851968,52,40894464
91101,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,16,direct,4096,91101,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell16_direct_N4096_mc91101_a1.0_steps1.npz,10.157765624986496,212992,52,10223616
91102,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,16,direct,4096,91102,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell16_direct_N4096_mc91102_a1.0_steps1.npz,10.061051875003614,212992,52,10223616
91103,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,16,direct,4096,91103,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell16_direct_N4096_mc91103_a1.0_steps1.npz,10.053482957999222,212992,52,10223616
91101,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,16,progressive,128,91101,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell16_progressive_N128_mc91101_a1.0_steps1.npz,14.977439959009644,294912,288,14155776
91102,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,16,progressive,128,91102,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell16_progressive_N128_mc91102_a1.0_steps1.npz,14.91028254199773,294912,288,14155776
91103,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,16,progressive,128,91103,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell16_progressive_N128_mc91103_a1.0_steps1.npz,14.933520541992038,294912,288,14155776
91101,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,16,progressive,512,91101,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell16_progressive_N512_mc91101_a1.0_steps1.npz,59.379333874967415,1179648,1152,56623104
91102,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,16,progressive,512,91102,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell16_progressive_N512_mc91102_a1.0_steps1.npz,59.64915991696762,1179648,1152,56623104
91103,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,16,progressive,512,91103,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell16_progressive_N512_mc91103_a1.0_steps1.npz,59.526297291973606,1179648,1152,56623104
91101,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,16,progressive,64,91101,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell16_progressive_N64_mc91101_a1.0_steps1.npz,7.533602625015192,147456,144,7077888
91102,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,16,progressive,64,91102,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell16_progressive_N64_mc91102_a1.0_steps1.npz,7.546771833032835,147456,144,7077888
91103,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,16,progressive,64,91103,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell16_progressive_N64_mc91103_a1.0_steps1.npz,7.593370250018779,147456,144,7077888
195830,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,1,direct,16384,91101,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell1_direct_N16384_mc91101_a1.0_steps1.npz,30.51207733299816,606208,37,29097984
195831,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,1,direct,16384,91102,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell1_direct_N16384_mc91102_a1.0_steps1.npz,30.95809733303031,606208,37,29097984
