method,particles,lag,phase,mean_absolute_difference,reference_resolved_fraction,valid_fraction,mean_ess,resolved_reference_mae,resolved_reference_cells
direct,4096,1,baseline,0.2363439330879695,0.4592767295597484,0.6583333333333333,403.8036808144361,0.05287266375322352,17526
direct,4096,1,onset,0.3326975918129316,0.47523584905660377,0.725,315.0422440432798,0.058109325850519214,18135
direct,4096,4,baseline,0.27098579980876747,0.4269654088050314,0.6583333333333333,326.87664751922017,0.060589020076537006,16293
direct,4096,4,onset,0.3765036514760028,0.40738993710691823,0.6666666666666666,305.1653009262002,0.06144238809440362,15546
direct,4096,8,baseline,0.3197631837953585,0.3981918238993711,0.675,360.3336148854535,0.06618541952255128,15195
direct,4096,8,onset,0.4211709975468953,0.3999213836477987,0.675,313.96261463399827,0.06851808940498046,15261
direct,4096,16,baseline,0.20300029127947997,0.4214622641509434,0.7416666666666667,390.6151088870326,0.07102707283670612,16083
direct,4096,16,onset,0.42914099800213806,0.35566037735849054,0.6666666666666666,337.43598966100075,0.07332835200275242,13572
direct,16384,1,baseline,0.1804860905456808,0.4592767295597484,0.8166666666666667,1609.759914312919,0.023187040989406993,17526
direct,16384,1,onset,0.2577224354504803,0.47523584905660377,0.7666666666666667,1242.0030876904518,0.02616617623783488,18135
direct,16384,4,baseline,0.202823741112512,0.4269654088050314,0.7833333333333333,1298.2779601696095,0.02410507490742795,16293
direct,16384,4,onset,0.2973424879138914,0.40738993710691823,0.7166666666666667,1198.5680101879063,0.026732752575756958,15546
direct,16384,8,baseline,0.23425689917096507,0.3981918238993711,0.8083333333333333,1433.3406950742612,0.025553813005119306,15195
direct,16384,8,onset,0.30646428985134616,0.3999213836477987,0.7583333333333333,1225.7931539398623,0.028042329967357418,15261
direct,16384,16,baseline,0.13980127978070928,0.4214622641509434,0.8583333333333333,1565.978232128648,0.02801852543843772,16083
direct,16384,16,onset,0.32434679817740303,0.35566037735849054,0.7166666666666667,1324.457213157537,0.029840930258563648,13572
progressive,64,1,baseline,0.17074494689368258,0.4592767295597484,0.9333333333333333,63.99976768493652,0.09654663143513002,17526
progressive,64,1,onset,0.19777154738128383,0.47523584905660377,0.9166666666666666,63.99959144592285,0.09386425425871237,18135
progressive,64,4,baseline,0.18496654417018216,0.4269654088050314,0.9166666666666666,63.99978291193644,0.09597272938385477,16293
progressive,64,4,onset,0.2116262156715591,0.40738993710691823,0.9,63.999709065755205,0.08916752214904561,15546
progressive,64,8,baseline,0.1879963317892335,0.3981918238993711,0.9416666666666667,63.99980805714925,0.09294938869395045,15195
progressive,64,8,onset,0.21679892159534397,0.3999213836477987,0.8916666666666667,63.99974648157755,0.08792511734842313,15261
progressive,64,16,baseline,0.13453571805810596,0.4214622641509434,0.925,63.9996870358785,0.08915135121412308,16083
progressive,64,16,onset,0.21223179824484822,0.35566037735849054,0.8833333333333333,63.999741617838545,0.08789724819830509,13572
progressive,128,1,baseline,0.13678799583178636,0.4592767295597484,0.9666666666666667,127.99953899383544,0.0668274851807835,17526
progressive,128,1,onset,0.16966291668104483,0.47523584905660377,0.9166666666666666,127.99916934967041,0.06959715832442127,18135
progressive,128,4,baseline,0.14467455044402414,0.4269654088050314,0.9666666666666667,127.9995459874471,0.06653468429381795,16293
progressive,128,4,onset,0.18342946442268132,0.40738993710691823,0.925,127.99941323598226,0.06711586253160458,15546
progressive,128,8,baseline,0.1562094894419999,0.3981918238993711,0.95,127.99960492451986,0.06770618986266959,15195
progressive,128,8,onset,0.18927737446775783,0.3999213836477987,0.9083333333333333,127.9994728088379,0.06691183223202786,15261
progressive,128,16,baseline,0.11098880456476853,0.4214622641509434,0.925,127.99937203725179,0.06670752051389692,16083
progressive,128,16,onset,0.1889671435331993,0.35566037735849054,0.8916666666666667,127.99947770436604,0.06354820564856353,13572
progressive,512,1,baseline,0.11014786660205533,0.4592767295597484,0.975,511.9981165568034,0.03714403561196332,17526
progressive,512,1,onset,0.13354951265636952,0.47523584905660377,0.9416666666666667,511.9966178894043,0.037945122769889386,18135
progressive,512,4,baseline,0.11890889696366075,0.4269654088050314,0.9666666666666667,511.998184967041,0.038013766545473615,16293
progressive,512,4,onset,0.15199140107003986,0.40738993710691823,0.95,511.9976099650065,0.03698116115483482,15546
progressive,512,8,baseline,0.1338973996334299,0.3981918238993711,0.9666666666666667,511.99841995239257,0.039342037200767385,15195
progressive,512,8,onset,0.16031397179797216,0.3999213836477987,0.9166666666666666,511.9978889465332,0.03721116761509139,15261
progressive,512,16,baseline,0.08376841457389651,0.4214622641509434,0.9333333333333333,511.9974917093913,0.03843424069442879,16083
progressive,512,16,onset,0.15840145735776265,0.35566037735849054,0.9333333333333333,511.99789199829104,0.037046666279025364,13572
