cohort,channel,context,source_lag_frames,horizon_frames,source_to_endpoint_frames,scope,reference,method,n_edges,n_positive,prevalence,auroc,auprc,source_macro_auroc,n_macro_sources
clean54,endpoint_mean,state_average,1,1,2,all_common,randi_wild_type,flow,1349,257,0.1905114899925871,0.6714734681660751,0.3545690268378635,0.6651467832690147,40
clean54,endpoint_mean,state_average,1,1,2,all_common,cook_struct,flow,2862,758,0.26484975541579314,0.6142483973233546,0.38451311315747083,0.6027711852500461,54
clean54,endpoint_mean,state_average,1,1,2,all_common,cook_chem,flow,2862,699,0.24423480083857443,0.601492654786542,0.34968711837816085,0.590015684345389,54
clean54,endpoint_mean,state_average,1,1,2,all_common,cook_gap,flow,2862,169,0.05904961565338924,0.6779839030403172,0.13217963606796884,0.6959588421636455,45
clean54,endpoint_mean,state_average,1,1,2,strong_fixed_support,randi_wild_type,flow,824,133,0.16140776699029127,0.6505228338574365,0.3054372480813565,0.6318694373247863,24
clean54,endpoint_mean,state_average,1,1,2,strong_fixed_support,cook_struct,flow,1749,439,0.2510005717552887,0.6187205480881254,0.37855246022698674,0.6039405246949604,33
clean54,endpoint_mean,state_average,1,1,2,strong_fixed_support,cook_chem,flow,1749,405,0.23156089193825044,0.609893077601411,0.35085367459639827,0.594326615231043,33
clean54,endpoint_mean,state_average,1,1,2,strong_fixed_support,cook_gap,flow,1749,98,0.05603201829616924,0.6589883682122152,0.13931777522039465,0.6732220421255777,28
clean54,endpoint_mean,state_average,1,2,3,all_common,randi_wild_type,flow,1349,257,0.1905114899925871,0.6688010433146621,0.3487413201604746,0.6605083447254779,40
clean54,endpoint_mean,state_average,1,2,3,all_common,cook_struct,flow,2862,758,0.26484975541579314,0.6136270152592875,0.3821497550746318,0.5969221550407854,54
clean54,endpoint_mean,state_average,1,2,3,all_common,cook_chem,flow,2862,699,0.24423480083857443,0.6003768675546666,0.3470806108358089,0.5846979251351203,54
clean54,endpoint_mean,state_average,1,2,3,all_common,cook_gap,flow,2862,169,0.05904961565338924,0.6821740343691841,0.13256589209209585,0.686674933400023,45
clean54,endpoint_mean,state_average,1,2,3,strong_fixed_support,randi_wild_type,flow,824,133,0.16140776699029127,0.648531603973755,0.2996440976121747,0.6301380871743185,24
clean54,endpoint_mean,state_average,1,2,3,strong_fixed_support,cook_struct,flow,1749,439,0.2510005717552887,0.6176094176563669,0.37456430811219465,0.5989004300790366,33
clean54,endpoint_mean,state_average,1,2,3,strong_fixed_support,cook_chem,flow,1749,405,0.23156089193825044,0.6090057319223986,0.34778425197980134,0.5907285518527539,33
clean54,endpoint_mean,state_average,1,2,3,strong_fixed_support,cook_gap,flow,1749,98,0.05603201829616924,0.6570600378249423,0.1355677723131832,0.6559719942542813,28
clean54,endpoint_mean,state_average,1,4,5,all_common,randi_wild_type,flow,1349,257,0.1905114899925871,0.6646997619760266,0.3347431269983899,0.6536307124979333,40
clean54,endpoint_mean,state_average,1,4,5,all_common,cook_struct,flow,2862,758,0.26484975541579314,0.612829439088255,0.3788008975201824,0.5937624456360863,54
clean54,endpoint_mean,state_average,1,4,5,all_common,cook_chem,flow,2862,699,0.24423480083857443,0.5995057995141331,0.343549106000682,0.5820467098217647,54
clean54,endpoint_mean,state_average,1,4,5,all_common,cook_gap,flow,2862,169,0.05904961565338924,0.6851930382736746,0.13361952192966006,0.6862002019153762,45
clean54,endpoint_mean,state_average,1,4,5,strong_fixed_support,randi_wild_type,flow,824,133,0.16140776699029127,0.649173585193084,0.2936723178186976,0.6266163339807669,24
clean54,endpoint_mean,state_average,1,4,5,strong_fixed_support,cook_struct,flow,1749,439,0.2510005717552887,0.6154601888400076,0.3697506882960996,0.5969118095265649,33
clean54,endpoint_mean,state_average,1,4,5,strong_fixed_support,cook_chem,flow,1749,405,0.23156089193825044,0.60760949441505,0.3440334090890707,0.5906889641889159,33
clean54,endpoint_mean,state_average,1,4,5,strong_fixed_support,cook_gap,flow,1749,98,0.05603201829616924,0.6603604494493132,0.13443990828625574,0.6571740412709409,28
clean54,endpoint_mean,state_average,1,8,9,all_common,randi_wild_type,flow,1349,257,0.1905114899925871,0.653135288835678,0.3057764776671224,0.6374462413888367,40
clean54,endpoint_mean,state_average,1,8,9,all_common,cook_struct,flow,2862,758,0.26484975541579314,0.6115681777140163,0.374922443594031,0.5881156087500623,54
clean54,endpoint_mean,state_average,1,8,9,all_common,cook_chem,flow,2862,699,0.24423480083857443,0.59973034590727,0.3390759111155612,0.5775517650130378,54
clean54,endpoint_mean,state_average,1,8,9,all_common,cook_gap,flow,2862,169,0.05904961565338924,0.6747034279097464,0.13258949112866167,0.6739334396830625,45
clean54,endpoint_mean,state_average,1,8,9,strong_fixed_support,randi_wild_type,flow,824,133,0.16140776699029127,0.6523236455828428,0.27857174486827824,0.6283238669642206,24
clean54,endpoint_mean,state_average,1,8,9,strong_fixed_support,cook_struct,flow,1749,439,0.2510005717552887,0.603655949503556,0.3577592418532759,0.5908825425798987,33
clean54,endpoint_mean,state_average,1,8,9,strong_fixed_support,cook_chem,flow,1749,405,0.23156089193825044,0.5984448486184597,0.33293121432208667,0.5869894321979174,33
clean54,endpoint_mean,state_average,1,8,9,strong_fixed_support,cook_gap,flow,1749,98,0.05603201829616924,0.6451254032806338,0.13333202265843597,0.6489469995876899,28
clean54,endpoint_mean,state_average,1,16,17,all_common,randi_wild_type,flow,1349,257,0.1905114899925871,0.6212496971251834,0.27068137510949025,0.59478807368217,40
clean54,endpoint_mean,state_average,1,16,17,all_common,cook_struct,flow,2862,758,0.26484975541579314,0.6052662600198642,0.3694298954749176,0.5739887601868733,54
clean54,endpoint_mean,state_average,1,16,17,all_common,cook_chem,flow,2862,699,0.24423480083857443,0.5939605949189681,0.3339510792038355,0.565967886211599,54
clean54,endpoint_mean,state_average,1,16,17,all_common,cook_gap,flow,2862,169,0.05904961565338924,0.6598457100042407,0.12616906759499405,0.6400417461063532,45
clean54,endpoint_mean,state_average,1,16,17,strong_fixed_support,randi_wild_type,flow,824,133,0.16140776699029127,0.6425687953603254,0.2633711453330633,0.609038219652963,24
clean54,endpoint_mean,state_average,1,16,17,strong_fixed_support,cook_struct,flow,1749,439,0.2510005717552887,0.5967639847676016,0.3377772746162205,0.5827355115830561,33
clean54,endpoint_mean,state_average,1,16,17,strong_fixed_support,cook_chem,flow,1749,405,0.23156089193825044,0.5896549823633157,0.3112093910056052,0.5811167912349905,33
clean54,endpoint_mean,state_average,1,16,17,strong_fixed_support,cook_gap,flow,1749,98,0.05603201829616924,0.6496372019431638,0.1258047588695648,0.6323592640867383,28
clean54,endpoint_mean,state_average,1,32,33,all_common,randi_wild_type,flow,1349,257,0.1905114899925871,0.6019619161642509,0.2532883706165584,0.5643852746006209,40
clean54,endpoint_mean,state_average,1,32,33,all_common,cook_struct,flow,2862,758,0.26484975541579314,0.5831366564001725,0.3573020028849504,0.5505937257252357,54
clean54,endpoint_mean,state_average,1,32,33,all_common,cook_chem,flow,2862,699,0.24423480083857443,0.5758566659854214,0.3234055360934537,0.5467675958234267,54
clean54,endpoint_mean,state_average,1,32,33,all_common,cook_gap,flow,2862,169,0.05904961565338924,0.6434323481654168,0.12076563932376135,0.6063514024608693,45
clean54,endpoint_mean,state_average,1,32,33,strong_fixed_support,randi_wild_type,flow,824,133,0.16140776699029127,0.6207196718279056,0.25521097325663167,0.5811706621553788,24
clean54,endpoint_mean,state_average,1,32,33,strong_fixed_support,cook_struct,flow,1749,439,0.2510005717552887,0.5760733102644804,0.31156656060472526,0.5601788296511901,33
clean54,endpoint_mean,state_average,1,32,33,strong_fixed_support,cook_chem,flow,1749,405,0.23156089193825044,0.5702766754850088,0.2806494618767446,0.5602101495923223,33
clean54,endpoint_mean,state_average,1,32,33,strong_fixed_support,cook_gap,flow,1749,98,0.05603201829616924,0.6492972719069456,0.11602319140475933,0.6230857793457074,28
clean54,endpoint_mean,state_average,4,1,5,all_common,randi_wild_type,flow,1349,257,0.1905114899925871,0.6517117771981585,0.3290973192835096,0.6314354373453341,40
clean54,endpoint_mean,state_average,4,1,5,all_common,cook_struct,flow,2862,758,0.26484975541579314,0.6093939675150737,0.37742456310405614,0.5927276649716328,54
clean54,endpoint_mean,state_average,4,1,5,all_common,cook_chem,flow,2862,699,0.24423480083857443,0.5979786194795154,0.34328790184446895,0.5823297597571774,54
clean54,endpoint_mean,state_average,4,1,5,all_common,cook_gap,flow,2862,169,0.05904961565338924,0.6805480788456595,0.13296978208275273,0.6908574819598653,45
clean54,endpoint_mean,state_average,4,1,5,strong_fixed_support,randi_wild_type,flow,824,133,0.16140776699029127,0.6280426101433032,0.2858672062822418,0.6097736566219929,24
clean54,endpoint_mean,state_average,4,1,5,strong_fixed_support,cook_struct,flow,1749,439,0.2510005717552887,0.6076683649515728,0.3674902748859642,0.5965297246837985,33
clean54,endpoint_mean,state_average,4,1,5,strong_fixed_support,cook_chem,flow,1749,405,0.23156089193825044,0.5999853027630806,0.34169585317153073,0.5898376834952342,33
clean54,endpoint_mean,state_average,4,1,5,strong_fixed_support,cook_gap,flow,1749,98,0.05603201829616924,0.6654841221770356,0.13491813865644953,0.6690397575129859,28
clean54,endpoint_mean,state_average,4,2,6,all_common,randi_wild_type,flow,1349,257,0.1905114899925871,0.6501225752198515,0.3217315965653055,0.6331633342293606,40
clean54,endpoint_mean,state_average,4,2,6,all_common,cook_struct,flow,2862,758,0.26484975541579314,0.6089851470248904,0.3759879659819409,0.5910055783590148,54
clean54,endpoint_mean,state_average,4,2,6,all_common,cook_chem,flow,2862,699,0.24423480083857443,0.5977047985465003,0.3419385090036608,0.5797831821337063,54
clean54,endpoint_mean,state_average,4,2,6,all_common,cook_gap,flow,2862,169,0.05904961565338924,0.6798142016228794,0.1324271526525679,0.6920932721787623,45
clean54,endpoint_mean,state_average,4,2,6,strong_fixed_support,randi_wild_type,flow,824,133,0.16140776699029127,0.631578947368421,0.28281119432878454,0.6168519723438441,24
clean54,endpoint_mean,state_average,4,2,6,strong_fixed_support,cook_struct,flow,1749,439,0.2510005717552887,0.604893147159575,0.3649035803748001,0.5944516943472374,33
clean54,endpoint_mean,state_average,4,2,6,strong_fixed_support,cook_chem,flow,1749,405,0.23156089193825044,0.5975767930629041,0.3395162952901289,0.5873365344222146,33
clean54,endpoint_mean,state_average,4,2,6,strong_fixed_support,cook_gap,flow,1749,98,0.05603201829616924,0.6655644692765053,0.13480808079950707,0.6711799318437255,28
clean54,endpoint_mean,state_average,4,4,8,all_common,randi_wild_type,flow,1349,257,0.1905114899925871,0.6470118726928066,0.30747125792770025,0.6303820511249121,40
