cohort,channel,context,lag,horizon,comparison,scope,n_edges,spearman,rmse,sign_agreement
clean54,endpoint_mean,state_average,1,1,generator_0_vs_1,all,2862,0.561531060561284,0.043143783,0.7232704402515723
clean54,endpoint_mean,state_average,1,1,generator_0_vs_1,strong,1749,0.5323206980834889,0.042132407,0.7261292166952544
clean54,endpoint_mean,state_average,1,1,generator_0_vs_2,all,2862,0.5513659385149254,0.04515951,0.7197763801537387
clean54,endpoint_mean,state_average,1,1,generator_0_vs_2,strong,1749,0.520074500517832,0.043886278,0.7066895368782161
clean54,endpoint_mean,state_average,1,1,generator_1_vs_2,all,2862,0.5578546686443169,0.044591386,0.7218728162124388
clean54,endpoint_mean,state_average,1,1,generator_1_vs_2,strong,1749,0.5382227198991587,0.04324852,0.7175528873642081
clean54,endpoint_mean,state_average,1,1,independent_MC,all,2862,0.9036737421698136,0.020043114,0.8850454227812719
clean54,endpoint_mean,state_average,1,1,independent_MC,strong,1749,0.9052235256647846,0.018332792,0.8896512292738707
clean54,endpoint_mean,state_average,1,1,direct_N4096,all,2862,0.8690017045619783,0.02344406,0.8612858141160028
clean54,endpoint_mean,state_average,1,1,direct_N4096,strong,1749,0.8633874925212949,0.022694461,0.8684962835906233
clean54,endpoint_mean,state_average,1,2,generator_0_vs_1,all,2862,0.5928164638801827,0.04319139,0.7354996505939903
clean54,endpoint_mean,state_average,1,2,generator_0_vs_1,strong,1749,0.5527039240281328,0.0421699,0.7307032590051458
clean54,endpoint_mean,state_average,1,2,generator_0_vs_2,all,2862,0.5804972667553157,0.04532215,0.7309573724668065
clean54,endpoint_mean,state_average,1,2,generator_0_vs_2,strong,1749,0.5437345896623129,0.04397494,0.7141223556317896
clean54,endpoint_mean,state_average,1,2,generator_1_vs_2,all,2862,0.5853504945925476,0.044761747,0.7299091544374563
clean54,endpoint_mean,state_average,1,2,generator_1_vs_2,strong,1749,0.5576328680602243,0.043426994,0.7192681532304174
clean54,endpoint_mean,state_average,1,2,independent_MC,all,2862,0.9144303371060365,0.019698614,0.8860936408106219
clean54,endpoint_mean,state_average,1,2,independent_MC,strong,1749,0.9130445997161596,0.01802333,0.8856489422527158
clean54,endpoint_mean,state_average,1,2,direct_N4096,all,2862,0.8758173812771679,0.02392553,0.8535988819007687
clean54,endpoint_mean,state_average,1,2,direct_N4096,strong,1749,0.8672469741734452,0.023429137,0.8536306460834763
clean54,endpoint_mean,state_average,1,4,generator_0_vs_1,all,2862,0.6359946810038981,0.043794382,0.7547169811320755
clean54,endpoint_mean,state_average,1,4,generator_0_vs_1,strong,1749,0.5821174444052557,0.042482313,0.7421383647798742
clean54,endpoint_mean,state_average,1,4,generator_0_vs_2,all,2862,0.6225729787808809,0.04604133,0.7459818308874913
clean54,endpoint_mean,state_average,1,4,generator_0_vs_2,strong,1749,0.5783369917073988,0.04428291,0.7289879931389366
clean54,endpoint_mean,state_average,1,4,generator_1_vs_2,all,2862,0.6267887746446265,0.045302447,0.7473794549266247
clean54,endpoint_mean,state_average,1,4,generator_1_vs_2,strong,1749,0.5916450504290407,0.04365973,0.743281875357347
clean54,endpoint_mean,state_average,1,4,independent_MC,all,2862,0.9303142200418448,0.019106938,0.8885394828791056
clean54,endpoint_mean,state_average,1,4,independent_MC,strong,1749,0.9262274232826453,0.017475503,0.8862206975414523
clean54,endpoint_mean,state_average,1,4,direct_N4096,all,2862,0.8752636368718707,0.025625752,0.8549965059399022
clean54,endpoint_mean,state_average,1,4,direct_N4096,strong,1749,0.857748259080844,0.025330247,0.8467695826186392
clean54,endpoint_mean,state_average,1,8,generator_0_vs_1,all,2862,0.6792685535673063,0.04538292,0.7578616352201258
clean54,endpoint_mean,state_average,1,8,generator_0_vs_1,strong,1749,0.6171730938203888,0.043132666,0.7398513436249285
clean54,endpoint_mean,state_average,1,8,generator_0_vs_2,all,2862,0.6736668443990284,0.047378395,0.7627533193570929
clean54,endpoint_mean,state_average,1,8,generator_0_vs_2,strong,1749,0.6330485584533336,0.044215694,0.7455688965122927
clean54,endpoint_mean,state_average,1,8,generator_1_vs_2,all,2862,0.677453765086501,0.04632377,0.753319357092942
clean54,endpoint_mean,state_average,1,8,generator_1_vs_2,strong,1749,0.6394211294512664,0.043758754,0.7392795883361921
clean54,endpoint_mean,state_average,1,8,independent_MC,all,2862,0.9471792171054126,0.018358408,0.9091544374563243
clean54,endpoint_mean,state_average,1,8,independent_MC,strong,1749,0.9409573033934676,0.016767548,0.9039451114922813
clean54,endpoint_mean,state_average,1,8,direct_N4096,all,2862,0.88146810138749,0.027574053,0.856743535988819
