cohort,channel,context,reference,scope,permutations,n_edges,status,best_nominal_lag,max_auroc,permutation_p,auroc_lag1,auroc_lag4,auroc_lag8,auroc_lag16,holm_family_p
historical80,endpoint_mean,state_average,randi_wild_type,strong_fixed_support,2000,1051,evaluated,1,0.6318156001514578,0.0009995002498750624,0.6318156001514578,0.6217263031679919,0.6131515839959611,0.6134197904834028,0.010994502748625687
historical80,endpoint_mean,state_average,cook_struct,strong_fixed_support,2000,4503,evaluated,4,0.6208109348901268,0.0004997501249375312,0.6207642115476659,0.6208109348901268,0.613502883172108,0.6110553614628477,0.0079960019990005
historical80,endpoint_mean,state_average,cook_chem,strong_fixed_support,2000,4503,evaluated,1,0.6088882522062481,0.0004997501249375312,0.6088882522062481,0.6078273192988816,0.6013974985746,0.6018634741512001,0.0079960019990005
historical80,endpoint_mean,state_average,cook_gap,strong_fixed_support,2000,4503,evaluated,4,0.6679151061173533,0.0004997501249375312,0.6621197934400181,0.6679151061173533,0.662574784765796,0.6489189649302008,0.0079960019990005
historical80,endpoint_mean,onset_minus_baseline,randi_wild_type,strong_fixed_support,2000,1051,evaluated,1,0.568092894105768,0.12543728135932034,0.568092894105768,0.5520557238419791,0.4857456140350877,0.4642575413353528,0.5847076461769116
historical80,endpoint_mean,onset_minus_baseline,cook_struct,strong_fixed_support,2000,4503,evaluated,4,0.5264402022616052,0.2748625687156422,0.5162836546444955,0.5264402022616052,0.5017403224073429,0.5015285207747935,0.6341829085457271
historical80,endpoint_mean,onset_minus_baseline,cook_chem,strong_fixed_support,2000,4503,evaluated,1,0.526333864007918,0.4592703648175912,0.526333864007918,0.5249553826601425,0.5093038125079833,0.5037162087427864,0.6341829085457271
historical80,endpoint_mean,onset_minus_baseline,cook_gap,strong_fixed_support,2000,4503,evaluated,4,0.5402723057217439,0.11694152923538231,0.46025969972599184,0.5402723057217439,0.49650700423172334,0.5024862387924186,0.5847076461769116
historical80,endpoint_wasserstein1,state_average,randi_wild_type,strong_fixed_support,2000,1051,evaluated,8,0.6580682822163322,0.0009995002498750624,0.6475135680928941,0.6510475829862425,0.6580682822163322,0.6500851950018932,0.010994502748625687
historical80,endpoint_wasserstein1,state_average,cook_struct,strong_fixed_support,2000,4503,evaluated,1,0.5774526498809939,0.0004997501249375312,0.5774526498809939,0.5720223230129555,0.5659637544077857,0.5545487697271813,0.0079960019990005
historical80,endpoint_wasserstein1,state_average,cook_chem,strong_fixed_support,2000,4503,evaluated,1,0.5794848722063766,0.0009995002498750624,0.5794848722063766,0.5741896627635563,0.5659678341269666,0.5545212832382234,0.010994502748625687
historical80,endpoint_wasserstein1,state_average,cook_gap,strong_fixed_support,2000,4503,evaluated,1,0.6117039171814452,0.0004997501249375312,0.6117039171814452,0.6086871929568559,0.6014792791478185,0.5753795985537559,0.0079960019990005
historical80,endpoint_wasserstein1,onset_minus_baseline,randi_wild_type,strong_fixed_support,2000,1051,evaluated,4,0.588736905212672,0.21139430284857572,0.5341805502966048,0.588736905212672,0.5691657200555346,0.5035340148933485,0.6341829085457271
historical80,endpoint_wasserstein1,onset_minus_baseline,cook_struct,strong_fixed_support,2000,4503,evaluated,1,0.5570174553197863,0.0239880059970015,0.5570174553197863,0.5407066132251479,0.5063485138069919,0.4996464003490413,0.191904047976012
historical80,endpoint_wasserstein1,onset_minus_baseline,cook_chem,strong_fixed_support,2000,4503,evaluated,1,0.5655576971244383,0.04247876061969016,0.5655576971244383,0.5484033022183434,0.5139696338059929,0.5009779778372596,0.25487256371814093
historical80,endpoint_wasserstein1,onset_minus_baseline,cook_gap,strong_fixed_support,2000,4503,evaluated,1,0.5457129481005886,0.027486256871564217,0.5457129481005886,0.512426633915398,0.48388986169885045,0.5142253190005999,0.1924037981009495
