method,particles,lag,phase,mean_absolute_difference,reference_resolved_fraction,valid_fraction,mean_ess,resolved_reference_mae,resolved_reference_cells
direct,4096,1,baseline,0.19339361919088083,0.497204641350211,0.6416666666666667,398.1379200404152,0.044436784790013666,28281
direct,4096,1,onset,0.2604849079279385,0.5783227848101266,0.7583333333333333,400.94079626506687,0.0490094569244991,32895
direct,4096,4,baseline,0.20462184854719415,0.5334388185654009,0.6583333333333333,433.0478601001588,0.04679481612229597,30342
direct,4096,4,onset,0.3855070980327066,0.462710970464135,0.725,328.57875667781656,0.05905685690172664,26319
direct,4096,8,baseline,0.24584156085892922,0.4816455696202532,0.6333333333333333,379.522137149889,0.049727580403509074,27396
direct,4096,8,onset,0.3078928640131579,0.4792721518987342,0.7083333333333334,427.8948644993829,0.05622030346157318,27261
direct,4096,16,baseline,0.2850800274375182,0.42521097046413503,0.675,351.01696244642653,0.06821151952708998,24186
direct,4096,16,onset,0.49315385322574923,0.4210443037974684,0.6666666666666666,378.8052163235406,0.06257585182522112,23949
direct,16384,1,baseline,0.16518849956627615,0.497204641350211,0.675,1570.7654319239275,0.022384811672349774,28281
direct,16384,1,onset,0.2418211103819294,0.5783227848101266,0.7833333333333333,1594.7568444802346,0.02479473973472645,32895
direct,16384,4,baseline,0.16995026280219613,0.5334388185654009,0.725,1711.494095556943,0.024026707205676096,30342
direct,16384,4,onset,0.34634881776915294,0.462710970464135,0.7833333333333333,1307.3140505886745,0.02693957392070431,26319
direct,16384,8,baseline,0.19774653373137097,0.4816455696202532,0.6833333333333333,1507.8357707092164,0.02522501772499242,27396
direct,16384,8,onset,0.2590676036941985,0.4792721518987342,0.8083333333333333,1710.6490211399641,0.02510562714008444,27261
direct,16384,16,baseline,0.22484927959028078,0.42521097046413503,0.75,1412.922472535741,0.02877769047096466,24186
direct,16384,16,onset,0.38178230931641116,0.4210443037974684,0.7416666666666667,1508.64674776487,0.02752650596471491,23949
progressive,64,1,baseline,0.1566851657601582,0.497204641350211,0.8916666666666667,63.999762471516924,0.08467716024249203,28281
progressive,64,1,onset,0.19751305924905352,0.5783227848101266,0.8916666666666667,63.99940328598022,0.08850295829306719,32895
progressive,64,4,baseline,0.15246967136713618,0.5334388185654009,0.8833333333333333,63.999821217854816,0.07992103676379847,30342
progressive,64,4,onset,0.24585021324244258,0.462710970464135,0.9333333333333333,63.99955024719238,0.08992371270229252,26319
progressive,64,8,baseline,0.16030623043858494,0.4816455696202532,0.8833333333333333,63.999791685740156,0.0781936072437383,27396
progressive,64,8,onset,0.19871434861874696,0.4792721518987342,0.9416666666666667,63.99957122802734,0.08844351805492917,27261
progressive,64,16,baseline,0.16814474253035697,0.42521097046413503,0.8833333333333333,63.99982376098633,0.08051790406720179,24186
progressive,64,16,onset,0.24081051124004782,0.4210443037974684,0.95,63.99968547821045,0.08353893605065052,23949
progressive,128,1,baseline,0.13162972123304487,0.497204641350211,0.8833333333333333,127.99954878489176,0.05874556996506686,28281
progressive,128,1,onset,0.16940654404355207,0.5783227848101266,0.9,127.99884834289551,0.06378891488304338,32895
progressive,128,4,baseline,0.13059624958751112,0.5334388185654009,0.8833333333333333,127.99964860280355,0.05703831686561669,30342
progressive,128,4,onset,0.21921986955311934,0.462710970464135,0.9333333333333333,127.99911969502767,0.0645089171321528,26319
progressive,128,8,baseline,0.13947877255380947,0.4816455696202532,0.8916666666666667,127.99959837595621,0.057324983623020076,27396
progressive,128,8,onset,0.1731436787578262,0.4792721518987342,0.9416666666666667,127.99915504455566,0.06493316439715786,27261
progressive,128,16,baseline,0.1500033268387559,0.42521097046413503,0.8916666666666667,127.99965216318766,0.06125920831863074,24186
progressive,128,16,onset,0.21891921407147943,0.4210443037974684,0.9416666666666667,127.99938888549805,0.06448301948049405,23949
progressive,512,1,baseline,0.10173782307930263,0.497204641350211,0.8833333333333333,511.99812672932944,0.03285787004241613,28281
progressive,512,1,onset,0.14193426692870914,0.5783227848101266,0.9083333333333333,511.99535013834634,0.03456885091738051,32895
progressive,512,4,baseline,0.10117361257526752,0.5334388185654009,0.8666666666666667,511.99861195882164,0.03157633358616197,30342
progressive,512,4,onset,0.19432064155465487,0.462710970464135,0.95,511.9964948018392,0.036718189531708946,26319
progressive,512,8,baseline,0.11402507737786285,0.4816455696202532,0.8916666666666667,511.9983805338542,0.032098408522968025,27396
progressive,512,8,onset,0.1421586666825328,0.4792721518987342,0.9333333333333333,511.99674936930336,0.03652268530855088,27261
progressive,512,16,baseline,0.12342860037442889,0.42521097046413503,0.8833333333333333,511.99860127766925,0.03435267013348636,24186
progressive,512,16,onset,0.19513819792772322,0.4210443037974684,0.9666666666666667,511.9975555419922,0.03512792155628108,23949
