cohort,scope,reference,method,n_edges,n_positive,prevalence,auroc,auprc,source_macro_auroc,n_macro_sources
historical80,all_common,randi_wild_type,flow_ensemble,1646,273,0.16585662211421628,0.6799527251093165,0.3300529408685393,0.6498615714518235,44
historical80,all_common,randi_wild_type,published_sbtg,1646,273,0.16585662211421628,0.6302367212782362,0.30025857600226885,0.6151650287264242,44
historical80,all_common,cook_struct,flow_ensemble,6320,1267,0.2004746835443038,0.6328923669560433,0.3251951727537779,0.6230503539391725,80
historical80,all_common,cook_struct,published_sbtg,6320,1267,0.2004746835443038,0.5806514091904424,0.28876393256914845,0.5777366204483009,80
historical80,all_common,cook_chem,flow_ensemble,6320,1145,0.18117088607594936,0.6222250068561063,0.2845077929379135,0.6046533730191401,80
historical80,all_common,cook_chem,published_sbtg,6320,1145,0.18117088607594936,0.5697796342003671,0.25193280106824384,0.5571804125067615,80
historical80,all_common,cook_gap,flow_ensemble,6320,321,0.05079113924050633,0.6689427469479596,0.1245924353094555,0.695494415540281,66
historical80,all_common,cook_gap,published_sbtg,6320,321,0.05079113924050633,0.6132974395005606,0.10689812399758286,0.652018157954287,66
historical80,strong_fixed_support,randi_wild_type,flow_ensemble,1051,139,0.13225499524262607,0.6318156001514577,0.25486715244494784,0.5977589971541923,27
historical80,strong_fixed_support,randi_wild_type,published_sbtg,1051,139,0.13225499524262607,0.6131752492742648,0.2794021676936726,0.6089466256634687,27
historical80,strong_fixed_support,cook_struct,flow_ensemble,4503,838,0.18609815678436598,0.6207642115476659,0.2952238375863446,0.6192363005258081,57
historical80,strong_fixed_support,cook_struct,published_sbtg,4503,838,0.18609815678436598,0.570197345072234,0.26127508678401323,0.5739683588604245,57
historical80,strong_fixed_support,cook_chem,flow_ensemble,4503,746,0.16566733288918498,0.6088882522062481,0.25601618011177396,0.5966703156953747,57
historical80,strong_fixed_support,cook_chem,published_sbtg,4503,746,0.16566733288918498,0.5567137946610473,0.22284740213871468,0.5497966266028955,57
historical80,strong_fixed_support,cook_gap,flow_ensemble,4503,231,0.051299133910726186,0.6621197934400181,0.1294327031901005,0.6803187661985898,47
historical80,strong_fixed_support,cook_gap,published_sbtg,4503,231,0.051299133910726186,0.6178356599704915,0.10627686241390322,0.6332719615618836,47
historical80,support50_fixed,randi_wild_type,flow_ensemble,1379,206,0.14938361131254532,0.6803317359024657,0.336564709584088,0.6475536540211051,36
historical80,support50_fixed,randi_wild_type,published_sbtg,1379,206,0.14938361131254532,0.6170345723768613,0.2812344476959537,0.6089951302031057,36
historical80,support50_fixed,cook_struct,flow_ensemble,5609,1037,0.1848814405419861,0.6268782307467111,0.30715716479655036,0.6235617779398397,71
historical80,support50_fixed,cook_struct,published_sbtg,5609,1037,0.1848814405419861,0.5759435868491367,0.26403538437436036,0.577647019329942,71
historical80,support50_fixed,cook_chem,flow_ensemble,5609,933,0.16633981101800677,0.6170216984496786,0.27045665775304983,0.6051277921797673,71
historical80,support50_fixed,cook_chem,published_sbtg,5609,933,0.16633981101800677,0.5646781769488125,0.22893193004005324,0.5571287058254791,71
historical80,support50_fixed,cook_gap,flow_ensemble,5609,262,0.04671064360848636,0.6643562702635565,0.1197350735579281,0.6996169848749544,57
historical80,support50_fixed,cook_gap,published_sbtg,5609,262,0.04671064360848636,0.6151412577788502,0.0957143348420563,0.6512146005971089,57
