cohort,seed,fold,best_epoch,stopped_epoch,epoch_cap_reached,extension_required,energy,train_seconds
historical80,1701,0,61,81,False,False,1.5335822472505936,33.26086108398158
historical80,1701,1,58,78,False,False,1.3360089260862071,31.592474958015373
historical80,1701,2,59,79,False,False,1.4447658103054133,31.99723266600631
historical80,1701,3,52,72,False,False,1.5362857880975171,29.429139374988154
historical80,1701,4,65,85,False,False,1.516772601422766,34.31518704100745
historical80,2903,0,58,78,False,False,1.5371485911462268,31.37431304101483
historical80,2903,1,67,87,False,False,1.3457555126499485,34.67395550000947
historical80,2903,2,61,81,False,False,1.4442204394430485,26.70385108300252
historical80,2903,3,56,76,False,False,1.5447827257919937,25.498918917000992
historical80,2903,4,64,84,False,False,1.5178617146196862,28.953554167004768
historical80,4307,0,72,92,False,False,1.544966392298393,30.010205541999312
historical80,4307,1,64,84,False,False,1.3420611095662784,28.074161957978504
historical80,4307,2,73,93,False,False,1.4527597330553401,30.903555541997775
historical80,4307,3,66,86,False,False,1.5497960682972607,29.748536667000735
historical80,4307,4,70,90,False,False,1.5118933471621336,31.037122250010725
clean54,1701,0,48,49,True,True,0.9966561193802986,104.65683524997439
clean54,1701,1,46,49,True,True,1.036732560738593,114.00630170901422
clean54,1701,2,49,49,True,True,0.9770889855586122,124.6990262089821
clean54,1701,3,49,49,True,True,1.0332355381967822,124.53946137501043
clean54,1701,4,49,49,True,True,1.073304005012643,115.44584125000983
clean54,2903,0,49,49,True,True,1.0004943790761682,104.11781962498208
clean54,2903,1,49,49,True,True,1.0412641977984485,113.79541320799035
clean54,2903,2,49,49,True,True,0.9900369916407709,124.60225399999763
clean54,2903,3,47,49,True,True,1.0431961243976446,124.60410083297757
clean54,2903,4,49,49,True,True,1.0731198006741158,115.16339825000614
clean54,4307,0,49,49,True,True,0.9909917694996655,104.29880841600243
clean54,4307,1,49,49,True,True,1.0444662973655228,113.85836779102101
clean54,4307,2,49,49,True,True,0.9788625685813931,124.45580766600324
clean54,4307,3,49,49,True,True,1.040105740729404,129.47652733302675
clean54,4307,4,49,49,True,True,1.077307613248505,119.81083458400099
