cohort,panel,normalization,first,second,scope,horizon,eligible_cells,total_cells,coverage,mean_abs_difference,rmse,median_abs_difference,mean_abs_first,mean_abs_second,median_mc_sd_first,median_mc_sd_second,median_paired_se,median_change_over_se,fraction_change_over_2se,spearman,sign_agreement
clean54,derivative,normalized_effect,1.0,0.5,valid_positive_gap,all,20352,20352,1.0,0.05500920657011165,0.08155401354600958,0.03995040695493418,0.08460107426533234,0.09623055681181972,0.05072114985526538,0.07927054457902416,0.047392478938835025,0.8297063573016159,0.1835691823899371,0.7806490318612554,0.8100432389937107
clean54,derivative,normalized_effect,1.0,0.5,valid_positive_gap,1,3392,3392,1.0,0.05646793030987857,0.08318070731444124,0.04146416252478953,0.0731234836115381,0.0866193390491789,0.05275632003834452,0.08162189825662447,0.04890946906060396,0.8356929903187396,0.1857311320754717,0.7061526919191142,0.7735849056603774
clean54,derivative,normalized_effect,1.0,0.5,valid_gap_ge_0.1,all,20352,20352,1.0,0.05500920657011165,0.08155401354600958,0.03995040695493418,0.08460107426533234,0.09623055681181972,0.05072114985526538,0.07927054457902416,0.047392478938835025,0.8297063573016159,0.1835691823899371,0.7806490318612554,0.8100432389937107
clean54,derivative,normalized_effect,1.0,0.5,valid_gap_ge_0.1,1,3392,3392,1.0,0.05646793030987857,0.08318070731444124,0.04146416252478953,0.0731234836115381,0.0866193390491789,0.05275632003834452,0.08162189825662447,0.04890946906060396,0.8356929903187396,0.1857311320754717,0.7061526919191142,0.7735849056603774
clean54,derivative,normalized_effect,0.5,0.25,valid_positive_gap,all,19716,20352,0.96875,0.10260740787618515,0.17163375832125732,0.07062173084220069,0.09312071668043183,0.12130981115927221,0.07803975534859278,0.14098111452583234,0.08587151426648852,0.8470194365735426,0.18127409210793263,0.5011193570196385,0.6955771961858389
clean54,derivative,normalized_effect,0.5,0.25,valid_positive_gap,1,3286,3392,0.96875,0.10624686421386406,0.176090495112202,0.07481728416557111,0.08366154764370091,0.11643069634031997,0.08037719819511854,0.1455620395521039,0.08770124191859316,0.8762278140510713,0.18837492391965915,0.4054428457103696,0.6658551430310408
clean54,derivative,normalized_effect,0.5,0.25,valid_gap_ge_0.1,all,15264,20352,0.75,0.08523075278906542,0.11073618987797801,0.06744690456738073,0.08284126791490629,0.1047368974790025,0.07819296253607078,0.13541680162479497,0.08270980734252731,0.8437465773374018,0.1799659329140461,0.5324316786114461,0.6971960167714885
clean54,derivative,normalized_effect,0.5,0.25,valid_gap_ge_0.1,1,2544,3392,0.75,0.08862226410234457,0.11519322416809658,0.0701041643818219,0.07456839631068726,0.10076392278768084,0.08104272411735687,0.14138801689140124,0.08473224456594028,0.8737289382490641,0.18907232704402516,0.4400705041248417,0.6705974842767296
clean54,derivative,normalized_effect,1.0,0.25,valid_positive_gap,all,19716,20352,0.96875,0.095869405778644,0.1651816609397358,0.06735166907310486,0.08284562037506156,0.12130981115927221,0.04946068951449181,0.14098111452583234,0.08147518249838401,0.8143812313319675,0.1798032055183607,0.5483581202671274,0.7171332927571515
clean54,derivative,normalized_effect,1.0,0.25,valid_positive_gap,1,3286,3392,0.96875,0.09883908965333074,0.1681570576509441,0.07017119911809763,0.07140369535349377,0.11643069634031997,0.05124952766420933,0.1455620395521039,0.08394756301520079,0.8251120806885837,0.18898356664637858,0.458047474034605,0.6850273889227023
clean54,derivative,normalized_effect,1.0,0.25,valid_gap_ge_0.1,all,15264,20352,0.75,0.07991213833001859,0.10391237012903647,0.06462767797832686,0.07682424405240956,0.1047368974790025,0.05087816952789144,0.13541680162479497,0.0786204442523461,0.815678740944167,0.18107966457023061,0.5855175371502964,0.7202568134171907
clean54,derivative,normalized_effect,1.0,0.25,valid_gap_ge_0.1,1,2544,3392,0.75,0.0829718430907276,0.1076057233998507,0.06765357047940296,0.06633675074735433,0.10076392278768084,0.05298092190084793,0.14138801689140124,0.08054371958994774,0.8319096887947135,0.19300314465408805,0.5011338273026187,0.6906446540880503
clean54,derivative,requested_normalized_effect,1.0,0.5,valid_positive_gap,all,20352,20352,1.0,0.03000407041632183,0.048371262040327365,0.019690416598071636,0.044142726435377845,0.05169705359303619,0.025587147888086744,0.03976071163073781,0.023683389105898837,0.8306297474895348,0.18234080188679244,0.7714309085261516,0.8108785377358491
clean54,derivative,requested_normalized_effect,1.0,0.5,valid_positive_gap,1,3392,3392,1.0,0.030869373073075353,0.04957118769710295,0.0204708670110752,0.03858618733045081,0.04703366326973556,0.026679697076637643,0.04119802454865706,0.024341765183031806,0.8434244095822276,0.1821933962264151,0.6962749334294593,0.7712264150943396
clean54,derivative,requested_normalized_effect,1.0,0.5,valid_gap_ge_0.1,all,20352,20352,1.0,0.03000407041632183,0.048371262040327365,0.019690416598071636,0.044142726435377845,0.05169705359303619,0.025587147888086744,0.03976071163073781,0.023683389105898837,0.8306297474895348,0.18234080188679244,0.7714309085261516,0.8108785377358491
clean54,derivative,requested_normalized_effect,1.0,0.5,valid_gap_ge_0.1,1,3392,3392,1.0,0.030869373073075353,0.04957118769710295,0.0204708670110752,0.03858618733045081,0.04703366326973556,0.026679697076637643,0.04119802454865706,0.024341765183031806,0.8434244095822276,0.1821933962264151,0.6962749334294593,0.7712264150943396
clean54,derivative,requested_normalized_effect,0.5,0.25,valid_positive_gap,all,19716,20352,0.96875,0.05392661353399195,0.0938082186966776,0.0352531214787935,0.049502533451023685,0.0635022864075259,0.03898066903124986,0.06940314601848754,0.04280506584873259,0.8411394148226384,0.18523026983160884,0.4953323317769267,0.6965916007303713
clean54,derivative,requested_normalized_effect,0.5,0.25,valid_positive_gap,1,3286,3392,0.96875,0.05592605030535222,0.09764542573422576,0.03682302392553538,0.044888674275751356,0.06105364326904339,0.04018611216075538,0.07177509492745951,0.043811185971517744,0.8702218332520719,0.18867924528301888,0.40464884780074534,0.6688983566646378
clean54,derivative,requested_normalized_effect,0.5,0.25,valid_gap_ge_0.1,all,15264,20352,0.75,0.04710663997732577,0.06253838935081033,0.0362127348780632,0.045614214387080174,0.05803914389045064,0.04179271378038386,0.07243114924058414,0.04449671511406658,0.8348968835890644,0.1843553459119497,0.5313088618049645,0.6971960167714885
clean54,derivative,requested_normalized_effect,0.5,0.25,valid_gap_ge_0.1,1,2544,3392,0.75,0.04888983798189437,0.06489549013014889,0.03813553811050955,0.04107013422444635,0.05567773782112399,0.043231204846605434,0.07487909293521693,0.04526639507984679,0.8754178513446849,0.18907232704402516,0.44170665487739946,0.6741352201257862
clean54,derivative,requested_normalized_effect,1.0,0.25,valid_positive_gap,all,19716,20352,0.96875,0.050221287466261345,0.08952602950319567,0.03341811980741716,0.04283685684887083,0.0635022864075259,0.024860795531811065,0.06940314601848754,0.04062553688719589,0.8150524996887598,0.18025968756340027,0.5462895159729932,0.7208358693446947
clean54,derivative,requested_normalized_effect,1.0,0.25,valid_positive_gap,1,3286,3392,0.96875,0.05197317472265087,0.09152756190740709,0.03517028441031774,0.037262502056664655,0.06105364326904339,0.025987429654834554,0.07177509492745951,0.04187146731377918,0.8221780662926366,0.18411442483262325,0.46277459117978315,0.6902008520998174
clean54,derivative,requested_normalized_effect,1.0,0.25,valid_gap_ge_0.1,all,15264,20352,0.75,0.04408505231236682,0.0585373157378955,0.03442896665364967,0.04154273253833908,0.05803914389045064,0.027135806965485246,0.07243114924058414,0.04195868958694907,0.8175617067259598,0.18278301886792453,0.5833047711306171,0.7226808176100629
clean54,derivative,requested_normalized_effect,1.0,0.25,valid_gap_ge_0.1,1,2544,3392,0.75,0.04580156408521394,0.06043389757109236,0.03604118782095611,0.03597799051384816,0.05567773782112399,0.02831382032180513,0.07487909293521693,0.043074278381396436,0.8278591871414172,0.1906446540880503,0.5021533402764223,0.6953616352201258
