cohort,channel,context,test,lag,horizon,source,target,estimate,t,joint_maxT_p
historical80,endpoint_mean,baseline,lag_minus_1,16,8,PVC,PLN,-0.0907705202698707,16.960258601390215,7.62939453125e-06
historical80,endpoint_mean,baseline,lag_minus_1,16,2,AVK,AVB,0.0957836732268333,14.127130029271877,3.814697265625e-05
historical80,endpoint_mean,baseline,lag_minus_1,16,1,AVK,AVB,0.0962172150611877,14.12105576720198,3.814697265625e-05
historical80,endpoint_mean,baseline,lag_minus_1,16,16,PVC,PLN,-0.0824055671691894,13.861808283853792,4.57763671875e-05
historical80,endpoint_mean,baseline,lag_minus_1,16,1,SMD,AVA,-0.2405981570482254,13.7806492575014,4.76837158203125e-05
historical80,endpoint_mean,baseline,lag_minus_1,16,1,SMD,AVE,-0.2995883226394653,13.639864450725517,5.14984130859375e-05
historical80,endpoint_mean,baseline,lag_minus_1,16,4,PVC,PLN,-0.0846784859895706,13.55102884764051,5.53131103515625e-05
historical80,endpoint_mean,baseline,lag_minus_1,16,4,AVK,AVB,0.0890697091817855,13.295195237256832,6.29425048828125e-05
historical80,endpoint_mean,baseline,lag_minus_1,16,8,DVB,DVA,-0.1606342196464538,13.227933654390831,7.05718994140625e-05
historical80,endpoint_mean,baseline,lag_minus_1,16,2,SMD,AVE,-0.2896999418735504,13.043997091533326,8.0108642578125e-05
historical80,endpoint_mean,baseline,lag_minus_1,16,1,SMD,RIB,0.2919248938560486,12.954422304054969,8.58306884765625e-05
historical80,endpoint_mean,baseline,lag_minus_1,16,2,DVB,DVA,-0.1683365702629089,12.921501786578746,8.7738037109375e-05
historical80,endpoint_mean,baseline,lag_minus_1,16,2,SMD,AVA,-0.2349074631929397,12.937163254617667,8.7738037109375e-05
historical80,endpoint_mean,baseline,lag_minus_1,16,16,DVB,DVA,-0.1457122862339019,12.922978842457844,8.7738037109375e-05
historical80,endpoint_mean,baseline,lag_minus_1,16,4,DVB,DVA,-0.1652882099151611,12.823150605773671,8.96453857421875e-05
