cohort,reference,method,n_edges,n_positive,prevalence,auroc,auprc,source_macro_auroc,n_macro_sources
historical80,randi_wild_type,flow_ensemble,1646,273,0.16585662211421628,0.6799527251093165,0.3300529408685393,0.6498615714518235,44
historical80,randi_wild_type,published_sbtg,1646,273,0.16585662211421628,0.6302367212782362,0.30025857600226885,0.6151650287264242,44
historical80,cook_struct,flow_ensemble,6320,1267,0.2004746835443038,0.6328923669560433,0.3251951727537779,0.6230503539391725,80
historical80,cook_struct,published_sbtg,6320,1267,0.2004746835443038,0.5806514091904424,0.28876393256914845,0.5777366204483009,80
historical80,cook_chem,flow_ensemble,6320,1145,0.18117088607594936,0.6222250068561063,0.2845077929379135,0.6046533730191401,80
historical80,cook_chem,published_sbtg,6320,1145,0.18117088607594936,0.5697796342003671,0.25193280106824384,0.5571804125067615,80
historical80,cook_gap,flow_ensemble,6320,321,0.05079113924050633,0.6689427469479596,0.1245924353094555,0.695494415540281,66
historical80,cook_gap,published_sbtg,6320,321,0.05079113924050633,0.6132974395005606,0.10689812399758286,0.652018157954287,66
clean54,randi_wild_type,flow_ensemble,1349,257,0.1905114899925871,0.6714734681660751,0.3545690268378635,0.6651467832690147,40
clean54,randi_wild_type,published_sbtg,1349,257,0.1905114899925871,0.6217164806658969,0.3218949299957574,0.6041016838613567,40
clean54,cook_struct,flow_ensemble,2862,758,0.26484975541579314,0.6142483973233546,0.38451311315747083,0.6027711852500461,54
clean54,cook_struct,published_sbtg,2862,758,0.26484975541579314,0.5651460467309409,0.34817743039072857,0.5523461852285673,54
clean54,cook_chem,flow_ensemble,2862,699,0.24423480083857443,0.601492654786542,0.34968711837816085,0.590015684345389,54
clean54,cook_chem,published_sbtg,2862,699,0.24423480083857443,0.5575893704565732,0.3124478282448434,0.5430780892229806,54
clean54,cook_gap,flow_ensemble,2862,169,0.05904961565338924,0.6779839030403172,0.13217963606796884,0.6959588421636455,45
clean54,cook_gap,published_sbtg,2862,169,0.05904961565338924,0.6206799570220405,0.13340813965637646,0.6413893626140531,45
