worm_index,worm_id,start_frame,end_frame,frames_used,windows_created,duration_seconds,imputed_neurons
0,0924_01,0,928,928,927,232.0,1
1,0924_02,0,929,929,928,232.25,2
2,0924_03,0,928,928,927,232.0,0
3,0925_01,0,929,929,928,232.25,2
4,0925_04,0,928,928,927,232.0,1
5,0928_01,0,929,929,928,232.25,1
6,0928_03,0,928,928,927,232.0,1
7,0928_05,0,928,928,927,232.0,2
8,0928_07,0,929,929,928,232.25,2
9,0928_08,0,929,929,928,232.25,0
10,0928_11,0,929,929,928,232.25,0
11,0928_13,0,929,929,928,232.25,0
12,0929_02,0,928,928,927,232.0,11
13,0929_03,0,928,928,927,232.0,0
14,0929_05,0,928,928,927,232.0,1
15,0929_06,0,928,928,927,232.0,3
16,0929_07,0,925,925,924,231.25,0
17,1030_03,0,929,929,928,232.25,1
19,1104_08,0,929,929,928,232.25,2
20,1104_10,0,928,928,927,232.0,3
