beta_schedule,case_id,data_seed,epsilon,generator_id,generator_seed,model_seed,primary_steps,status,wall_seconds,energy_score_fair,mean_effect_nrmse_steps_128,mean_effect_nrmse_steps_256,mean_effect_nrmse_steps_64,mean_effect_slope_steps_128,mean_effect_slope_steps_256,mean_effect_slope_steps_64,best_epoch,fit_wall_seconds,quartic_effect_delta_0.12_steps_128_nrmse,quartic_effect_delta_0.12_steps_128_slope,quartic_effect_delta_0.12_steps_256_nrmse,quartic_effect_delta_0.12_steps_256_slope,quartic_effect_delta_0.12_steps_64_nrmse,quartic_effect_delta_0.12_steps_64_slope,quartic_effect_delta_1_steps_128_nrmse,quartic_effect_delta_1_steps_128_slope,quartic_effect_delta_1_steps_256_nrmse,quartic_effect_delta_1_steps_256_slope,quartic_effect_delta_1_steps_64_nrmse,quartic_effect_delta_1_steps_64_slope
linear,066f8b004f617d55376f_linear,601,1.0,g1_gaussian_sanity,61,6001,128,ok,3.484172958007548,1.5392249350549403,0.3367484108752881,0.33705412420881203,0.3367118589503095,0.9421191483680678,0.9427226584966845,0.9418403930112039,54,1.4352520419924986,,,,,,,,,,,,
squared,066f8b004f617d55376f_squared,601,1.0,g1_gaussian_sanity,61,6001,128,ok,2.5971612500143237,1.5345760904675319,0.32617250775313883,0.32454017219253284,0.3267551641132611,0.8590888630914251,0.8653961019198295,0.850958843007656,36,1.1154534999805037,,,,,,,,,,,,
linear,06a51b07e2fcfce73fd2_linear,607,1.0,g1_gaussian_sanity,61,6001,128,ok,2.994328291999409,1.4654878711665293,0.3392896359140431,0.3401004734851885,0.33776491770220823,0.9853002094206592,0.9856470512912743,0.9843521770794176,48,1.519899707986042,,,,,,,,,,,,
squared,06a51b07e2fcfce73fd2_squared,607,1.0,g1_gaussian_sanity,61,6001,128,ok,2.5549910420086235,1.474476518967933,0.303143487870776,0.3038032270393253,0.30127997690016634,0.9211142728245876,0.9267118385572426,0.911800597576937,34,1.0808638329908717,,,,,,,,,,,,
linear,06ee5a956aad9b8c74d5_linear,607,1.0,g1_gaussian_sanity,61,6007,128,ok,2.913411250017816,1.4769146192490634,0.3499940301806556,0.3508741381525043,0.34879339204156196,0.9413619852167388,0.9423416787875829,0.9405371722536301,51,1.4162610829807818,,,,,,,,,,,,
squared,06ee5a956aad9b8c74d5_squared,607,1.0,g1_gaussian_sanity,61,6007,128,ok,2.624812667025253,1.471889485200747,0.30868689194717125,0.3088514841986496,0.30860423045241736,0.8920077656034963,0.8970905280930835,0.8831480599808369,38,1.155710083025042,,,,,,,,,,,,
linear,09895c282634fe6ac387_linear,601,1.0,g8_functional_shape,61,6007,128,ok,5.993242292024661,0.7191713079497261,,,,,,,57,1.603952167002717,1.002489901058101,-0.0023431467405480018,0.9975486293749516,0.00251487184427639,1.0039943885419096,-0.003927663192513877,1.0014590905579461,-0.0013569606507897987,0.9911909713811629,0.008864252591470308,0.9995846728519414,0.000470271140119713
squared,09895c282634fe6ac387_squared,601,1.0,g8_functional_shape,61,6007,128,ok,5.907888042012928,0.7118939732598383,,,,,,,58,1.586372541001765,0.9968993121826474,0.0031227230439202468,0.999033782317851,0.0009832385578821075,0.9967964566663404,0.003217296599537159,0.9990219389678487,0.0009870473920527913,0.9950420349145546,0.00497143115535259,0.9990983937881702,0.0009149559815488174
linear,0e917e15af48f2f8e50e_linear,607,1.0,g1_gaussian_sanity,67,6001,128,ok,2.8726314160157926,1.4881028925677742,0.3005448581136127,0.30058127378340893,0.30029425156124806,0.8986834221626462,0.8988054822009228,0.8987970267951916,51,1.4034451250045095,,,,,,,,,,,,
squared,0e917e15af48f2f8e50e_squared,607,1.0,g1_gaussian_sanity,67,6001,128,ok,2.626573499990627,1.4912864625001419,0.3093670498293539,0.30896054225314007,0.3111549733305883,0.8692174069523257,0.8737562215079924,0.8601303858975068,40,1.1827730420045555,,,,,,,,,,,,
linear,4f2234f2ad9ed386138b_linear,607,1.0,g8_functional_shape,61,6001,128,ok,5.954234125005314,0.7029260243826728,,,,,,,59,1.7377796670189127,0.990186064659202,0.00996575872111377,0.9971461372731433,0.003009418740590246,0.9932117096968417,0.0069266652993748325,0.9964698833232036,0.003836869454354073,0.9903895934562716,0.009719248351019416,0.9884094309898667,0.011770507446014496
