rho,horizon,n_train,frequency_band,method,nrmse,coverage,rho_abs_error,max_inverse_attenuation,seeds
0.9,4,8000,low,CF_DECONV_ESTIMATED_ORTH,0.7722238189839611,0.83125,0.015272275631092522,1.0325609414169037,10
0.9,4,8000,low,CF_DECONV_ESTIMATED_PLUG,0.7819608332727384,0.2375,0.015272275631092522,1.0325609414169037,10
0.9,4,8000,low,CF_DECONV_ESTIMATED_RIESZ,0.8213685214905482,0.99375,0.015272275631092522,1.0325609414169037,10
0.9,4,8000,low,CF_DECONV_KNOWN_ORTH,0.4774327907186279,0.95,0.0,1.0270478710530506,10
0.9,4,8000,low,CF_DECONV_KNOWN_PLUG,0.4778184713957347,0.15,0.0,1.0270478710530506,10
0.9,4,8000,low,CF_DECONV_KNOWN_RIESZ,0.5139726599056049,1.0,0.0,1.0270478710530506,10
0.9,4,8000,low,LATENT_ORACLE_ORTH,0.5283813265553786,0.95,0.015272275631092522,1.0,10
0.9,4,8000,low,LATENT_ORACLE_PLUG,0.5473433202682938,0.19375,0.015272275631092522,1.0,10
0.9,4,8000,low,LATENT_ORACLE_RIESZ,0.5428313423037571,1.0,0.015272275631092522,1.0,10
0.9,4,8000,low,POINT_ESTIMATED_ORTH,0.7393559849358906,0.85,0.015272275631092522,1.0325609414169037,10
0.9,4,8000,low,POINT_ESTIMATED_PLUG,0.7485882891666457,0.21875,0.015272275631092522,1.0325609414169037,10
0.9,4,8000,low,POINT_ESTIMATED_RIESZ,0.7886952667020836,0.99375,0.015272275631092522,1.0325609414169037,10
0.9,4,8000,low,POINT_KNOWN_ORTH,0.46746900290837,0.95,0.0,1.0270478710530506,10
0.9,4,8000,low,POINT_KNOWN_PLUG,0.4676417800654936,0.15,0.0,1.0270478710530506,10
0.9,4,8000,low,POINT_KNOWN_RIESZ,0.5035300702513019,1.0,0.0,1.0270478710530506,10
0.9,4,8000,low,ZERO,1.0,0.0,0.015272275631092522,1.0270478710530506,10
0.9,4,8000,wide,CF_DECONV_ESTIMATED_ORTH,0.548627306033579,0.6708333333333333,0.015272275631092522,1.2252668459324008,10
0.9,4,8000,wide,CF_DECONV_ESTIMATED_PLUG,0.5485426386964556,0.2125,0.015272275631092522,1.2252668459324008,10
0.9,4,8000,wide,CF_DECONV_ESTIMATED_RIESZ,0.5517927593883658,0.8333333333333334,0.015272275631092522,1.2252668459324008,10
0.9,4,8000,wide,CF_DECONV_KNOWN_ORTH,0.13474532136925038,0.95,0.0,1.181521943258521,10
0.9,4,8000,wide,CF_DECONV_KNOWN_PLUG,0.13244173692339717,0.12916666666666665,0.0,1.181521943258521,10
0.9,4,8000,wide,CF_DECONV_KNOWN_RIESZ,0.1327955515458235,1.0,0.0,1.181521943258521,10
0.9,4,8000,wide,LATENT_ORACLE_ORTH,0.14102954737049905,0.9375,0.015272275631092522,1.0,10
0.9,4,8000,wide,LATENT_ORACLE_PLUG,0.1454059384248486,0.2,0.015272275631092522,1.0,10
0.9,4,8000,wide,LATENT_ORACLE_RIESZ,0.14039120707691963,1.0,0.015272275631092522,1.0,10
0.9,4,8000,wide,POINT_ESTIMATED_ORTH,0.43936450532620713,0.6583333333333333,0.015272275631092522,1.2252668459324008,10
0.9,4,8000,wide,POINT_ESTIMATED_PLUG,0.4390758554483097,0.14999999999999997,0.015272275631092522,1.2252668459324008,10
0.9,4,8000,wide,POINT_ESTIMATED_RIESZ,0.4434127728484153,0.8166666666666667,0.015272275631092522,1.2252668459324008,10
0.9,4,8000,wide,POINT_KNOWN_ORTH,0.17357588933385243,0.9166666666666666,0.0,1.181521943258521,10
0.9,4,8000,wide,POINT_KNOWN_PLUG,0.1717269622392268,0.2125,0.0,1.181521943258521,10
0.9,4,8000,wide,POINT_KNOWN_RIESZ,0.17198438864782561,0.975,0.0,1.181521943258521,10
0.9,4,8000,wide,ZERO,1.0,0.0,0.015272275631092522,1.181521943258521,10
0.9,4,32000,low,CF_DECONV_ESTIMATED_ORTH,0.31153241741502624,0.88125,0.00549685030775553,1.0270452850089917,10
0.9,4,32000,low,CF_DECONV_ESTIMATED_PLUG,0.307096893312411,0.01875,0.00549685030775553,1.0270452850089917,10
0.9,4,32000,low,CF_DECONV_ESTIMATED_RIESZ,0.3149438829197777,0.9875,0.00549685030775553,1.0270452850089917,10
0.9,4,32000,low,CF_DECONV_KNOWN_ORTH,0.26580325419956075,1.0,0.0,1.0270478710530506,10
0.9,4,32000,low,CF_DECONV_KNOWN_PLUG,0.2603693257055893,0.3,0.0,1.0270478710530506,10
0.9,4,32000,low,CF_DECONV_KNOWN_RIESZ,0.27174423223093436,1.0,0.0,1.0270478710530506,10
0.9,4,32000,low,LATENT_ORACLE_ORTH,0.18704869940012764,0.95,0.00549685030775553,1.0,10
0.9,4,32000,low,LATENT_ORACLE_PLUG,0.17857965608902662,0.34375,0.00549685030775553,1.0,10
0.9,4,32000,low,LATENT_ORACLE_RIESZ,0.19261506827358268,0.95,0.00549685030775553,1.0,10
0.9,4,32000,low,POINT_ESTIMATED_ORTH,0.30822529543808475,0.89375,0.00549685030775553,1.0270452850089917,10
0.9,4,32000,low,POINT_ESTIMATED_PLUG,0.30407805908965063,0.075,0.00549685030775553,1.0270452850089917,10
0.9,4,32000,low,POINT_ESTIMATED_RIESZ,0.31183044287571154,0.9875,0.00549685030775553,1.0270452850089917,10
0.9,4,32000,low,POINT_KNOWN_ORTH,0.2627132501354429,1.0,0.0,1.0270478710530506,10
