index,method,count,median,mean
9,ratio_critic,64,0.6160615727990861,0.8263192107535378
2,autoregressive_transformer,16,0.629322892168086,0.6941203311875583
0,affine_flow,64,0.9456212866020296,2.0980045599813977
1,autoregressive_mdn,64,1.0150864202085506,2.0299386278636202
6,diffusion_legacy,192,1.0217944201584273,1.6589143002527367
3,bounded_energy,64,1.181363861657632,4.395627575981454
8,gaussian_nll,64,1.2155461424088234,4.279183686369377
7,gaussian_dsm,64,1.2604000730076854,3.827791929027018
4,diffusion_edm,192,1.7430889189583545,3.240131295600754
5,diffusion_gaussian_anchored,192,2.6916468358464445,3.968372302496705
