run,summary_rows,validation_passed,summary_sha256,size_bytes
e1_confirmation_20260714,34,True,f2ecc93029b8d9b8a8abbf9d2af6acfff608c896fdf486be9867f53d240a64b4,14050820
e3_confirmation_20260714,102,True,f569998e6ed07464a3ea8746567e3895b8ae6bdbd0ac190a98b7890f051439a8,72101921
e4_confirmation_20260714,62,True,e6265bc3a9f7296802a969ff6e820aa6ae33d865bb4183116b61c1f773863529,35056296
e5_confirmation_20260714,168,True,6d51c64f69e64a42f57e4c3257218fd5452c741b1c7d6603d5a7d74ae1c6fc29,55088304
e6_confirmation_20260714,120,True,8912e5e97b43e21a71116d140e3f867d2f2d19f01fcbcfd4ebf5262ffb1a8f28,344780
e7_confirmation_20260714,216,True,a5c702a448ee97302012c744d18b6d9f47bf27bd46352b14aa84c858162b6c6e,837944
e8_confirmation_20260714,252,True,9d7f4a8bc6846b9ab060e5c93ab0422024cbbd3fd475b957bd54288a1b0128f6,529179
e9_confirmation_20260714,16,True,8a81495ca54275f14b72b01c3ee68df64c8a52cacd36174f71eabeeb66574f5a,96380
e10_confirmation_20260714,90,True,c72595f2348916244d8f3389015f360ec3e9eee49a55cedb922c8dbce2378ddc,180291
e11_confirmation_20260714,90,True,19b1b195a1dcf9be0a1a4bc0cda17b1b07759cf341ece37e86bdcf06d36bf823,204147
e3_dependent_confirmation_20260714,117,True,6cc4f9706c9cdfae1fd8d71c248d10ffbe7e021b9d3b9d9daccd239de290b0c1,576224
e8_measurement_confirmation_20260714,816,True,20c8be431beda336dc175a6a4f7e2cf0599ea8f3f3edf351adec76b78fc5f058,1295435
e9_staged_confirmation_20260714,384,True,5e0d7aba8bbcf3d677b3943aac9d980f085e2c0106bf3bddd062698269cb1f80,333955
e10_full_confirmation_20260714,1008,True,b3e4e1ad9e766c93a779400ec135bf5ba09c56774c4c1dd88c582a869f1888aa,1727465
e10_analytic_mdn_confirmation_20260714,504,True,66da2b85d0f2c0196efd3bce26323726a595e1cb4cf0772dff7fbc028b7fab7b,416570
