dgp_family,method,nrmse
E11_ordering,ANALYTIC_MDN_K10,0.9564535137094599
E11_ordering,ANALYTIC_MDN_K20,0.9676030106610491
E11_ordering,ANALYTIC_MDN_K5,0.9144015695293348
E11_ordering,NSF_10,0.7187941091410871
E11_ordering,NSF_6,0.7887003560073091
E11_ordering,ORTH,0.2794647819482836
E1_gaussian,ANALYTIC_MDN_K10,0.15091124754687205
E1_gaussian,ANALYTIC_MDN_K20,0.16308344024337454
E1_gaussian,ANALYTIC_MDN_K5,0.14961934386075165
E1_gaussian,NSF_10,0.17784292100505394
E1_gaussian,NSF_6,0.1788806841790308
E1_gaussian,ORTH,0.16028761317143297
E4_continuous,ANALYTIC_MDN_K10,1.082216731544663
E4_continuous,ANALYTIC_MDN_K20,0.9391889989815864
E4_continuous,ANALYTIC_MDN_K5,1.1970149425419545
E4_continuous,NSF_10,1.2228160580388725
E4_continuous,NSF_6,1.1154522113967495
E4_continuous,ORTH,0.7072059054387229
E4_discrete,ANALYTIC_MDN_K10,1.063246433248508
E4_discrete,ANALYTIC_MDN_K20,1.056912453830094
E4_discrete,ANALYTIC_MDN_K5,1.0822420544320799
E4_discrete,NSF_10,0.41338959727028646
E4_discrete,NSF_6,0.4308427487627914
E4_discrete,ORTH,0.23548333609098404
E5_support_motion,ANALYTIC_MDN_K10,0.022726867511330816
E5_support_motion,ANALYTIC_MDN_K20,0.017844483909144147
E5_support_motion,ANALYTIC_MDN_K5,0.028454004431048806
E5_support_motion,NSF_10,0.03250847788524462
E5_support_motion,NSF_6,0.029607110255131363
E5_support_motion,ORTH,0.02068702621544316
E8_filtered,ANALYTIC_MDN_K10,1.0973071603281217
E8_filtered,ANALYTIC_MDN_K20,1.0744571152951359
E8_filtered,ANALYTIC_MDN_K5,1.0500346658736297
E8_filtered,NSF_10,1.2163667213452878
E8_filtered,NSF_6,1.1264370085015598
E8_filtered,ORTH,0.6884648232141958
E9_dense,ANALYTIC_MDN_K10,4.920006216517694
E9_dense,ANALYTIC_MDN_K20,3.8900319809563486
E9_dense,ANALYTIC_MDN_K5,6.317148476310278
E9_dense,NSF_10,10.16047379060702
E9_dense,NSF_6,10.015370542695404
E9_dense,ORTH,6.27992530848014
