cell_id,method,split_mode,nrmse,calibration_slope,iid_coverage,hac_coverage,effective_sample_fraction,n_dgp_seeds
d16_n8000_rho0p5,ORTH,blocked,0.10664534715512322,1.0015397233787346,0.9614583333333333,0.9651041666666667,0.9731170531260475,30
d16_n8000_rho0p5,ORTH,random,0.10576281820611495,0.9999724982730511,0.9597222222222223,0.9616319444444444,0.9824392408235461,30
d16_n8000_rho0p5,PLUG,blocked,0.10490704369098124,1.0003211314545692,0.11710069444444444,0.1703125,0.4468289971762922,30
d16_n8000_rho0p5,PLUG,random,0.10454559603823511,1.0004313479502298,0.1150173611111111,0.1384548611111111,0.6429643101156777,30
d16_n8000_rho0p5,RIESZ,blocked,0.10818982402650462,1.010037595945398,0.9870659722222223,0.9891493055555556,0.4983493229607948,30
d16_n8000_rho0p5,RIESZ,random,0.10646477895613349,1.0057839872662169,0.9890625,0.9897569444444444,0.5055017875458625,30
d16_n8000_rho0p9,ORTH,blocked,0.14454961299768576,1.0012920057020203,0.8808159722222222,0.9493923611111111,0.7100957403780677,30
d16_n8000_rho0p9,ORTH,random,0.12987058745271235,1.0031325878720585,0.8951388888888889,0.9344618055555556,0.8480377481111658,30
d16_n8000_rho0p9,PLUG,blocked,0.13051179016931455,1.0021526325699992,0.09348958333333333,0.27239583333333334,0.10468696121929849,30
d16_n8000_rho0p9,PLUG,random,0.1287200373346869,1.001534000819698,0.0920138888888889,0.18958333333333333,0.1960400164079537,30
d16_n8000_rho0p9,RIESZ,blocked,0.1857311603869352,1.0743424779312551,0.9239583333333333,0.9925347222222223,0.12373408674084949,30
d16_n8000_rho0p9,RIESZ,random,0.13352689301214032,1.0086680152732275,0.9704861111111112,0.9934895833333334,0.13182871543347466,30
d32_n32000_rho0p9,ORTH,blocked,0.0929925027804673,1.0008367239728126,0.8361979166666667,0.9513888888888888,0.53083180869939,30
d32_n32000_rho0p9,ORTH,random,0.0891527792986938,1.0017707146694956,0.8399305555555555,0.9432291666666667,0.5717550157146795,30
d32_n32000_rho0p9,PLUG,blocked,0.08906193470614743,1.0015959012188447,0.035243055555555555,0.12734375,0.08404320258201392,30
d32_n32000_rho0p9,PLUG,random,0.08887873878696446,1.0013691421641002,0.03480902777777778,0.08697916666666666,0.15332940261623842,30
d32_n32000_rho0p9,RIESZ,blocked,0.1009689744383109,1.0222458962423988,0.9490451388888889,0.9925347222222223,0.10435870702444344,30
d32_n32000_rho0p9,RIESZ,random,0.08960750561477478,0.9983038088139704,0.9585069444444444,0.9927951388888889,0.10727956043985983,30
