cell_id,method,nrmse,calibration_slope,coverage,detection_rate,rho_abs_error,n_dgp_seeds
estimated_deconv_rho0p5,ORTH,0.15458377081269967,0.8587401850183928,0.6958333333333333,1.0,0.008734848388029176,30
estimated_deconv_rho0p5,PLUG,0.1537877828488388,0.8597645003044909,0.2668402777777778,1.0,0.008734848388029176,30
estimated_deconv_rho0p5,RIESZ,0.14954924403424655,0.8644548608082651,0.7260416666666667,1.0,0.008734848388029176,30
estimated_deconv_rho0p9,ORTH,0.7842168939868429,0.23784671023341997,0.309375,1.0,0.016926796507400577,30
estimated_deconv_rho0p9,PLUG,0.7843921369502278,0.23770037973553854,0.03576388888888889,1.0,0.016926796507400577,30
estimated_deconv_rho0p9,RIESZ,0.7833040105578248,0.23900479560072846,0.4046875,1.0,0.016926796507400577,30
estimated_deconv_rho0p98,ORTH,1.002829614394011,-0.0025001006084467195,0.15208333333333332,0.0,0.08853878068196028,30
estimated_deconv_rho0p98,PLUG,1.0027246888312857,-0.0024050247945880832,0.00625,1.0,0.08853878068196028,30
estimated_deconv_rho0p98,RIESZ,1.0027807244463762,-0.0024605340281257525,0.20625,0.0,0.08853878068196028,30
hetero_active_0p5,ORTH,0.2623156727560533,0.9904012091101695,0.9399305555555556,1.0,0.0,30
hetero_active_0p5,PLUG,0.2619792911542703,0.9898164842163327,0.09583333333333334,1.0,0.0,30
hetero_active_0p5,RIESZ,0.26169040511773695,0.9906010230700261,0.9536458333333333,1.0,0.0,30
hetero_active_1p0,ORTH,0.16774132798703012,0.9968107626787364,0.9418402777777778,1.0,0.0,30
hetero_active_1p0,PLUG,0.16693599181025667,0.9958002175409016,0.10850694444444445,1.0,0.0,30
hetero_active_1p0,RIESZ,0.16633315981049318,0.9956869766200029,0.9572916666666667,1.0,0.0,30
hetero_latent_null_observed_active,ORTH,0.16469628325736524,0.9945827044544363,0.9416666666666667,1.0,0.0,30
hetero_latent_null_observed_active,PLUG,0.16346257432897118,0.9945284300354295,0.09600694444444445,1.0,0.0,30
hetero_latent_null_observed_active,RIESZ,0.16320495033627233,0.9942397486490961,0.9616319444444444,1.0,0.0,30
history_missing_active_mask_included,ORTH,0.05148893741446025,1.0010126864026205,0.9602430555555556,1.0,0.0,30
history_missing_active_mask_included,PLUG,0.05138793749316096,0.9999569505171801,0.12239583333333333,1.0,0.0,30
history_missing_active_mask_included,RIESZ,0.051210326560043345,0.999412969439766,0.9748263888888888,1.0,0.0,30
history_missing_active_mask_omitted,ORTH,0.06968671092089401,1.0050363313682387,0.9491319444444445,1.0,0.0,30
history_missing_active_mask_omitted,PLUG,0.06916628356060475,1.0045612338347254,0.13350694444444444,1.0,0.0,30
history_missing_active_mask_omitted,RIESZ,0.06922057697565269,1.00382180412641,0.9677083333333333,1.0,0.0,30
history_missing_latent_null_mask_included,ORTH,0.05146477960304081,1.003035138109097,0.9612847222222223,1.0,0.0,30
history_missing_latent_null_mask_included,PLUG,0.051509728786710736,1.0025916918303694,0.134375,1.0,0.0,30
history_missing_latent_null_mask_included,RIESZ,0.051206315546536804,1.0018152558540623,0.9763888888888889,1.0,0.0,30
history_missing_latent_null_mask_omitted,ORTH,0.07094406679310773,1.0022570146415513,0.9484375,1.0,0.0,30
history_missing_latent_null_mask_omitted,PLUG,0.07075863601194603,1.0010036678814733,0.11475694444444444,1.0,0.0,30
history_missing_latent_null_mask_omitted,RIESZ,0.07065446805509967,1.0005989889920055,0.9666666666666667,1.0,0.0,30
known_deconv_rho0p5,ORTH,0.15350370436728447,0.857746395447385,0.6527777777777778,1.0,0.0,30
known_deconv_rho0p5,PLUG,0.15300212287154075,0.8583493570925872,0.19739583333333333,1.0,0.0,30
known_deconv_rho0p5,RIESZ,0.1491153681357901,0.8625952438911231,0.6829861111111111,1.0,0.0,30
known_deconv_rho0p9,ORTH,0.7925638603557488,0.23293043815073744,0.446875,1.0,0.0,30
known_deconv_rho0p9,PLUG,0.7923594068586585,0.23323520599717576,0.08142361111111111,1.0,0.0,30
known_deconv_rho0p9,RIESZ,0.7914294636187931,0.23439466164200584,0.4888888888888889,1.0,0.0,30
known_deconv_rho0p98,ORTH,1.0021493447110554,-0.0016761126362935166,0.23680555555555555,0.0,0.0,30
known_deconv_rho0p98,PLUG,1.0023433344949393,-0.0018797828964388778,0.025694444444444443,1.0,0.0,30
known_deconv_rho0p98,RIESZ,1.0022567697299019,-0.0017909308246317412,0.24722222222222223,0.0,0.0,30
mcar_active_mask_included,ORTH,0.6703132988368852,1.0356373242537937,0.9607638888888889,1.0,0.0,30
mcar_active_mask_included,PLUG,0.6714992354920992,1.0355239544804868,0.11388888888888889,1.0,0.0,30
mcar_active_mask_included,RIESZ,0.667839931414072,1.040843131082357,0.9711805555555556,1.0,0.0,30
mcar_active_mask_omitted,ORTH,0.7888929867274987,0.9841294204325124,0.9338541666666667,1.0,0.0,30
mcar_active_mask_omitted,PLUG,0.7875689822065499,0.9842355335097137,0.08628472222222222,1.0,0.0,30
mcar_active_mask_omitted,RIESZ,0.7843353844778425,0.9870645888358489,0.9534722222222223,1.0,0.0,30
misspecified_deconv_rho0p9_as0p5,ORTH,0.9254629655686485,0.07506412711929235,0.002777777777777778,1.0,0.4,30
misspecified_deconv_rho0p9_as0p5,PLUG,0.9254522812464373,0.07507422977762415,0.0005208333333333333,1.0,0.4,30
misspecified_deconv_rho0p9_as0p5,RIESZ,0.924993009776259,0.07553447792839746,0.13975694444444445,1.0,0.4,30
