law,data_seed,family,region,event,absolute_error,qualified,absolute_error_flow,qualified_flow,both_qualified,delta_vs_flow
bimodal,101,edm,boundary,common,0.10241003836108786,True,0.22121828533423354,True,True,-0.11880824697314568
bimodal,101,edm,boundary,rare,0.022598989191490296,True,0.023018357810915907,True,True,-0.0004193686194256113
bimodal,101,edm,central,common,0.07853526497284002,True,0.12613125658433533,True,True,-0.0475959916114953
bimodal,101,edm,central,rare,0.06485981303573954,False,0.11505550305125006,False,False,
bimodal,101,edm,extrapolated,common,0.40254916646450956,False,0.2945936004374682,False,False,
bimodal,101,edm,extrapolated,rare,0.07655214842550871,True,0.06687991630433704,True,True,0.009672232121171673
bimodal,101,flow,boundary,common,0.22121828533423354,True,0.22121828533423354,True,True,0.0
bimodal,101,flow,boundary,rare,0.023018357810915907,True,0.023018357810915907,True,True,0.0
bimodal,101,flow,central,common,0.12613125658433533,True,0.12613125658433533,True,True,0.0
bimodal,101,flow,central,rare,0.11505550305125006,False,0.11505550305125006,False,False,
bimodal,101,flow,extrapolated,common,0.2945936004374682,False,0.2945936004374682,False,False,
bimodal,101,flow,extrapolated,rare,0.06687991630433704,True,0.06687991630433704,True,True,0.0
bimodal,101,gaussian_diag,boundary,common,0.6101222634713734,True,0.22121828533423354,True,True,0.3889039781371399
bimodal,101,gaussian_diag,boundary,rare,0.1800679203675819,True,0.023018357810915907,True,True,0.157049562556666
bimodal,101,gaussian_diag,central,common,0.9658331817661894,True,0.12613125658433533,True,True,0.839701925181854
bimodal,101,gaussian_diag,central,rare,0.18003941506712395,True,0.11505550305125006,False,False,
bimodal,101,gaussian_diag,extrapolated,common,0.832957088983128,True,0.2945936004374682,False,False,
bimodal,101,gaussian_diag,extrapolated,rare,0.18004779606350096,True,0.06687991630433704,True,True,0.11316787975916393
bimodal,101,gaussian_rank2,boundary,common,0.07531730566558309,True,0.22121828533423354,True,True,-0.14590097966865045
bimodal,101,gaussian_rank2,boundary,rare,0.3547370374382084,True,0.023018357810915907,True,True,0.3317186796272925
bimodal,101,gaussian_rank2,central,common,0.29204751015467945,True,0.12613125658433533,True,True,0.16591625357034412
bimodal,101,gaussian_rank2,central,rare,0.493746256544386,True,0.11505550305125006,False,False,
bimodal,101,gaussian_rank2,extrapolated,common,0.5411602884650089,True,0.2945936004374682,False,False,
bimodal,101,gaussian_rank2,extrapolated,rare,0.24039143097056226,True,0.06687991630433704,True,True,0.17351151466622522
bimodal,101,gp_rbf,boundary,common,0.6101222634713734,True,0.22121828533423354,True,True,0.3889039781371399
bimodal,101,gp_rbf,boundary,rare,0.1800679203675819,True,0.023018357810915907,True,True,0.157049562556666
bimodal,101,gp_rbf,central,common,0.9658331817661894,True,0.12613125658433533,True,True,0.839701925181854
bimodal,101,gp_rbf,central,rare,0.18003941506712395,True,0.11505550305125006,False,False,
bimodal,101,gp_rbf,extrapolated,common,0.832957088983128,True,0.2945936004374682,False,False,
bimodal,101,gp_rbf,extrapolated,rare,0.18004779606350096,True,0.06687991630433704,True,True,0.11316787975916393
bimodal,101,mdn4,boundary,common,0.15619281162183296,True,0.22121828533423354,True,True,-0.06502547371240058
bimodal,101,mdn4,boundary,rare,0.03597948374844545,True,0.023018357810915907,True,True,0.012961125937529544
bimodal,101,mdn4,central,common,0.05193246676638469,True,0.12613125658433533,True,True,-0.07419878981795064
bimodal,101,mdn4,central,rare,0.05528765674597091,False,0.11505550305125006,False,False,
bimodal,101,mdn4,extrapolated,common,0.34240448880542806,True,0.2945936004374682,False,False,
bimodal,101,mdn4,extrapolated,rare,0.05078668300047959,True,0.06687991630433704,True,True,-0.01609323330385745
bimodal,101,ridge,boundary,common,0.004052091075314013,True,0.22121828533423354,True,True,-0.21716619425891953
bimodal,101,ridge,boundary,rare,0.43410643417910544,True,0.023018357810915907,True,True,0.41108807636818956
bimodal,101,ridge,central,common,0.35165882721950203,True,0.12613125658433533,True,True,0.2255275706351667
bimodal,101,ridge,central,rare,0.4341349394795636,True,0.11505550305125006,False,False,
bimodal,101,ridge,extrapolated,common,0.2187827344364407,True,0.2945936004374682,False,False,
bimodal,101,ridge,extrapolated,rare,0.43412655848318615,True,0.06687991630433704,True,True,0.3672466421788491
bimodal,101,student_rank2,boundary,common,0.04888462891093592,True,0.22121828533423354,True,True,-0.17233365642329762
bimodal,101,student_rank2,boundary,rare,0.5832507769454719,True,0.023018357810915907,True,True,0.560232419134556
bimodal,101,student_rank2,central,common,0.30178843291084556,True,0.12613125658433533,True,True,0.17565717632651023
bimodal,101,student_rank2,central,rare,0.8084508551840475,True,0.11505550305125006,False,False,
bimodal,101,student_rank2,extrapolated,common,0.593972138140609,True,0.2945936004374682,False,False,
bimodal,101,student_rank2,extrapolated,rare,0.2282237391666352,True,0.06687991630433704,True,True,0.16134382286229815
bimodal,101,transformer_mdn4,boundary,common,0.13646602449933176,True,0.22121828533423354,True,True,-0.08475226083490178
bimodal,101,transformer_mdn4,boundary,rare,0.045894476155855096,True,0.023018357810915907,True,True,0.02287611834493919
bimodal,101,transformer_mdn4,central,common,0.294698071540328,True,0.12613125658433533,True,True,0.16856681495599268
bimodal,101,transformer_mdn4,central,rare,0.0650438312776338,False,0.11505550305125006,False,False,
bimodal,101,transformer_mdn4,extrapolated,common,0.15434109037705063,True,0.2945936004374682,False,False,
bimodal,101,transformer_mdn4,extrapolated,rare,0.020905946777155446,True,0.06687991630433704,True,True,-0.04597396952718159
bimodal,202,edm,boundary,common,0.11731010188587038,True,0.08638383798637495,True,True,0.030926263899495432
bimodal,202,edm,boundary,rare,0.0734765434791834,False,0.09960975459693445,False,False,
bimodal,202,edm,central,common,0.048989988536664975,True,0.03702724587332351,True,True,0.011962742663341464
bimodal,202,edm,central,rare,0.05577287717951205,False,0.061488288858297595,False,False,
bimodal,202,edm,extrapolated,common,0.5099675146408482,False,0.343709256497491,False,False,
bimodal,202,edm,extrapolated,rare,0.05737245844314551,True,0.1135790934164758,True,True,-0.0562066349733303
bimodal,202,flow,boundary,common,0.08638383798637495,True,0.08638383798637495,True,True,0.0
bimodal,202,flow,boundary,rare,0.09960975459693445,False,0.09960975459693445,False,False,
bimodal,202,flow,central,common,0.03702724587332351,True,0.03702724587332351,True,True,0.0
bimodal,202,flow,central,rare,0.061488288858297595,False,0.061488288858297595,False,False,
bimodal,202,flow,extrapolated,common,0.343709256497491,False,0.343709256497491,False,False,
bimodal,202,flow,extrapolated,rare,0.1135790934164758,True,0.1135790934164758,True,True,0.0
bimodal,202,gaussian_diag,boundary,common,0.6393542722564208,True,0.08638383798637495,True,True,0.5529704342700459
bimodal,202,gaussian_diag,boundary,rare,0.18187802844427425,True,0.09960975459693445,False,False,
bimodal,202,gaussian_diag,central,common,0.9607761182880563,True,0.03702724587332351,True,True,0.9237488724147328
bimodal,202,gaussian_diag,central,rare,0.18185551520796117,True,0.061488288858297595,False,False,
bimodal,202,gaussian_diag,extrapolated,common,0.8440925528448882,True,0.343709256497491,False,False,
bimodal,202,gaussian_diag,extrapolated,rare,0.1818627266969315,True,0.1135790934164758,True,True,0.06828363328045568
bimodal,202,gaussian_rank2,boundary,common,0.06905086138519634,True,0.08638383798637495,True,True,-0.017332976601178607
bimodal,202,gaussian_rank2,boundary,rare,0.3884253824269501,True,0.09960975459693445,False,False,
bimodal,202,gaussian_rank2,central,common,0.2482961032655993,True,0.03702724587332351,True,True,0.2112688573922758
bimodal,202,gaussian_rank2,central,rare,0.5306244998144953,True,0.061488288858297595,False,False,
