law,region,event,qualified_families,lowest_mean_error_family,error,flow_error,flow_qualified_datasets
bimodal,boundary,common,9,ridge,0.0078032346287787435,0.1537502457293364,3
bimodal,boundary,rare,6,mdn4,0.04305182688632609,0.08177798112928751,1
bimodal,central,common,9,mdn4,0.05813763782851735,0.12181168653740382,3
bimodal,central,rare,5,gaussian_diag,0.17992231207424572,0.1134762395199197,0
bimodal,extrapolated,common,7,transformer_mdn4,0.18645682012526613,0.31538998690151643,0
bimodal,extrapolated,rare,9,transformer_mdn4,0.03811397332629073,0.12409663256182725,3
heavy_tailed,boundary,common,8,transformer_mdn4,0.1205580623804408,0.12648995678305455,2
heavy_tailed,boundary,rare,5,student_rank2,0.20406869763679025,0.4912001269640028,1
heavy_tailed,central,common,9,edm,0.019049377198170653,0.02661030561451035,3
heavy_tailed,central,rare,5,student_rank2,0.05786979861726782,0.5422670250361152,0
heavy_tailed,extrapolated,common,6,student_rank2,0.28992375332699355,0.5004823052000649,0
heavy_tailed,extrapolated,rare,8,student_rank2,0.15765271581543902,0.1939227564898014,3
linear_gaussian,boundary,common,9,ridge,0.0021675212638318877,0.09861983584324319,3
linear_gaussian,boundary,rare,8,ridge,0.002167521263831943,0.038461975592292315,3
linear_gaussian,central,common,9,ridge,0.0021675212638318877,0.020967102102020272,3
linear_gaussian,central,rare,5,ridge,0.0021675212638319064,0.062275810811127506,0
linear_gaussian,extrapolated,common,7,ridge,0.002167521263831832,0.09047406280604202,0
linear_gaussian,extrapolated,rare,9,ridge,0.002167521263831943,0.059753192042138185,3
nonlinear_heteroskedastic,boundary,common,9,ridge,0.01360198528008455,0.1177890712015035,3
nonlinear_heteroskedastic,boundary,rare,7,ridge,0.013601985280084494,0.031466495450650944,3
nonlinear_heteroskedastic,central,common,9,ridge,0.005555612990792195,0.023186665576283044,3
nonlinear_heteroskedastic,central,rare,5,ridge,0.005555612990792251,0.08232447770362543,0
nonlinear_heteroskedastic,extrapolated,common,6,ridge,0.011907828265793322,0.1210964250479352,0
nonlinear_heteroskedastic,extrapolated,rare,9,ridge,0.011907828265793285,0.05929798331476743,3
