family,region,step,absolute_error,mc_se
edm,boundary,0.05,0.17973976720456955,0.0007641197169552584
edm,boundary,0.1,0.17974319513869444,0.0007621542909487583
edm,boundary,0.2,0.1797584375781721,0.0007542548422660834
edm,central,0.05,0.12288628890590743,0.0012456580258615167
edm,central,0.1,0.12356844024497404,0.0012344648247802584
edm,central,0.2,0.12629154010105223,0.0011952746450022166
edm,extrapolated,0.05,0.46695111323678146,0.000384975400081525
edm,extrapolated,0.1,0.46682604197388344,0.00038495527350730836
edm,extrapolated,0.2,0.4663248157952326,0.0003848739803084084
flow,boundary,0.05,0.1667398458689919,0.0012655648040628415
flow,boundary,0.1,0.16670923827955023,0.00125903839401855
flow,boundary,0.2,0.16658357527677214,0.0012322040348637167
flow,central,0.05,0.0703515201890766,0.0014871393878238583
flow,central,0.1,0.07050890348219267,0.001467824427493175
flow,central,0.2,0.07112609417811706,0.0014013444323491334
flow,extrapolated,0.05,0.45722971347614444,0.0009540538223973917
flow,extrapolated,0.1,0.4570611510113031,0.0009533378996157584
flow,extrapolated,0.2,0.4563851327186333,0.0009505049231569833
gaussian_diag,boundary,0.05,0.13841750731644142,0.0010179840819179334
gaussian_diag,boundary,0.1,0.1382698183468971,0.0010149677279112834
gaussian_diag,boundary,0.2,0.13781109666690053,0.0010028596623735417
gaussian_diag,central,0.05,0.087242949299148,0.0006865224188789667
gaussian_diag,central,0.1,0.08692641444158329,0.0006791861517861417
gaussian_diag,central,0.2,0.0864163442270615,0.00065096964203715
gaussian_diag,extrapolated,0.05,0.5755099723984581,0.0003856467949083833
gaussian_diag,extrapolated,0.1,0.5753238757744575,0.0003855987921055583
gaussian_diag,extrapolated,0.2,0.5745737051041236,0.0003854021211831167
gaussian_rank2,boundary,0.05,0.12345123951024738,0.0018044730162669082
gaussian_rank2,boundary,0.1,0.12360031740138033,0.0018012406686154416
gaussian_rank2,boundary,0.2,0.1242025317915701,0.001788356500560675
gaussian_rank2,central,0.05,0.08581336466444522,0.002107742837949933
gaussian_rank2,central,0.1,0.08456185440692016,0.0020982460214279417
gaussian_rank2,central,0.2,0.08007174008463518,0.0020617592738006083
gaussian_rank2,extrapolated,0.05,0.5592062433046628,0.0013343925288467
gaussian_rank2,extrapolated,0.1,0.559007347550501,0.0013345650410868167
gaussian_rank2,extrapolated,0.2,0.5582095611393769,0.001335250994805725
gp_rbf,boundary,0.05,0.18550277297052767,0.0002176280752303959
gp_rbf,boundary,0.1,0.18490694537286878,0.00023387470644260894
gp_rbf,boundary,0.2,0.18270086354800072,0.0002948440139589833
gp_rbf,central,0.05,0.07051221839533083,8.14320757321241e-06
gp_rbf,central,0.1,0.07020421568462436,7.92862629297881e-06
gp_rbf,central,0.2,0.06922019196724523,7.1443360835718346e-06
gp_rbf,extrapolated,0.05,0.8896162371724028,0.002480966472370525
gp_rbf,extrapolated,0.1,0.8891959609304804,0.0024791674204643083
gp_rbf,extrapolated,0.2,0.8875175181587664,0.0024721917142586083
mdn4,boundary,0.05,0.1264041436245346,0.0077474082782618
mdn4,boundary,0.1,0.12506628794696154,0.005755491332221275
mdn4,boundary,0.2,0.12298498951012543,0.0037370341081531
mdn4,central,0.05,0.12208052568064397,0.013248764620606784
mdn4,central,0.1,0.1181280996809279,0.009089344433246958
mdn4,central,0.2,0.10377269255808975,0.006606671089399634
mdn4,extrapolated,0.05,0.6273424176893598,0.007451916024414117
mdn4,extrapolated,0.1,0.6268806123678191,0.0050163033293619584
mdn4,extrapolated,0.2,0.6267252257000343,0.0032961427593979666
ridge,boundary,0.05,0.22272973004710492,5.077617016577247e-15
ridge,boundary,0.1,0.22272973004710409,2.7238970562997518e-15
ridge,boundary,0.2,0.2227297300471038,1.4136494170433524e-15
ridge,central,0.05,0.09733570018789035,3.050491276915521e-16
ridge,central,0.1,0.09733570018789028,3.6305017050017683e-16
ridge,central,0.2,0.09733570018789024,3.06483409466375e-16
ridge,extrapolated,0.05,0.17234345164317758,1.3749319474858104e-14
ridge,extrapolated,0.1,0.1723434516431754,6.680728150644262e-15
ridge,extrapolated,0.2,0.17234345164317363,3.636374302137551e-15
student_rank2,boundary,0.05,0.11532201210597055,0.0020009841172895166
student_rank2,boundary,0.1,0.11552997407489868,0.0019969737412689915
student_rank2,boundary,0.2,0.11634928875647615,0.001980948947496733
student_rank2,central,0.05,0.09409123167153581,0.002271596760487825
student_rank2,central,0.1,0.09281694832995573,0.0022642758308186084
student_rank2,central,0.2,0.08880686011002459,0.0022358333829869998
student_rank2,extrapolated,0.05,0.5660665088174395,0.0015029575286172835
student_rank2,extrapolated,0.1,0.5658873364328768,0.0015032637956640333
student_rank2,extrapolated,0.2,0.5651678372478832,0.0015044916221647166
transformer_mdn4,boundary,0.05,0.10665748566029742,0.0073220419072776086
transformer_mdn4,boundary,0.1,0.10770577426050272,0.00500273117032055
transformer_mdn4,boundary,0.2,0.10740714615345577,0.004924873077746234
transformer_mdn4,central,0.05,0.13566458706221027,0.010082718215852592
transformer_mdn4,central,0.1,0.13083483368892726,0.006148827397516442
transformer_mdn4,central,0.2,0.11857391947322786,0.004116335399550134
transformer_mdn4,extrapolated,0.05,0.562618039124895,0.00479738099024005
transformer_mdn4,extrapolated,0.1,0.5620888845670078,0.0031063799575626583
transformer_mdn4,extrapolated,0.2,0.5615295417367848,0.002418190939066842
