law,data_seed,init,family,region,step,target,estimate,mc_se,truth,error
linear_gaussian,303,1701,transformer_mdn4,central,0.2,0,0.7482158919420071,0.0023578535177498,0.8,-0.0517841080579929
linear_gaussian,303,1701,transformer_mdn4,central,0.2,1,0.3015418874569031,0.0016737295576922,0.5,-0.1984581125430968
linear_gaussian,303,1701,transformer_mdn4,central,0.2,2,-0.1642985962526872,0.0030702054546515,-0.2,0.0357014037473127
linear_gaussian,303,1701,transformer_mdn4,central,0.1,0,0.7427169845032489,0.0023681165659867,0.8,-0.0572830154967511
linear_gaussian,303,1701,transformer_mdn4,central,0.1,1,0.2917860072085473,0.0018559623486032,0.5,-0.2082139927914527
linear_gaussian,303,1701,transformer_mdn4,central,0.1,2,-0.1664520375051638,0.0090245747737407,-0.2,0.0335479624948362
linear_gaussian,303,1701,transformer_mdn4,central,0.05,0,0.7410913671877619,0.0040784219279022,0.8,-0.0589086328122381
linear_gaussian,303,1701,transformer_mdn4,central,0.05,1,0.2908804067595439,0.0002469007830266,0.5,-0.209119593240456
linear_gaussian,303,1701,transformer_mdn4,central,0.05,2,-0.1655214602463787,0.0059348725927791,-0.2,0.0344785397536212
linear_gaussian,303,1701,transformer_mdn4,boundary,0.2,0,0.614039204472304,0.0024349008474586,0.8,-0.185960795527696
linear_gaussian,303,1701,transformer_mdn4,boundary,0.2,1,0.3909770829643172,0.0013543706890888,0.5,-0.1090229170356827
linear_gaussian,303,1701,transformer_mdn4,boundary,0.2,2,-0.3957733239328065,0.0018359274526284,-0.2,-0.1957733239328065
linear_gaussian,303,1701,transformer_mdn4,boundary,0.1,0,0.6218860610503877,0.0020462138806669,0.8,-0.1781139389496123
linear_gaussian,303,1701,transformer_mdn4,boundary,0.1,1,0.4008661922944505,0.0010165255639898,0.5,-0.0991338077055494
linear_gaussian,303,1701,transformer_mdn4,boundary,0.1,2,-0.3985371600691011,0.0013634911478101,-0.2,-0.1985371600691011
linear_gaussian,303,1701,transformer_mdn4,boundary,0.05,0,0.6268813900025153,0.0026678203181208,0.8,-0.1731186099974847
linear_gaussian,303,1701,transformer_mdn4,boundary,0.05,1,0.4076226733109906,0.0012054877676324,0.5,-0.0923773266890093
linear_gaussian,303,1701,transformer_mdn4,boundary,0.05,2,-0.3976443885268972,0.0064980666756279,-0.2,-0.1976443885268972
linear_gaussian,303,1701,transformer_mdn4,extrapolated,0.2,0,-0.0309356161772927,0.0015388674875353,0.8,-0.8309356161772928
linear_gaussian,303,1701,transformer_mdn4,extrapolated,0.2,1,-0.1673373041229682,0.0025634762059454,0.5,-0.6673373041229682
linear_gaussian,303,1701,transformer_mdn4,extrapolated,0.2,2,-0.0773066408540336,0.0049438350856966,-0.2,0.1226933591459663
linear_gaussian,303,1701,transformer_mdn4,extrapolated,0.1,0,-0.0313591392123598,0.0022795025226589,0.8,-0.8313591392123599
linear_gaussian,303,1701,transformer_mdn4,extrapolated,0.1,1,-0.1712088462371045,0.0027420829166207,0.5,-0.6712088462371045
linear_gaussian,303,1701,transformer_mdn4,extrapolated,0.1,2,-0.0776930586450125,0.0059985310943809,-0.2,0.1223069413549874
linear_gaussian,303,1701,transformer_mdn4,extrapolated,0.05,0,-0.029886918772766,0.002842288179168,0.8,-0.8298869187727661
linear_gaussian,303,1701,transformer_mdn4,extrapolated,0.05,1,-0.1729867836197594,0.0024433286142822,0.5,-0.6729867836197594
linear_gaussian,303,1701,transformer_mdn4,extrapolated,0.05,2,-0.0748594603532929,0.0053900398456344,-0.2,0.125140539646707
heavy_tailed,303,2903,transformer_mdn4,central,0.2,0,1.5945949325990458,0.0070832617523546,1.6,-0.0054050674009542
heavy_tailed,303,2903,transformer_mdn4,central,0.2,1,0.3784573431290473,0.0031030239125415,0.5,-0.1215426568709527
heavy_tailed,303,2903,transformer_mdn4,central,0.2,2,-0.1808452684391135,0.0020019363918475,-0.2,0.0191547315608864
heavy_tailed,303,2903,transformer_mdn4,central,0.1,0,1.6199470751290406,0.0093906320126352,1.6,0.0199470751290404
heavy_tailed,303,2903,transformer_mdn4,central,0.1,1,0.3875685929540136,0.003431957037457,0.5,-0.1124314070459864
heavy_tailed,303,2903,transformer_mdn4,central,0.1,2,-0.1932923046200766,0.0012818454559493,-0.2,0.0067076953799234
heavy_tailed,303,2903,transformer_mdn4,central,0.05,0,1.6240508307001926,0.0100012923744481,1.6,0.0240508307001925
heavy_tailed,303,2903,transformer_mdn4,central,0.05,1,0.3900161548122202,0.0057722054465896,0.5,-0.1099838451877797
heavy_tailed,303,2903,transformer_mdn4,central,0.05,2,-0.2014662106035144,0.004416963204561,-0.2,-0.0014662106035144
heavy_tailed,303,2903,transformer_mdn4,boundary,0.2,0,0.7401748349937783,0.0025980623583594,0.6182383242455304,0.1219365107482479
