law,region,event,fully_qualified_families,lowest_mean_error_family,error,runner_up
bimodal,boundary,common,9,ridge,0.010971650921284633,gaussian_rank2
bimodal,boundary,rare,5,mdn4,0.04566371585881187,gaussian_diag
bimodal,central,common,9,mdn4,0.05792740415728176,edm
bimodal,central,rare,0,unresolved,,none
bimodal,extrapolated,common,3,transformer_mdn4,0.1914316172399918,mdn4
bimodal,extrapolated,rare,7,transformer_mdn4,0.038113973326290636,edm
heavy_tailed,boundary,common,8,transformer_mdn4,0.11785901745845635,student_rank2
heavy_tailed,boundary,rare,4,ridge,0.5301753126584877,gaussian_rank2
heavy_tailed,central,common,9,student_rank2,0.018508275206727865,edm
heavy_tailed,central,rare,0,unresolved,,none
heavy_tailed,extrapolated,common,0,unresolved,,none
heavy_tailed,extrapolated,rare,7,flow,0.19895963590832122,gaussian_rank2
linear_gaussian,boundary,common,9,ridge,0.0045553690536727,gaussian_rank2
linear_gaussian,boundary,rare,8,ridge,0.013002485729585499,gaussian_rank2
linear_gaussian,central,common,9,ridge,0.0029839610530781667,student_rank2
linear_gaussian,central,rare,0,unresolved,,none
linear_gaussian,extrapolated,common,0,unresolved,,none
linear_gaussian,extrapolated,rare,9,ridge,0.0015841316700459,flow
nonlinear_heteroskedastic,boundary,common,9,gaussian_rank2,0.02353963299572223,ridge
nonlinear_heteroskedastic,boundary,rare,6,ridge,0.009648075420557433,gaussian_rank2
nonlinear_heteroskedastic,central,common,9,ridge,0.005508128870809367,student_rank2
nonlinear_heteroskedastic,central,rare,0,unresolved,,none
nonlinear_heteroskedastic,extrapolated,common,2,transformer_mdn4,0.14901372949788583,gp_rbf
nonlinear_heteroskedastic,extrapolated,rare,9,ridge,0.02079498472866183,gaussian_rank2
