law,data_seed,family,region,energy,mean_squared_error,coverage90,width90,tail_brier,tail_probability_abs_error,sampling_seconds_per_history,energy_flow,mean_squared_error_flow,coverage90_flow,width90_flow,tail_brier_flow,tail_probability_abs_error_flow,sampling_seconds_per_history_flow,energy_delta_vs_flow,mean_squared_error_delta_vs_flow,coverage90_delta_vs_flow,width90_delta_vs_flow,tail_brier_delta_vs_flow,tail_probability_abs_error_delta_vs_flow,sampling_seconds_per_history_delta_vs_flow
bimodal,101,edm,boundary,0.47543532717552345,0.030904817080048174,0.8958333333333334,1.5068685225986937,0.04917748769124349,0.02244466145833329,0.0018748342081379998,0.44231708967412836,0.0025971703894672273,0.8711751302083334,1.362182134080329,0.05791632334391276,0.08481445312499998,0.00180550085497085,0.03311823750139509,0.028307646690580945,0.024658203125,0.14468638851836468,-0.008738835652669266,-0.06236979166666669,6.93333531671498e-05
bimodal,101,edm,central,0.5794791228185993,0.014106612887474683,0.9193522135416666,1.6774487101557505,0.05408541361490885,0.06832682291666665,0.0018822178947932998,0.5724643126989534,0.004144272825551,0.9080403645833334,1.605602003834606,0.049933433532714844,0.03325195312499995,0.0018058836867567002,0.007014810119645887,0.009962340061923683,0.01131184895833326,0.07184670632114454,0.004151980082194008,0.035074869791666706,7.633420803659962e-05
bimodal,101,edm,extrapolated,0.723968206281405,0.30217547964840813,0.7103949652777778,1.3858246139701846,0.12683931986490884,0.24654947916666667,0.0018742578128391,0.6222531704642547,0.2014791362059175,0.8758680555555555,1.5560259336296614,0.3596490224202474,0.5396809895833333,0.001804223958364,0.10171503581715036,0.10069634344249062,-0.16547309027777768,-0.1702013196594767,-0.23280970255533853,-0.29313151041666663,7.00338544751e-05
bimodal,101,flow,boundary,0.44231708967412836,0.0025971703894672273,0.8711751302083334,1.362182134080329,0.05791632334391276,0.08481445312499998,0.00180550085497085,0.44231708967412836,0.0025971703894672273,0.8711751302083334,1.362182134080329,0.05791632334391276,0.08481445312499998,0.00180550085497085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bimodal,101,flow,central,0.5724643126989534,0.004144272825551,0.9080403645833334,1.605602003834606,0.049933433532714844,0.03325195312499995,0.0018058836867567002,0.5724643126989534,0.004144272825551,0.9080403645833334,1.605602003834606,0.049933433532714844,0.03325195312499995,0.0018058836867567002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bimodal,101,flow,extrapolated,0.6222531704642547,0.2014791362059175,0.8758680555555555,1.5560259336296614,0.3596490224202474,0.5396809895833333,0.001804223958364,0.6222531704642547,0.2014791362059175,0.8758680555555555,1.5560259336296614,0.3596490224202474,0.5396809895833333,0.001804223958364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bimodal,101,gaussian_diag,boundary,0.46200529231220494,0.008521759071149835,0.8593478732638888,1.3136433032614916,0.06818072001139323,0.135546875,1.3322062538160631e-05,0.44231708967412836,0.0025971703894672273,0.8711751302083334,1.362182134080329,0.05791632334391276,0.08481445312499998,0.00180550085497085,0.01968820263807658,0.005924588681682608,-0.01182725694444453,-0.048538830818837475,0.010264396667480476,0.05073242187500003,-0.0017921787924326893
bimodal,101,gaussian_diag,central,0.6105706853692167,0.006948301724602454,0.9042154947916666,1.6328391332672048,0.05125999450683594,0.04368489583333331,1.4562500534035884e-05,0.5724643126989534,0.004144272825551,0.9080403645833334,1.605602003834606,0.049933433532714844,0.03325195312499995,0.0018058836867567002,0.03810637267026329,0.002804028899051454,-0.0038248697916667407,0.027237129432598817,0.0013265609741210938,0.010432942708333365,-0.0017913211862226643
bimodal,101,gaussian_diag,extrapolated,0.6494727957405808,0.24789441951579674,0.6351996527777778,1.1179168103911714,0.10306294759114583,0.1805989583333333,1.2624999120210608e-05,0.6222531704642547,0.2014791362059175,0.8758680555555555,1.5560259336296614,0.3596490224202474,0.5396809895833333,0.001804223958364,0.027219625276326154,0.046415283309879235,-0.24066840277777768,-0.43810912323848994,-0.25658607482910156,-0.35908203125000004,-0.0017915989592437894
bimodal,101,gaussian_rank2,boundary,0.44963309147351205,0.004614541400103911,0.8620062934027778,1.3193977813443478,0.06337801615397136,0.11634114583333334,2.6547729551869754e-05,0.44231708967412836,0.0025971703894672273,0.8711751302083334,1.362182134080329,0.05791632334391276,0.08481445312499998,0.00180550085497085,0.007316001799383687,0.0020173710106366834,-0.00916883680555558,-0.042784352735981246,0.005461692810058601,0.03152669270833336,-0.0017789531254189803
