law,region,lowest_mean_energy_family,energy,runner_up,runner_up_energy,flow_energy,paired_delta_min,paired_delta_max
bimodal,boundary,mdn4,0.4355400903387703,transformer_mdn4,0.4357560579783106,0.44235018409888044,-0.01110836212765165,-0.0030573972550818063
bimodal,central,mdn4,0.5736804616529746,flow,0.5744385646916467,0.5744385646916467,-0.003234654540408277,0.001962404204099766
bimodal,extrapolated,gaussian_rank2,0.5612226253671327,student_rank2,0.5635135452318079,0.642871649397316,-0.14060146650549166,-0.02649252329231888
heavy_tailed,boundary,student_rank2,0.26256322628382317,transformer_mdn4,0.2636625722110813,0.2716363423662014,-0.01096755011130024,-0.007570301679911184
heavy_tailed,central,flow,0.26101997500687285,student_rank2,0.26221887265135724,0.26101997500687285,0.0,0.0
heavy_tailed,extrapolated,gaussian_rank2,0.5624521968822704,transformer_mdn4,0.5748261086095082,0.6461448753877581,-0.165794203153816,-0.02887053645589044
linear_gaussian,boundary,ridge,0.2806042967401639,gaussian_rank2,0.28202777427010034,0.28292268325610753,-0.0025733341429597933,-0.0019100370726778393
linear_gaussian,central,ridge,0.27933093241838686,gaussian_rank2,0.2814710193780163,0.28155993852368605,-0.002505729716390681,-0.002050307461226586
linear_gaussian,extrapolated,ridge,0.2824492803555285,flow,0.5590978489633938,0.5590978489633938,-0.3567473239066295,-0.17785616538562588
nonlinear_heteroskedastic,boundary,transformer_mdn4,0.3184242140477434,gaussian_rank2,0.3190229989027904,0.32501116356066345,-0.009413143102310673,-0.00393716038927211
nonlinear_heteroskedastic,central,student_rank2,0.2823236547879099,flow,0.2823734272862754,0.2823734272862754,-0.0001146305457987995,-7.542310851316181e-06
nonlinear_heteroskedastic,extrapolated,gaussian_rank2,0.5815446043876659,gaussian_diag,0.5822587908608043,0.6487175551296122,-0.16664484987291028,0.01614574562851312
