,,,energy,energy,energy,mean_squared_error,mean_squared_error,mean_squared_error,coverage90,coverage90,coverage90,width90,width90,width90,tail_brier,tail_brier,tail_brier,tail_probability_abs_error,tail_probability_abs_error,tail_probability_abs_error,sampling_seconds_per_history,sampling_seconds_per_history,sampling_seconds_per_history
,,,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max
law,region,family,,,,,,,,,,,,,,,,,,,,,
bimodal,boundary,edm,0.4756455328618617,0.4702612732120321,0.48123999819802954,0.03586625174758911,0.030904817080048174,0.03991783931622959,0.8914840133101851,0.8846842447916666,0.8958333333333334,1.5056964294352724,1.4822532484372832,1.5279675172698404,0.04898081885443794,0.04871527353922526,0.04917748769124349,0.02144639756944441,0.01801757812499997,0.023876953124999965,0.0018728012223113166,0.0018573047079068,0.00188626475088915
bimodal,boundary,flow,0.44235018409888055,0.437428121348721,0.4473053412737921,0.004772647893189634,0.0025971703894672273,0.00789527185116972,0.8909686053240741,0.8711751302083334,0.9066569010416666,1.42138035892628,1.362182134080329,1.4771296874510549,0.06381214989556207,0.05791632334391276,0.06789207458496094,0.11261393229166666,0.08481445312499998,0.13017578125,0.00179806943075765,0.0017922039793726002,0.00180550085497085
bimodal,boundary,gaussian_diag,0.45970525946630064,0.4574127292386865,0.46200529231220494,0.004687314163445088,0.0017949549454991849,0.008521759071149835,0.8817635995370369,0.8593478732638888,0.8997938368055555,1.3933658363256771,1.3136433032614916,1.439337011152784,0.06560728285047744,0.06163215637207031,0.06818072001139323,0.12724609375,0.11308593750000001,0.135546875,1.3750291853082468e-05,1.3322062538160631e-05,1.4509542476541052e-05
bimodal,boundary,gaussian_rank2,0.44564312519258675,0.44236263105950124,0.44963309147351205,0.003527498497186879,0.002771052915571275,0.004614541400103911,0.8804886429398149,0.8620062934027778,0.8930121527777778,1.380178238440635,1.3193977813443478,1.4471705899845375,0.06542078653971355,0.06220181783040365,0.07068252563476562,0.12588975694444446,0.11422526041666665,0.14710286458333335,2.4498250341922456e-05,2.1974812019228313e-05,2.6547729551869754e-05
bimodal,boundary,gp_rbf,0.47137216296648377,0.46495216901428216,0.4771665370045582,0.008048045175097399,0.005465792402281555,0.010472939659964967,0.8852719907407408,0.8832465277777778,0.8884548611111112,1.3684061408355113,1.3242552304907305,1.4083780625302416,0.05985069274902344,0.053316752115885414,0.06400299072265625,0.09914279513888889,0.06848958333333333,0.11487630208333334,2.701158276371037e-05,2.631249905486281e-05,2.748266706475988e-05
bimodal,boundary,mdn4,0.43554009033877034,0.43116359945112404,0.43925969241904655,0.0028664713418526805,0.0020226619855348896,0.00365754953071531,0.8873155381944443,0.865234375,0.9044325086805555,1.4267093966808622,1.3679283564420937,1.4793447137477724,0.049182150099012584,0.04856650034586588,0.04961967468261719,0.024755859374999967,0.015543619791666631,0.03235677083333331,0.00014546614571971667,0.000138637167159,0.0001566215202425
bimodal,boundary,ridge,0.4585304487078483,0.45289390762706344,0.46666675681279574,0.00922088548573077,0.006926299612157717,0.010561196903982628,0.9049117476851852,0.9014756944444445,0.9111328125,1.5909407312504948,1.5484041356053455,1.6286527039790741,0.08297284444173177,0.08252652486165364,0.08385785420735677,0.18149956597222225,0.17932942708333335,0.18356119791666667,9.574083378538488e-06,9.074666498539347e-06,1.0262165839473406e-05
bimodal,boundary,student_rank2,0.4441240472199224,0.4389474310298744,0.44957945240786784,0.0063980545078262405,0.004552721555281198,0.009014406901173637,0.8743218315972222,0.8514811197916666,0.8950737847222222,1.345741299688636,1.2395487166585482,1.4446359347828943,0.06364705827501085,0.06218560536702474,0.06613000233968098,0.11935221354166668,0.11072591145833333,0.13025716145833335,2.6074645575135946e-05,2.4231770415402327e-05,2.8935749772548054e-05
