law,data_seed,region,event,between_family_sd,mean_absolute_error
bimodal,101,boundary,common,0.31728504587552386,0.21405833143558087
bimodal,101,boundary,rare,0.2787129292041318,0.20454706860327135
bimodal,101,central,common,0.3467817125063722,0.38072629098811156
bimodal,202,boundary,common,0.2992215698167275,0.18292010491313246
bimodal,202,central,common,0.38417317171866017,0.3307060793161655
bimodal,303,boundary,common,0.30322353915825984,0.19573409475579107
bimodal,303,central,common,0.33773089230342235,0.39323502690309375
bimodal,303,extrapolated,rare,0.18594606999850893,0.15246474313669367
heavy_tailed,101,boundary,common,0.21853039388373974,0.32940393496665515
heavy_tailed,101,central,common,0.09144235594261055,0.06824988024608418
heavy_tailed,101,extrapolated,rare,0.07926119118125712,0.2830512544242666
heavy_tailed,202,boundary,common,0.22694107631126098,0.28406394901533427
heavy_tailed,202,central,common,0.09192156759695877,0.06461085122192506
heavy_tailed,303,central,common,0.07964810756557726,0.05331317437160262
linear_gaussian,101,boundary,common,0.11496212279837033,0.07493859148978471
linear_gaussian,101,boundary,rare,0.11058357562509226,0.08128977996204963
linear_gaussian,101,central,common,0.10070394037283788,0.06618090722147622
linear_gaussian,101,extrapolated,rare,0.08798211664709495,0.08046553808709703
linear_gaussian,202,boundary,common,0.11849282545292746,0.07902837964726639
linear_gaussian,202,central,common,0.10119174723146106,0.06559085442140358
linear_gaussian,202,extrapolated,rare,0.0991346394760752,0.11043072825293805
linear_gaussian,303,boundary,common,0.13203258280013994,0.09869622613486359
linear_gaussian,303,central,common,0.10208605361772168,0.06444615268146557
linear_gaussian,303,extrapolated,rare,0.12402408327645184,0.11604592825977628
nonlinear_heteroskedastic,101,boundary,common,0.12479055176156162,0.09083541659108901
nonlinear_heteroskedastic,101,boundary,rare,0.11350179601824047,0.08827862141137918
nonlinear_heteroskedastic,101,central,common,0.09431546704280237,0.06505571798137698
nonlinear_heteroskedastic,101,extrapolated,rare,0.0894050727751229,0.08124077213203511
nonlinear_heteroskedastic,202,boundary,common,0.13436123216122375,0.10574505280437968
nonlinear_heteroskedastic,202,central,common,0.09880671775794206,0.07396241129815234
nonlinear_heteroskedastic,202,extrapolated,rare,0.08561307466813378,0.11069060794822601
nonlinear_heteroskedastic,303,boundary,common,0.15126659025045855,0.12010961709822429
nonlinear_heteroskedastic,303,central,common,0.09656227275103428,0.060855588833275145
nonlinear_heteroskedastic,303,extrapolated,rare,0.12122303542539971,0.10302144754044047
