law,data_seed,family,region,event,n,particle_abs_error,total_abs_error,qualified_fraction,ess
bimodal,101,edm,boundary,common,128,0.11689204604986174,0.1270728524936907,1.0,10.948668222101977
bimodal,101,edm,boundary,common,512,0.053166600723371725,0.11860089759615451,1.0,42.48883827879575
bimodal,101,edm,boundary,rare,128,0.08547039658383863,0.08759598229183967,1.0,6.171583230655365
bimodal,101,edm,boundary,rare,512,0.0479090172085744,0.044627192227413036,1.0,23.39401665461632
bimodal,101,edm,central,common,128,0.04065463032262719,0.10701361670063304,1.0,67.6272889828331
bimodal,101,edm,central,common,512,0.024490283678400726,0.0783526621907862,1.0,276.9368691915483
bimodal,101,edm,central,rare,128,,0.10331097687318247,0.0,2.7540751194550945
bimodal,101,edm,central,rare,512,,0.08794456824663228,0.0,5.3652069412286885
bimodal,101,edm,extrapolated,common,128,0.241553203045647,0.5139852328793717,0.5,2.392770626879132
bimodal,101,edm,extrapolated,common,512,0.15550573009407698,0.4063877140574679,0.5,3.7015798072391846
bimodal,101,edm,extrapolated,rare,128,0.0572829231490083,0.0968745559721873,1.0,13.436998894352945
bimodal,101,edm,extrapolated,rare,512,0.04329519723361161,0.10918458887175493,1.0,42.97047592850701
bimodal,101,flow,boundary,common,128,0.16867491929364617,0.24702443359289203,1.0,5.412928622734223
bimodal,101,flow,boundary,common,512,0.07429012945007403,0.2559719779053224,1.0,20.852437236480657
bimodal,101,flow,boundary,rare,128,0.07375654891818427,0.09161395592316594,1.0,5.976114025779856
bimodal,101,flow,boundary,rare,512,0.05743635689108199,0.07529376389606367,1.0,20.648558754681456
bimodal,101,flow,central,common,128,0.03554401916995098,0.14316543263601236,1.0,71.43058715104708
bimodal,101,flow,central,common,512,0.024958898064810848,0.11549797144084888,1.0,285.56632656399427
bimodal,101,flow,central,rare,128,,0.08751240176111157,0.0,2.7728791670886292
bimodal,101,flow,central,rare,512,,0.11706717070095307,0.0,2.7224429083322903
bimodal,101,flow,extrapolated,common,128,0.5094264610012257,0.4868431951491596,0.5,1.5746788050478229
bimodal,101,flow,extrapolated,common,512,0.3938619849444079,0.5795849331513597,0.5,3.485632347684533
bimodal,101,flow,extrapolated,rare,128,0.03458336113871819,0.07252439604398671,1.0,25.285669744940233
bimodal,101,flow,extrapolated,rare,512,0.029890382001931098,0.049172919987389825,1.0,93.57268117781693
bimodal,101,gaussian_diag,boundary,common,128,0.15457404833103375,0.5507951568291544,1.0,4.028105479347313
bimodal,101,gaussian_diag,boundary,common,512,0.054671736505624034,0.6349519691378007,1.0,16.455806002785305
bimodal,101,gaussian_diag,boundary,rare,128,0.11507983452788391,0.2292728192600804,1.0,4.474133453427291
bimodal,101,gaussian_diag,boundary,rare,512,0.18948647697453033,0.3066401373335086,1.0,9.046530628223573
bimodal,101,gaussian_diag,central,common,128,0.06644527460434481,0.9620046155322549,1.0,72.08438424883713
bimodal,101,gaussian_diag,central,common,512,0.03432138721808285,0.9471927285165197,1.0,294.3669493618198
bimodal,101,gaussian_diag,central,rare,128,0.1086330299361517,0.24640448174793703,1.0,1.8725104976932219
bimodal,101,gaussian_diag,central,rare,512,0.1435577573391277,0.22578859428541465,1.0,2.2331095945309056
bimodal,101,gaussian_diag,extrapolated,common,128,0.07812287779411035,0.8054203037607842,1.0,4.415843396051101
