family,n,particle_abs_error,total_abs_error,qualified_fraction,ess
edm,128,0.07160283434595571,0.21489839035160152,0.6319444444444444,20.652299302548478
edm,512,0.046684707953285845,0.20194883756706572,0.6319444444444444,77.30966163922542
flow,128,0.09470568274353097,0.20699420370504623,0.6458333333333334,23.24144014708398
flow,512,0.06735409751820721,0.20875288391772745,0.6458333333333334,88.50527090744416
gaussian_diag,128,0.08094569872162334,0.3738840973645823,1.0,19.372473270358263
gaussian_diag,512,0.06430549110576536,0.37074390419600034,1.0,70.96135847866965
gaussian_rank2,128,0.1283363782792389,0.23594110976376126,1.0,20.5398778882291
gaussian_rank2,512,0.10181265887206342,0.2175924991713059,1.0,74.83769160906414
gp_rbf,128,0.10114763234960096,0.39919330228494204,1.0,22.17495332579083
gp_rbf,512,0.055226315839731796,0.38865348660740784,1.0,85.9944956708781
mdn4,128,0.11147053250967376,0.2037531340957014,0.7916666666666666,18.486429147089066
mdn4,512,0.06865053693388208,0.17128626856482054,0.7916666666666666,66.27384145310043
ridge,128,0.16905398137892577,0.26582375313265766,1.0,20.487120162308795
ridge,512,0.13497721915619781,0.24949320255681062,1.0,76.99902513715053
student_rank2,128,0.2832609095033743,0.2445991148284287,1.0,18.618128489785263
student_rank2,512,0.22156037611315516,0.23949643570188103,1.0,69.21543471737135
transformer_mdn4,128,0.12753022469064718,0.22029839861892475,0.7708333333333334,18.239621862483375
transformer_mdn4,512,0.0699803708822942,0.1904509630723721,0.7708333333333334,66.94032144066666
