law,data_seed,region,mixture_label_entropy,joint_predictive_entropy,mean_squared_error,coverage90
bimodal,101,boundary,0.6349434,0.2954825667245638,0.0027160708755953277,0.8719075520833334
bimodal,101,central,0.73880655,0.47070151768162366,0.006466978409478602,0.8475748697916666
bimodal,101,extrapolated,0.6410268,0.6031981776360126,0.30707710964553053,0.616916232638889
bimodal,202,boundary,0.40553856,0.3250777993152435,0.008894766270302197,0.897705078125
bimodal,202,central,0.52971303,0.5384258589198088,0.024448496155574078,0.8628200954861112
bimodal,202,extrapolated,0.362991,0.8317509863326844,0.2713514618171144,0.6947970920138888
bimodal,303,boundary,0.49442074,0.6776821952539781,0.0021474015432402706,0.9159071180555555
bimodal,303,central,0.7007832,0.5256259606756865,0.004935296968540896,0.84326171875
bimodal,303,extrapolated,0.4319446,1.3303540253617463,0.23024420981763996,0.7919108072916666
heavy_tailed,101,boundary,0.61814004,-0.43031921785187865,0.0016352219476005502,0.8846299913194445
heavy_tailed,101,central,0.6186792,-0.3646516271046017,0.002227982196017373,0.8849012586805555
heavy_tailed,101,extrapolated,0.65120155,0.1633649935214505,0.2161188535787073,0.6119249131944444
heavy_tailed,202,boundary,0.3966612,-0.5762461587434071,0.001381508773288402,0.8881564670138888
heavy_tailed,202,central,0.55337465,-0.5790607695425608,0.0021193747572197876,0.8722873263888888
heavy_tailed,202,extrapolated,0.42674014,0.4447731510157329,0.18503326179934262,0.7287326388888888
heavy_tailed,303,boundary,0.6146285,-0.40179724458450733,0.0013238965221919023,0.9101291232638888
heavy_tailed,303,central,0.7738771,-0.7644930180270936,0.002726412392545388,0.8610568576388888
heavy_tailed,303,extrapolated,0.6233723,1.1166338253657553,0.19271145249608715,0.8441026475694445
linear_gaussian,101,boundary,0.5902625,-0.2820483345840401,0.0028228987009820488,0.8809136284722222
linear_gaussian,101,central,0.6387081,-0.2720979525699245,0.0015318136170276166,0.8772243923611112
linear_gaussian,101,extrapolated,0.61667264,0.568223978176313,0.4361173139007661,0.5137532552083334
linear_gaussian,202,boundary,0.34114358,-0.23906360818575312,0.001729830218531488,0.8851453993055555
linear_gaussian,202,central,0.47527802,-0.24750342223674546,0.0026671544198073483,0.87060546875
linear_gaussian,202,extrapolated,0.47269043,0.6408068338669292,0.4876467913571181,0.4507649739583333
linear_gaussian,303,boundary,0.9273159,-0.06898472158450437,0.0029370394583516563,0.9129774305555555
linear_gaussian,303,central,0.92965436,-0.30931772737044644,0.0027583449330966,0.8765190972222222
linear_gaussian,303,extrapolated,0.8381755,0.9762247930135474,0.47411167028855655,0.5333930121527778
nonlinear_heteroskedastic,101,boundary,0.5668155,0.02297860009528933,0.001254025870626312,0.8843858506944445
nonlinear_heteroskedastic,101,central,0.5341814,-0.27925894535523915,0.002650610493751975,0.8726128472222222
nonlinear_heteroskedastic,101,extrapolated,0.6158249,0.5115894215609406,0.19483600355478173,0.6597222222222222
nonlinear_heteroskedastic,202,boundary,0.4183569,0.27709342512890417,0.0026690133412029453,0.8941514756944445
nonlinear_heteroskedastic,202,central,0.51288086,-0.17670398294026932,0.003184806177258123,0.8623046875
nonlinear_heteroskedastic,202,extrapolated,0.5002081,1.0597377863864572,0.2013718138215241,0.72412109375
nonlinear_heteroskedastic,303,boundary,0.6837174,0.22356389621817563,0.0013342758697219741,0.9073893229166666
nonlinear_heteroskedastic,303,central,0.82390785,-0.26278826187130316,0.0028165378402218427,0.876953125
nonlinear_heteroskedastic,303,extrapolated,0.6586838,1.175892237920796,0.23246582807822255,0.7870008680555555
