law,data_seed,family,region,step,absolute_error,mc_se
bimodal,101,edm,boundary,0.05,0.1852651651268402,0.0012476776851746
bimodal,101,edm,boundary,0.1,0.18523365660035773,0.0012432192205336001
bimodal,101,edm,boundary,0.2,0.1851080177015981,0.0012252710684291332
bimodal,101,edm,central,0.05,0.23458244831170724,0.0038501957855451
bimodal,101,edm,central,0.1,0.2357763776246463,0.0038012185369189835
bimodal,101,edm,central,0.2,0.24081236091218106,0.0036137131460569835
bimodal,101,edm,extrapolated,0.05,0.4862126153838185,0.0005190869678701405
bimodal,101,edm,extrapolated,0.1,0.4860876084332106,0.0005189836707385312
bimodal,101,edm,extrapolated,0.2,0.4855858357221037,0.0005186130926086678
bimodal,101,flow,boundary,0.05,0.18722105037224293,0.0016069064278597998
bimodal,101,flow,boundary,0.1,0.18716754609281935,0.0015997743649651666
bimodal,101,flow,boundary,0.2,0.18695401169964232,0.0015683593746878167
bimodal,101,flow,central,0.05,0.10511568269049815,0.004435479828659183
bimodal,101,flow,central,0.1,0.10524132329694082,0.004339933119508283
bimodal,101,flow,central,0.2,0.10573388716064785,0.0039946275106521835
bimodal,101,flow,extrapolated,0.05,0.4032538736568032,0.0009864900372302
bimodal,101,flow,extrapolated,0.1,0.4030985175577053,0.0009858103943961166
bimodal,101,flow,extrapolated,0.2,0.4024754476249115,0.0009831533035347332
bimodal,101,gaussian_diag,boundary,0.05,0.17882995528128673,0.0013893681170610167
bimodal,101,gaussian_diag,boundary,0.1,0.17795569455243912,0.0013863789913989167
bimodal,101,gaussian_diag,boundary,0.2,0.1759116524171709,0.0013740664911944167
bimodal,101,gaussian_diag,central,0.05,0.16524670110140197,0.0002994752971945702
bimodal,101,gaussian_diag,central,0.1,0.16269311960752514,0.0002947146392695827
bimodal,101,gaussian_diag,central,0.2,0.15273525677728528,0.00027671227034942197
bimodal,101,gaussian_diag,extrapolated,0.05,0.6511521606793247,0.00010415822599269351
bimodal,101,gaussian_diag,extrapolated,0.1,0.6509256767193934,0.00010395446403321835
bimodal,101,gaussian_diag,extrapolated,0.2,0.6500121349079638,0.00010312321098655132
bimodal,101,gaussian_rank2,boundary,0.05,0.111972372939394,0.0017553397983322665
bimodal,101,gaussian_rank2,boundary,0.1,0.1116242209587518,0.0017518849036828666
bimodal,101,gaussian_rank2,boundary,0.2,0.11026841482771281,0.00173799392006075
bimodal,101,gaussian_rank2,central,0.05,0.10275755331124758,0.0014816775648672
bimodal,101,gaussian_rank2,central,0.1,0.09935512837779244,0.0014721715327662168
bimodal,101,gaussian_rank2,central,0.2,0.08601514042878196,0.001434805569794283
bimodal,101,gaussian_rank2,extrapolated,0.05,0.6409973093955639,0.0011356518000193666
bimodal,101,gaussian_rank2,extrapolated,0.1,0.6407861949331054,0.0011360617886448166
bimodal,101,gaussian_rank2,extrapolated,0.2,0.6399481169565159,0.0011376812967310334
bimodal,101,gp_rbf,boundary,0.05,0.9305914081953591,0.0007015831470010667
bimodal,101,gp_rbf,boundary,0.1,0.9254266650985574,0.0007834534747042
bimodal,101,gp_rbf,boundary,0.2,0.9056189737184338,0.0010875093481561666
bimodal,101,gp_rbf,central,0.05,0.1616717174722448,6.620049741071446e-05
bimodal,101,gp_rbf,central,0.1,0.1577161426782063,6.378604053709098e-05
bimodal,101,gp_rbf,central,0.2,0.1433745368822896,5.480059629693747e-05
bimodal,101,gp_rbf,extrapolated,0.05,0.5732737376733473,0.0001687688101629438
bimodal,101,gp_rbf,extrapolated,0.1,0.5740806175506024,0.00017953169164900795
bimodal,101,gp_rbf,extrapolated,0.2,0.5774470484198383,0.0002242134679890333
bimodal,101,mdn4,boundary,0.05,0.10944950687084236,0.013151090802619532
bimodal,101,mdn4,boundary,0.1,0.10837159614110718,0.008370354750180217
bimodal,101,mdn4,boundary,0.2,0.10754566217297669,0.006036176140087367
bimodal,101,mdn4,central,0.05,0.07983425842358294,0.03298721184505152
bimodal,101,mdn4,central,0.1,0.08027507497724505,0.01742331366128645
bimodal,101,mdn4,central,0.2,0.0734543155277862,0.016084339807516335
bimodal,101,mdn4,extrapolated,0.05,0.7841705434153675,0.005129017721253634
bimodal,101,mdn4,extrapolated,0.1,0.7771412998376027,0.005198640579087367
bimodal,101,mdn4,extrapolated,0.2,0.7746572592776744,0.00272993693931525
bimodal,101,ridge,boundary,0.05,0.39172816704732843,5.375488118072961e-15
bimodal,101,ridge,boundary,0.1,0.39172816704732677,6.047473043755171e-15
bimodal,101,ridge,boundary,0.2,0.3917281670473283,1.9459303512399174e-15
bimodal,101,ridge,central,0.05,0.16641291235407146,2.0997217067084994e-16
bimodal,101,ridge,central,0.1,0.16641291235407146,7.1383777492899e-16
bimodal,101,ridge,central,0.2,0.16641291235407155,5.512302883536584e-16
bimodal,101,ridge,extrapolated,0.05,0.46264400284833607,1.4473157583293895e-14
bimodal,101,ridge,extrapolated,0.1,0.46264400284832724,1.0400291929679397e-14
bimodal,101,ridge,extrapolated,0.2,0.4626440028483139,7.559631510481243e-15
bimodal,101,student_rank2,boundary,0.05,0.10276110664659033,0.0027425385439625166
bimodal,101,student_rank2,boundary,0.1,0.10247825790571374,0.0027379700835709
bimodal,101,student_rank2,boundary,0.2,0.1013943685514277,0.0027192796782144497
bimodal,101,student_rank2,central,0.05,0.11431550184619921,0.0018959644612250332
bimodal,101,student_rank2,central,0.1,0.11109256665197992,0.0018866423534479
bimodal,101,student_rank2,central,0.2,0.09842874143084453,0.0018493437861313168
bimodal,101,student_rank2,extrapolated,0.05,0.6676076685915285,0.0011885648025150668
bimodal,101,student_rank2,extrapolated,0.1,0.6673922062557652,0.00118906135917865
bimodal,101,student_rank2,extrapolated,0.2,0.66652809639467,0.00119108009256285
bimodal,101,transformer_mdn4,boundary,0.05,0.25526697269392,0.008992374562034734
bimodal,101,transformer_mdn4,boundary,0.1,0.25696931684005303,0.005685184630475866
bimodal,101,transformer_mdn4,boundary,0.2,0.24105067997988652,0.0043668417116179
bimodal,101,transformer_mdn4,central,0.05,0.22737603129462092,0.013821047786507732
bimodal,101,transformer_mdn4,central,0.1,0.22266274817409118,0.013046507498658452
bimodal,101,transformer_mdn4,central,0.2,0.19780326075841015,0.004984045315414067
bimodal,101,transformer_mdn4,extrapolated,0.05,0.5653988851001476,0.0034996396903358
bimodal,101,transformer_mdn4,extrapolated,0.1,0.5670325026677272,0.0015751902353648
bimodal,101,transformer_mdn4,extrapolated,0.2,0.5671645919499622,0.00142359173333455
bimodal,202,edm,boundary,0.05,0.20264393240748804,0.0019472497395107166
bimodal,202,edm,boundary,0.1,0.20262885173033215,0.0019440116237113834
bimodal,202,edm,boundary,0.2,0.2025582345433629,0.0019264135134990001
bimodal,202,edm,central,0.05,0.3183183910079766,0.00176275150786135
bimodal,202,edm,central,0.1,0.31888345665632023,0.0017499334607023666
bimodal,202,edm,central,0.2,0.3212656762134233,0.0017214247363458665
bimodal,202,edm,extrapolated,0.05,0.5354158386895991,0.000766263211679
bimodal,202,edm,extrapolated,0.1,0.5351952227487238,0.00076637999566015
bimodal,202,edm,extrapolated,0.2,0.5343105012939044,0.0007669198503883332
bimodal,202,flow,boundary,0.05,0.2228124240337368,0.005318461085047734
bimodal,202,flow,boundary,0.1,0.22274579221173374,0.005260907815748517
bimodal,202,flow,boundary,0.2,0.22245922630935944,0.005026059347291633
bimodal,202,flow,central,0.05,0.05814125111522594,0.004472453519531467
bimodal,202,flow,central,0.1,0.0593849066838133,0.0043868571338013165
bimodal,202,flow,central,0.2,0.06427532693524297,0.004146181910014317
bimodal,202,flow,extrapolated,0.05,0.47360503218221867,0.0011553393570738115
bimodal,202,flow,extrapolated,0.1,0.47351335951456797,0.0011552470879912524
bimodal,202,flow,extrapolated,0.2,0.473130224335317,0.0011548492987973422
bimodal,202,gaussian_diag,boundary,0.05,0.19639990674295227,0.002983974936771931
bimodal,202,gaussian_diag,boundary,0.1,0.19559603035943707,0.0029711978385585807
bimodal,202,gaussian_diag,boundary,0.2,0.19243269922908135,0.002920275879729728
bimodal,202,gaussian_diag,central,0.05,0.10637127601846258,0.0007222616997329834
bimodal,202,gaussian_diag,central,0.1,0.10716629452805886,0.0007093562045494499
bimodal,202,gaussian_diag,central,0.2,0.11348745847302899,0.0006600035057152833
bimodal,202,gaussian_diag,extrapolated,0.05,0.6255509534510808,0.00045737568356722945
bimodal,202,gaussian_diag,extrapolated,0.1,0.6252572246274916,0.0004569431175534807
bimodal,202,gaussian_diag,extrapolated,0.2,0.6240712491635737,0.00045518238241216074
bimodal,202,gaussian_rank2,boundary,0.05,0.13743412757496207,0.0038938630115802667
bimodal,202,gaussian_rank2,boundary,0.1,0.1374736944413025,0.0038852460999153
bimodal,202,gaussian_rank2,boundary,0.2,0.13761528230072015,0.003850880116604017
bimodal,202,gaussian_rank2,central,0.05,0.0868920629342972,0.0017551467050822
bimodal,202,gaussian_rank2,central,0.1,0.08607843918048598,0.0017456049283076666
bimodal,202,gaussian_rank2,central,0.2,0.08291098335931081,0.0017086221868477002
bimodal,202,gaussian_rank2,extrapolated,0.05,0.587376845663361,0.002330279478442883
bimodal,202,gaussian_rank2,extrapolated,0.1,0.5870231481798437,0.002330747089981583
bimodal,202,gaussian_rank2,extrapolated,0.2,0.5856052536817405,0.0023325983548900166
bimodal,202,gp_rbf,boundary,0.05,0.41199211955979004,0.0007250052194358332
bimodal,202,gp_rbf,boundary,0.1,0.4077013558035745,0.0007894340022553667
bimodal,202,gp_rbf,boundary,0.2,0.3918628154541239,0.0010233860184173
bimodal,202,gp_rbf,central,0.05,0.28997448877839255,1.3375622721868612e-06
bimodal,202,gp_rbf,central,0.1,0.28572802730641494,1.6944861652076767e-06
bimodal,202,gp_rbf,central,0.2,0.2702725399615568,3.3280337939660638e-06
bimodal,202,gp_rbf,extrapolated,0.05,0.7682948036252895,0.0001051705556104646
bimodal,202,gp_rbf,extrapolated,0.1,0.770245941651297,0.00011339668093437793
bimodal,202,gp_rbf,extrapolated,0.2,0.7778669785843149,0.00014816074048320865
bimodal,202,mdn4,boundary,0.05,0.1116958468766774,0.013287725140229833
bimodal,202,mdn4,boundary,0.1,0.10820997896500305,0.0101989039977129
bimodal,202,mdn4,boundary,0.2,0.10137829694579036,0.005450427034332784
bimodal,202,mdn4,central,0.05,0.14535116392138867,0.01709565791654075
bimodal,202,mdn4,central,0.1,0.13406348414519043,0.020059150784880683
bimodal,202,mdn4,central,0.2,0.12385459696026152,0.013518638660036582
