law,data_seed,family,init,convergence,best_epoch,last_epoch,extended,parameters,training_seconds,validation_energy
linear_gaussian,303,transformer_mdn4,1701,validation_early_stop,30.0,70.0,False,17900.0,1.5283250830252655,0.27877800108624495
heavy_tailed,303,transformer_mdn4,2903,validation_early_stop,50.0,90.0,False,17900.0,1.8771933329990134,0.23731995699700964
heavy_tailed,303,mdn4,1701,validation_early_stop,70.0,110.0,False,8388.0,1.030432750005275,0.2420319690524636
linear_gaussian,101,gaussian_diag,2903,validation_early_stop,90.0,130.0,False,2566.0,0.4801577089820057,0.30771180604771997
linear_gaussian,303,edm,2903,validation_early_stop,30.0,70.0,False,2723.0,0.6693397499620914,0.2909791148379934
heavy_tailed,101,edm,2903,validation_early_stop,40.0,80.0,False,2723.0,0.7577253330382518,0.3062843943168832
bimodal,202,gaussian_diag,2903,validation_early_stop,90.0,130.0,False,2566.0,0.4431346249766648,0.5546496239039354
bimodal,101,ridge,0,finite_grid_complete,,,,,0.005764624977018684,0.5346254826461486
nonlinear_heteroskedastic,101,ridge,0,finite_grid_complete,,,,,0.006113082985393703,0.319083566756826
heavy_tailed,303,flow,2903,validation_early_stop,50.0,90.0,False,2659.0,0.7995755419833586,0.2467561522989614
heavy_tailed,101,student_rank2,2903,validation_early_stop,60.0,100.0,False,2765.0,0.5329994589556009,0.2948962431313036
linear_gaussian,303,flow,1701,validation_early_stop,50.0,90.0,False,2659.0,0.8171010420192033,0.2792815051490471
nonlinear_heteroskedastic,303,transformer_mdn4,1701,validation_early_stop,30.0,70.0,False,17900.0,1.460871249961201,0.28322481427274926
heavy_tailed,303,gaussian_rank2,1701,validation_early_stop,20.0,60.0,False,2764.0,0.28249287500511855,0.24548269951955
bimodal,101,transformer_mdn4,1701,validation_early_stop,30.0,70.0,False,17900.0,1.46190758299781,0.5226975835539748
linear_gaussian,202,gp_rbf,0,finite_grid_complete,,,,,0.19830475002527237,0.32167750768043113
bimodal,303,edm,1701,validation_early_stop,260.0,300.0,True,2723.0,2.81450766697526,0.553448079388519
heavy_tailed,303,student_rank2,1701,validation_early_stop,140.0,180.0,False,2765.0,0.9562895420240238,0.2394059912428253
bimodal,202,gaussian_rank2,2903,validation_early_stop,90.0,130.0,False,2764.0,0.614618083985988,0.5531683830064664
linear_gaussian,303,gaussian_diag,1701,validation_early_stop,20.0,60.0,False,2566.0,0.21225941699231043,0.28667468061522566
linear_gaussian,303,mdn4,2903,validation_early_stop,50.0,90.0,False,8388.0,0.8758452499751002,0.2794080331744382
nonlinear_heteroskedastic,101,gaussian_rank2,2903,validation_early_stop,80.0,120.0,False,2764.0,0.567812875029631,0.3048696334010454
nonlinear_heteroskedastic,202,student_rank2,1701,validation_early_stop,40.0,80.0,False,2765.0,0.4254768749815412,0.30625208346859356
nonlinear_heteroskedastic,202,gp_rbf,0,finite_grid_complete,,,,,0.1904918749933131,0.32130110961111014
heavy_tailed,101,flow,1701,validation_early_stop,110.0,150.0,False,2659.0,1.3661106660147198,0.29639254849322905
heavy_tailed,101,gaussian_diag,2903,validation_early_stop,100.0,140.0,False,2566.0,0.5171868749894202,0.3002278841904267
nonlinear_heteroskedastic,303,gaussian_rank2,2903,validation_early_stop,150.0,190.0,False,2764.0,0.8996569999726489,0.28182881225918754
linear_gaussian,202,gaussian_rank2,1701,validation_early_stop,20.0,60.0,False,2764.0,0.3018004579935223,0.3105048458280548
heavy_tailed,202,transformer_mdn4,2903,validation_early_stop,40.0,80.0,False,17900.0,1.6538392920047045,0.31642371675538494
linear_gaussian,202,transformer_mdn4,1701,validation_early_stop,30.0,70.0,False,17900.0,1.558030832966324,0.3154702035872451
bimodal,202,student_rank2,2903,validation_early_stop,90.0,130.0,False,2765.0,0.6974835839937441,0.5504801917350473
heavy_tailed,101,mdn4,2903,validation_early_stop,30.0,70.0,False,8388.0,0.6575476670404896,0.2989722560816392
heavy_tailed,101,gaussian_rank2,1701,validation_early_stop,120.0,160.0,False,2764.0,0.7505765410023741,0.2952046031697303
linear_gaussian,101,student_rank2,2903,validation_early_stop,50.0,90.0,False,2765.0,0.5375447919941507,0.3026831224400545
linear_gaussian,101,mdn4,1701,validation_early_stop,20.0,60.0,False,8388.0,0.6344763329834677,0.30365338133346204
nonlinear_heteroskedastic,303,edm,2903,validation_early_stop,30.0,70.0,False,2723.0,0.6654172919807024,0.30142707890887876
nonlinear_heteroskedastic,202,gaussian_diag,1701,validation_early_stop,20.0,60.0,False,2566.0,0.20553533302154392,0.31038779029101976
nonlinear_heteroskedastic,202,mdn4,1701,validation_early_stop,60.0,100.0,False,8388.0,0.9399081660085358,0.3108190999397056
linear_gaussian,303,student_rank2,1701,validation_early_stop,30.0,70.0,False,2765.0,0.38245370803633705,0.27864496363660435
bimodal,202,mdn4,1701,validation_early_stop,50.0,90.0,False,8388.0,0.8471793329808861,0.5211425381121733
linear_gaussian,101,flow,2903,validation_early_stop,70.0,110.0,False,2659.0,1.1265158340102062,0.30169786462325693
heavy_tailed,303,gaussian_diag,1701,validation_early_stop,70.0,110.0,False,2566.0,0.37337737501366064,0.25059675658727526
nonlinear_heteroskedastic,202,transformer_mdn4,1701,validation_early_stop,20.0,60.0,False,17900.0,1.304466917004902,0.31415361052202967
bimodal,202,flow,2903,validation_early_stop,70.0,110.0,False,2659.0,0.978755124961026,0.5166408617688136
bimodal,101,gp_rbf,0,finite_grid_complete,,,,,0.20280187501339242,0.5457151756644776
heavy_tailed,202,edm,1701,validation_early_stop,30.0,70.0,False,2723.0,0.6612228329759091,0.325865377920585
nonlinear_heteroskedastic,202,flow,2903,validation_early_stop,70.0,110.0,False,2659.0,1.039787375018932,0.3003542578093803
heavy_tailed,101,flow,2903,validation_early_stop,70.0,110.0,False,2659.0,0.9829899580217898,0.29843235126427026
nonlinear_heteroskedastic,303,gaussian_rank2,1701,validation_early_stop,20.0,60.0,False,2764.0,0.2865419579902664,0.2818734605225305
heavy_tailed,101,gaussian_diag,1701,validation_early_stop,70.0,110.0,False,2566.0,0.37048637500265613,0.3019077530859473
linear_gaussian,101,student_rank2,1701,validation_early_stop,50.0,90.0,False,2765.0,0.5348964590230025,0.30585127672591794
heavy_tailed,101,gaussian_rank2,2903,validation_early_stop,90.0,130.0,False,2764.0,0.6117590419598855,0.29918895734351725
heavy_tailed,303,gp_rbf,0,finite_grid_complete,,,,,0.1909303329885006,0.2524975600063129
linear_gaussian,101,gp_rbf,0,finite_grid_complete,,,,,0.20594266598345712,0.30740249287895227
linear_gaussian,202,gaussian_rank2,2903,validation_early_stop,80.0,120.0,False,2764.0,0.5811080420389771,0.3091400240382234
heavy_tailed,101,mdn4,1701,validation_early_stop,60.0,100.0,False,8388.0,0.9348052500281483,0.29553463695026316
