law,data_seed,init,family,region,mean_change_rmse,quantile_change_rmse,seconds24,seconds48
linear_gaussian,303,2903,edm,central,0.0001420214225867,0.0012079498679008,0.0180571670061908,0.0353507500258274
linear_gaussian,303,2903,edm,boundary,0.0002561080282347,0.0012633815190828,0.0177966670016758,0.0353889580001123
linear_gaussian,303,2903,edm,extrapolated,0.0008618108226536,0.0015922332151994,0.0177989170188084,0.0356076669995673
heavy_tailed,101,2903,edm,central,8.234070969660009e-05,0.0010522438222463,0.0177783750114031,0.0357038339716382
heavy_tailed,101,2903,edm,boundary,0.0001152096804661,0.0011816557235837,0.0175378749845549,0.0355787919834256
heavy_tailed,101,2903,edm,extrapolated,0.0007641063308409,0.0015626469591209,0.0174897920223884,0.0353904170333407
heavy_tailed,303,2903,flow,central,8.400979774827071e-05,0.0001722299981457,0.0163349579670466,0.0322687919833697
heavy_tailed,303,2903,flow,boundary,3.53750547899887e-05,0.0001502114306099,0.0162687500123865,0.0326461670338176
heavy_tailed,303,2903,flow,extrapolated,6.711592094861465e-05,8.997748223863915e-05,0.0162413749494589,0.0322105840314179
linear_gaussian,303,1701,flow,central,5.878553560807687e-05,0.0001031670812949,0.0166605419944971,0.0326433340087533
linear_gaussian,303,1701,flow,boundary,4.9615069238500186e-05,8.155587870620792e-05,0.0164232910028658,0.0327864580322057
linear_gaussian,303,1701,flow,extrapolated,4.854323538236321e-05,7.272718645783594e-05,0.0163269159966148,0.0329744999762624
bimodal,303,1701,edm,central,0.0001997823725537,0.0018642959746508,0.0174321249942295,0.0356541249784641
bimodal,303,1701,edm,boundary,0.0010615750920321,0.002612029667616,0.0175784159800969,0.0353036670130677
bimodal,303,1701,edm,extrapolated,0.0007329714629955,0.0025956561297881,0.0175493750139139,0.035464291984681
heavy_tailed,101,1701,flow,central,4.0925109227526646e-05,0.0001418794475202,0.0163024170324206,0.0324698330368846
heavy_tailed,101,1701,flow,boundary,7.036577180103891e-05,0.0001655920808127,0.016194625000935,0.0324519589776173
heavy_tailed,101,1701,flow,extrapolated,3.9668143726258705e-05,7.67493882172346e-05,0.0167361250496469,0.033248999970965
nonlinear_heteroskedastic,303,2903,edm,central,0.0001677922388105,0.0013898900158587,0.0177238750038668,0.0354753750143572
nonlinear_heteroskedastic,303,2903,edm,boundary,0.0002486950531374,0.0013111474561638,0.0176330829854123,0.0352597499731928
nonlinear_heteroskedastic,303,2903,edm,extrapolated,0.0012042750025284,0.0020316337664786,0.0177483750157989,0.0362712499918416
linear_gaussian,101,2903,flow,central,5.729917830954635e-05,0.0001169091524395,0.0189911249908618,0.0348704580101184
linear_gaussian,101,2903,flow,boundary,6.594208638426729e-05,0.0001105698251324,0.0208206250099465,0.0385272499988786
linear_gaussian,101,2903,flow,extrapolated,3.453581565903531e-05,6.437342800094204e-05,0.0186116250115446,0.0359929580008611
bimodal,202,2903,flow,central,6.142767244793653e-05,0.0002648235233005,0.016298666014336,0.0322337920079007
bimodal,202,2903,flow,boundary,4.711659760693588e-05,0.0002310741975311,0.0164810419664718,0.0322346670436672
bimodal,202,2903,flow,extrapolated,0.0001659567080852,0.0002037568985284,0.0162396249943412,0.032541541964747
heavy_tailed,202,1701,edm,central,5.3821167289945573e-05,0.0012086143979165,0.0176489169825799,0.0354949579923413
heavy_tailed,202,1701,edm,boundary,0.0002378958648646,0.0010690838404736,0.0176548339659348,0.0355571660329587
