channel,context,test,source,target,minimum_family_adjusted_p,maximum_absolute_effect,significant_cells,tested_cells
endpoint_mean,baseline,effect,ADL,ASH,1.52587890625e-05,0.2743697166442871,10,24
endpoint_mean,baseline,effect,IL1,URB,1.52587890625e-05,0.2559037804603576,24,24
endpoint_mean,baseline,effect,URA,IL1,1.52587890625e-05,0.2471007704734802,24,24
endpoint_mean,baseline,effect,FLP,ADE,1.52587890625e-05,0.2386066764593124,21,24
endpoint_mean,baseline,effect,URA,URB,1.52587890625e-05,0.237370878458023,23,24
endpoint_mean,baseline,effect,URB,RIP,1.52587890625e-05,0.2307856678962707,24,24
endpoint_mean,baseline,effect,IL1,URA,1.52587890625e-05,0.2281037718057632,24,24
endpoint_mean,baseline,effect,ASK,URX,1.52587890625e-05,0.2253338247537613,21,24
endpoint_mean,baseline,effect,OLL,RIP,1.52587890625e-05,0.2222886383533477,20,24
endpoint_mean,baseline,effect,RIP,URB,1.52587890625e-05,0.2212031036615371,20,24
endpoint_mean,baseline,effect,OLL,URA,1.52587890625e-05,0.2142067551612854,20,24
endpoint_mean,baseline,effect,SMB,RMH,1.52587890625e-05,0.211150974035263,21,24
endpoint_mean,baseline,effect,ASK,ADL,1.52587890625e-05,0.2110485881567001,10,24
endpoint_mean,baseline,effect,URA,OLL,1.52587890625e-05,0.2093156278133392,24,24
endpoint_mean,baseline,effect,URB,IL1,1.52587890625e-05,0.2043485343456268,24,24
endpoint_mean,baseline,effect,SIA,AVD,1.52587890625e-05,0.1983586996793747,11,24
endpoint_mean,baseline,effect,SAA,RIA,1.52587890625e-05,0.1968522071838379,20,24
endpoint_mean,baseline,effect,ADE,FLP,1.52587890625e-05,0.1963521391153335,23,24
endpoint_mean,baseline,effect,SMB,RIH,1.52587890625e-05,0.1802489310503006,22,24
endpoint_mean,baseline,effect,RIP,IL1,1.52587890625e-05,0.1792557686567306,21,24
endpoint_mean,baseline,effect,IL1,IL2,1.52587890625e-05,0.1774080991744995,24,24
endpoint_mean,baseline,effect,URA,CEP,1.52587890625e-05,0.1759129017591476,24,24
endpoint_mean,baseline,effect,IL1,RIP,1.52587890625e-05,0.1722876578569412,22,24
endpoint_mean,baseline,effect,AVD,SAA,1.52587890625e-05,0.1707947254180908,9,24
endpoint_mean,baseline,effect,RIP,CEP,1.52587890625e-05,0.1688582003116607,21,24
endpoint_mean,baseline,effect,OLL,URB,1.52587890625e-05,0.165785476565361,20,24
endpoint_mean,baseline,effect,CEP,RIH,1.52587890625e-05,0.159147024154663,18,24
endpoint_mean,baseline,effect,RIA,ADF,1.52587890625e-05,0.1541727483272552,14,24
endpoint_mean,baseline,effect,IL1,FLP,1.52587890625e-05,0.1540659517049789,19,24
endpoint_mean,baseline,effect,SMB,AVK,1.52587890625e-05,0.1523585170507431,16,24
endpoint_mean,baseline,effect,ADL,ASK,1.52587890625e-05,0.1491743624210357,4,24
endpoint_mean,baseline,effect,URB,IL2,1.52587890625e-05,0.1485054194927215,21,24
endpoint_mean,baseline,effect,CEP,RMF,1.52587890625e-05,0.1483769565820694,11,24
endpoint_mean,baseline,effect,RIH,SMB,1.52587890625e-05,0.1471882164478302,18,24
endpoint_mean,baseline,effect,CEP,IL1,1.52587890625e-05,0.117022730410099,22,24
endpoint_mean,baseline,effect,CEP,URA,1.52587890625e-05,0.1164676919579505,22,24
endpoint_mean,baseline,effect,IL2,URB,1.52587890625e-05,0.1026286408305168,18,24
endpoint_mean,baseline,effect,RIA,RIP,1.52587890625e-05,0.0983766168355941,5,24
endpoint_mean,baseline,effect,RIC,ASG,1.52587890625e-05,0.0776553377509117,3,24
endpoint_mean,baseline,effect,ADL,AUA,3.0517578125e-05,0.2356829047203064,14,24
endpoint_mean,baseline,effect,URX,SMD,3.0517578125e-05,0.2216121107339859,21,24
endpoint_mean,baseline,effect,AIY,SMB,3.0517578125e-05,0.2062200605869293,24,24
endpoint_mean,baseline,effect,RIP,OLL,3.0517578125e-05,0.1975307315587997,17,24
endpoint_mean,baseline,effect,URB,URA,3.0517578125e-05,0.1908949613571167,24,24
endpoint_mean,baseline,effect,AVD,CEP,3.0517578125e-05,0.1795258969068527,17,24
endpoint_mean,baseline,effect,ALA,AVJ,3.0517578125e-05,0.178751528263092,13,24
endpoint_mean,baseline,effect,RIP,URA,3.0517578125e-05,0.1781050711870193,16,24
endpoint_mean,baseline,effect,ADF,AFD,3.0517578125e-05,0.1637880057096481,5,24
endpoint_mean,baseline,effect,SAA,RMD,3.0517578125e-05,0.1632872819900512,12,24
endpoint_mean,baseline,effect,RMF,SMB,3.0517578125e-05,0.1615237444639206,14,24
endpoint_mean,baseline,effect,RID,RME,3.0517578125e-05,0.161412626504898,12,24
endpoint_mean,baseline,effect,RIP,FLP,3.0517578125e-05,0.1264022588729858,19,24
endpoint_mean,baseline,effect,URX,IL2,3.0517578125e-05,0.1150839477777481,19,24
endpoint_mean,baseline,effect,ADL,SIB,7.62939453125e-05,0.2848779857158661,12,24
endpoint_mean,baseline,effect,ASG,ASI,9.1552734375e-05,0.1711697578430175,11,24
endpoint_mean,baseline,effect,OLL,RIC,9.1552734375e-05,0.1319054216146469,7,24
endpoint_mean,baseline,effect,IL1,AIM,9.1552734375e-05,0.1131510809063911,14,24
endpoint_mean,baseline,effect,RMH,RIC,0.0001068115234375,0.1334224939346313,8,24
endpoint_mean,baseline,effect,RMH,SMB,0.0001220703125,0.1911004483699798,11,24
endpoint_mean,baseline,effect,IL1,CEP,0.0001220703125,0.1893007308244705,21,24
endpoint_mean,baseline,effect,AVD,AUA,0.0001220703125,0.1675217002630233,19,24
endpoint_mean,baseline,effect,URA,OLQ,0.000152587890625,0.2456382513046264,19,24
endpoint_mean,baseline,effect,RIA,RMD,0.000152587890625,0.1725925356149673,17,24
endpoint_mean,baseline,effect,AIZ,RIC,0.000152587890625,0.1561059206724167,13,24
endpoint_mean,baseline,effect,URA,IL2,0.000152587890625,0.152020052075386,23,24
endpoint_mean,baseline,effect,AVK,CEP,0.000152587890625,0.0868263840675354,14,24
