method,horizon,energy,variogram,rmse,mae,coverage90,sharpness90
flow,1,1.0507974562545617,0.029302848915297802,0.20241012582190185,0.14058413941586642,0.8776779230210603,0.5680832011332991
flow,2,1.2983476175725752,0.03972741084398159,0.25070540434635225,0.18112311934522696,0.8793970134350036,0.7360049642841605
flow,4,1.7097352990040593,0.058700063772609085,0.32883291104899753,0.24481656962740872,0.8673350127087872,0.9514581861120521
flow,8,2.435983270735425,0.09185507529707365,0.46617182673356844,0.3558703897493508,0.8306213689179376,1.243228793381622
flow,16,3.5611335323283484,0.1442266646361745,0.6775552089435651,0.5269703001021316,0.7812783678286129,1.6369296800637363
flow,32,5.031931420313377,0.21101727417451052,0.9588217068938356,0.7569607750275263,0.7540736201888162,2.246304440111214
persistence_gaussian,1,1.097975269507836,0.030478729389227795,0.21010546843685646,0.13934579063275387,0.8674938725490197,0.5717512553229052
persistence_gaussian,2,1.3495140020899914,0.04102420104540853,0.25841422029770905,0.1755236220094101,0.8926845043572985,0.8088512857280233
persistence_gaussian,4,1.6936793264878147,0.06027143490877382,0.31737150225158345,0.21998859003104046,0.9071180555555556,1.1440454299616463
persistence_gaussian,8,2.3015466297374054,0.09649649932501177,0.42171440480331723,0.29680984856232123,0.9052287581699346,1.6164044216275215
persistence_gaussian,16,3.2360163506339577,0.16332453060621283,0.5868276853306109,0.4186332417131566,0.891952614379085,2.286941686973852
persistence_gaussian,32,4.502183591618257,0.2697225347955656,0.8170754237319616,0.5982208210454487,0.8796977124183007,3.2339014656403484
ridge_gaussian,1,1.2369138233034926,0.036025154440293916,0.23369065485894677,0.16575553225052048,0.754612608932462,0.4811123927562114
ridge_gaussian,2,1.6037443677401717,0.05144894883372159,0.2981496535734657,0.21925855680670148,0.7028356481481481,0.5636129641686293
ridge_gaussian,4,2.195730157634791,0.07705112737055644,0.39861708472701995,0.3008938674157595,0.6375442538126361,0.6648230123717118
ridge_gaussian,8,3.254886541296454,0.12295336544732834,0.5734849584371071,0.4395315254189293,0.5598617919389979,0.8120029787259067
ridge_gaussian,16,4.692151293596801,0.1837148427730426,0.8078895348726827,0.6295609415015754,0.49680010893246185,1.0053681211326928
ridge_gaussian,32,5.860817047383855,0.22440011413795322,1.008667416897986,0.8003308309296913,0.49485974945533767,1.2689509571475142
