cohort,scope,reference,method,n_edges,n_positive,prevalence,auroc,auprc,source_macro_auroc,n_macro_sources
clean54,all_common,randi_wild_type,flow_ensemble,1349,257,0.1905114899925871,0.6714734681660751,0.3545690268378635,0.6651467832690147,40
clean54,all_common,randi_wild_type,published_sbtg,1349,257,0.1905114899925871,0.6217164806658969,0.3218949299957574,0.6041016838613567,40
clean54,all_common,cook_struct,flow_ensemble,2862,758,0.26484975541579314,0.6142483973233546,0.38451311315747083,0.6027711852500461,54
clean54,all_common,cook_struct,published_sbtg,2862,758,0.26484975541579314,0.5651460467309409,0.34817743039072857,0.5523461852285673,54
clean54,all_common,cook_chem,flow_ensemble,2862,699,0.24423480083857443,0.601492654786542,0.34968711837816085,0.590015684345389,54
clean54,all_common,cook_chem,published_sbtg,2862,699,0.24423480083857443,0.5575893704565732,0.3124478282448434,0.5430780892229806,54
clean54,all_common,cook_gap,flow_ensemble,2862,169,0.05904961565338924,0.6779839030403172,0.13217963606796884,0.6959588421636455,45
clean54,all_common,cook_gap,published_sbtg,2862,169,0.05904961565338924,0.6206799570220405,0.13340813965637646,0.6413893626140531,45
clean54,strong_fixed_support,randi_wild_type,flow_ensemble,824,133,0.16140776699029127,0.6505228338574365,0.3054372480813565,0.6318694373247863,24
clean54,strong_fixed_support,randi_wild_type,published_sbtg,824,133,0.16140776699029127,0.6109811431618118,0.32157453799878816,0.5991707297199907,24
clean54,strong_fixed_support,cook_struct,flow_ensemble,1749,439,0.2510005717552887,0.6187205480881254,0.37855246022698674,0.6039405246949604,33
clean54,strong_fixed_support,cook_struct,published_sbtg,1749,439,0.2510005717552887,0.5589038237493262,0.32513580553138816,0.5439783624519368,33
clean54,strong_fixed_support,cook_chem,flow_ensemble,1749,405,0.23156089193825044,0.609893077601411,0.35085367459639827,0.594326615231043,33
clean54,strong_fixed_support,cook_chem,published_sbtg,1749,405,0.23156089193825044,0.5525885508524397,0.28899905756464295,0.5364011917343635,33
clean54,strong_fixed_support,cook_gap,flow_ensemble,1749,98,0.05603201829616924,0.6589883682122152,0.13931777522039465,0.6732220421255777,28
clean54,strong_fixed_support,cook_gap,published_sbtg,1749,98,0.05603201829616924,0.6362748612467398,0.13894891857041042,0.6510687280912197,28
clean54,support50_fixed,randi_wild_type,flow_ensemble,1227,220,0.17929910350448247,0.6789157714182541,0.35869610284498615,0.6615940369767632,36
clean54,support50_fixed,randi_wild_type,published_sbtg,1227,220,0.17929910350448247,0.6227498420149861,0.31925479364913173,0.604544036838735,36
clean54,support50_fixed,cook_struct,flow_ensemble,2650,669,0.25245283018867926,0.615473304313248,0.37536891434859465,0.6023838546868309,50
clean54,support50_fixed,cook_struct,published_sbtg,2650,669,0.25245283018867926,0.5678225654932623,0.3301309451698827,0.5556512272158127,50
clean54,support50_fixed,cook_chem,flow_ensemble,2650,612,0.2309433962264151,0.6028297318273073,0.34148944140942206,0.5896106167538835,50
clean54,support50_fixed,cook_chem,published_sbtg,2650,612,0.2309433962264151,0.5600766803286574,0.2923693780861175,0.5463001400158218,50
clean54,support50_fixed,cook_gap,flow_ensemble,2650,148,0.05584905660377359,0.6760969602696222,0.12930956642207592,0.6930857729680557,41
clean54,support50_fixed,cook_gap,published_sbtg,2650,148,0.05584905660377359,0.6266176248190637,0.1283098813741183,0.6510235787073614,41
clean54,all_common,randi_wild_type,flow_seed_1701,1349,257,0.1905114899925871,0.6499586664956315,0.32617467057812966,0.647470084082798,40
clean54,all_common,cook_struct,flow_seed_1701,2862,758,0.26484975541579314,0.5981238149221988,0.3689907370251496,0.5873209706214398,54
clean54,all_common,cook_chem,flow_seed_1701,2862,699,0.24423480083857443,0.5959858115781279,0.34134641365549634,0.5845177770721789,54
clean54,all_common,cook_gap,flow_seed_1701,2862,169,0.05904961565338924,0.6259071843064532,0.1169549591158803,0.6523327262012992,45
clean54,all_common,randi_wild_type,flow_seed_2903,1349,257,0.1905114899925871,0.6322992830774932,0.3132929271126185,0.6282052307250483,40
clean54,all_common,cook_struct,flow_seed_2903,2862,758,0.26484975541579314,0.5985627326263833,0.36454845599861335,0.5866857770243737,54
clean54,all_common,cook_chem,flow_seed_2903,2862,699,0.24423480083857443,0.5887017779179953,0.33046970019147526,0.5768808838015826,54
clean54,all_common,cook_gap,flow_seed_2903,2862,169,0.05904961565338924,0.6695662873502857,0.1273055923478237,0.6807980354767639,45
clean54,all_common,randi_wild_type,flow_seed_4307,1349,257,0.1905114899925871,0.6445853109277233,0.3524798742633165,0.6450303978240937,40
clean54,all_common,cook_struct,flow_seed_4307,2862,758,0.26484975541579314,0.5964151710023374,0.36663740144401247,0.5877305805778473,54
clean54,all_common,cook_chem,flow_seed_4307,2862,699,0.24423480083857443,0.5840501290728383,0.33155605536102284,0.5766240019764044,54
clean54,all_common,cook_gap,flow_seed_4307,2862,169,0.05904961565338924,0.6511973844088442,0.11898510711063243,0.6624490468999541,45
