source,target,lag,horizon,recording,effect
URA,OLQ,1,1,OH16230:0924_01,0.2735569477081299
URA,OLQ,1,2,OH16230:0924_01,0.2780229449272156
URA,OLQ,1,4,OH16230:0924_01,0.2814767360687256
URA,OLQ,1,8,OH16230:0924_01,0.2751796245574951
URA,OLQ,1,16,OH16230:0924_01,0.27389562129974365
URA,OLQ,1,32,OH16230:0924_01,0.23600754141807556
URA,OLQ,1,1,OH16230:0924_03,0.2603616714477539
URA,OLQ,1,2,OH16230:0924_03,0.26081371307373047
URA,OLQ,1,4,OH16230:0924_03,0.2572080194950104
URA,OLQ,1,8,OH16230:0924_03,0.24813440442085266
URA,OLQ,1,16,OH16230:0924_03,0.22440283000469208
URA,OLQ,1,32,OH16230:0924_03,0.19766683876514435
URA,OLQ,1,1,OH16230:0925_01,0.28536176681518555
URA,OLQ,1,2,OH16230:0925_01,0.2797885835170746
URA,OLQ,1,4,OH16230:0925_01,0.27155888080596924
URA,OLQ,1,8,OH16230:0925_01,0.24707713723182678
URA,OLQ,1,16,OH16230:0925_01,0.20888888835906982
URA,OLQ,1,32,OH16230:0925_01,0.18232353031635284
URA,OLQ,1,1,OH16230:0925_04,0.2046542763710022
URA,OLQ,1,2,OH16230:0925_04,0.2007497251033783
URA,OLQ,1,4,OH16230:0925_04,0.20041058957576752
URA,OLQ,1,8,OH16230:0925_04,0.18870548903942108
URA,OLQ,1,16,OH16230:0925_04,0.1628451943397522
URA,OLQ,1,32,OH16230:0925_04,0.11274490505456924
URA,OLQ,1,1,OH16230:0928_01,0.3566280007362366
URA,OLQ,1,2,OH16230:0928_01,0.3514694571495056
URA,OLQ,1,4,OH16230:0928_01,0.33440083265304565
URA,OLQ,1,8,OH16230:0928_01,0.30338969826698303
URA,OLQ,1,16,OH16230:0928_01,0.257282555103302
URA,OLQ,1,32,OH16230:0928_01,0.206661656498909
URA,OLQ,1,1,OH16230:0928_03,0.1003016009926796
URA,OLQ,1,2,OH16230:0928_03,0.10037491470575333
URA,OLQ,1,4,OH16230:0928_03,0.10301488637924194
URA,OLQ,1,8,OH16230:0928_03,0.09835683554410934
URA,OLQ,1,16,OH16230:0928_03,0.06797480583190918
URA,OLQ,1,32,OH16230:0928_03,0.015219960361719131
URA,OLQ,1,1,OH16230:0928_05,0.2555011510848999
URA,OLQ,1,2,OH16230:0928_05,0.2666417956352234
URA,OLQ,1,4,OH16230:0928_05,0.28259214758872986
URA,OLQ,1,8,OH16230:0928_05,0.29679998755455017
URA,OLQ,1,16,OH16230:0928_05,0.28476375341415405
URA,OLQ,1,32,OH16230:0928_05,0.2599998116493225
URA,OLQ,1,1,OH16230:0928_07,0.2006133496761322
URA,OLQ,1,2,OH16230:0928_07,0.2072637379169464
URA,OLQ,1,4,OH16230:0928_07,0.2169206291437149
URA,OLQ,1,8,OH16230:0928_07,0.22250863909721375
URA,OLQ,1,16,OH16230:0928_07,0.22440862655639648
URA,OLQ,1,32,OH16230:0928_07,0.2065839171409607
URA,OLQ,1,1,OH16230:0928_08,0.12898150086402893
URA,OLQ,1,2,OH16230:0928_08,0.13057780265808105
URA,OLQ,1,4,OH16230:0928_08,0.1326618790626526
URA,OLQ,1,8,OH16230:0928_08,0.13440683484077454
URA,OLQ,1,16,OH16230:0928_08,0.13083025813102722
URA,OLQ,1,32,OH16230:0928_08,0.1255144476890564
URA,OLQ,1,1,OH16230:0928_11,0.39947471022605896
URA,OLQ,1,2,OH16230:0928_11,0.3963218927383423
