channel,context,test,source,target,minimum_family_adjusted_p,maximum_absolute_effect,significant_cells,tested_cells
endpoint_mean,baseline,effect,DVA,DVB,1.9073486328125e-06,0.7452597618103027,24,24
endpoint_mean,baseline,effect,SMD,AVB,1.9073486328125e-06,0.512989342212677,24,24
endpoint_mean,baseline,effect,DVB,DVA,1.9073486328125e-06,0.488647848367691,21,24
endpoint_mean,baseline,effect,DVA,DVC,1.9073486328125e-06,0.4760138988494873,21,24
endpoint_mean,baseline,effect,SMD,AVE,1.9073486328125e-06,0.4640882611274719,20,24
endpoint_mean,baseline,effect,SMD,AVA,1.9073486328125e-06,0.4394718706607818,18,24
endpoint_mean,baseline,effect,DVB,DVC,1.9073486328125e-06,0.4112710058689117,22,24
endpoint_mean,baseline,effect,LUA,PVC,1.9073486328125e-06,0.4097537100315094,24,24
endpoint_mean,baseline,effect,DVA,PVN,1.9073486328125e-06,0.4097489416599273,23,24
endpoint_mean,baseline,effect,PHB,PLN,1.9073486328125e-06,0.3998676240444183,24,24
endpoint_mean,baseline,effect,DVC,DVB,1.9073486328125e-06,0.3992135226726532,15,24
endpoint_mean,baseline,effect,SMD,RIV,1.9073486328125e-06,0.342907965183258,16,24
endpoint_mean,baseline,effect,SMD,RIM,1.9073486328125e-06,0.3391990065574646,16,24
endpoint_mean,baseline,effect,RMD,RME,1.9073486328125e-06,0.33663010597229,21,24
endpoint_mean,baseline,effect,LUA,PQR,1.9073486328125e-06,0.2992956042289734,24,24
endpoint_mean,baseline,effect,IL1,URA,1.9073486328125e-06,0.2960469424724579,23,24
endpoint_mean,baseline,effect,PHB,LUA,1.9073486328125e-06,0.2920795381069183,24,24
endpoint_mean,baseline,effect,OLL,URA,1.9073486328125e-06,0.2755233347415924,19,24
endpoint_mean,baseline,effect,PHB,PHA,1.9073486328125e-06,0.2708508372306824,24,24
endpoint_mean,baseline,effect,IL1,URB,1.9073486328125e-06,0.2648060619831085,24,24
endpoint_mean,baseline,effect,URA,URB,1.9073486328125e-06,0.2624372839927673,24,24
endpoint_mean,baseline,effect,OLL,URB,1.9073486328125e-06,0.2519628405570984,20,24
endpoint_mean,baseline,effect,IL1,IL2,1.9073486328125e-06,0.2518242001533508,24,24
endpoint_mean,baseline,effect,PVC,PVW,1.9073486328125e-06,0.2406742870807647,18,24
endpoint_mean,baseline,effect,PHB,PVR,1.9073486328125e-06,0.2392585724592209,24,24
endpoint_mean,baseline,effect,RIP,URB,1.9073486328125e-06,0.2378567010164261,24,24
endpoint_mean,baseline,effect,PVC,PHC,1.9073486328125e-06,0.2362858057022094,18,24
endpoint_mean,baseline,effect,PVT,PVP,1.9073486328125e-06,0.2302347719669342,24,24
endpoint_mean,baseline,effect,PVC,PLN,1.9073486328125e-06,0.2287327796220779,22,24
endpoint_mean,baseline,effect,ADE,FLP,1.9073486328125e-06,0.2246530503034591,23,24
endpoint_mean,baseline,effect,PVC,LUA,1.9073486328125e-06,0.2230565100908279,15,24
endpoint_mean,baseline,effect,SIA,AIM,1.9073486328125e-06,0.2221383154392242,24,24
endpoint_mean,baseline,effect,FLP,ADE,1.9073486328125e-06,0.2216589748859405,22,24
endpoint_mean,baseline,effect,URB,RIP,1.9073486328125e-06,0.2181218564510345,24,24
endpoint_mean,baseline,effect,URB,URA,1.9073486328125e-06,0.2071423083543777,24,24
endpoint_mean,baseline,effect,URB,IL1,1.9073486328125e-06,0.2040788680315017,24,24
endpoint_mean,baseline,effect,IL1,RIP,1.9073486328125e-06,0.2002494782209396,24,24
endpoint_mean,baseline,effect,RMH,SMB,1.9073486328125e-06,0.1981750726699829,22,24
endpoint_mean,baseline,effect,PVP,PVT,1.9073486328125e-06,0.1958667933940887,24,24
endpoint_mean,baseline,effect,RIP,IL1,1.9073486328125e-06,0.1892953515052795,24,24
endpoint_mean,baseline,effect,RMG,ADA,1.9073486328125e-06,0.176795482635498,24,24
endpoint_mean,baseline,effect,PVW,PVC,1.9073486328125e-06,0.1749476343393325,19,24
endpoint_mean,baseline,effect,RIP,CEP,1.9073486328125e-06,0.1746171414852142,24,24
endpoint_mean,baseline,effect,ASK,PHA,1.9073486328125e-06,0.1720557957887649,21,24
endpoint_mean,baseline,effect,PLN,PHA,1.9073486328125e-06,0.1696093678474426,16,24
endpoint_mean,baseline,effect,PHC,PVW,1.9073486328125e-06,0.1693529784679412,24,24
endpoint_mean,baseline,effect,PVW,PHC,1.9073486328125e-06,0.1668152809143066,22,24
endpoint_mean,baseline,effect,PQR,PVP,1.9073486328125e-06,0.1386236995458603,21,24
endpoint_mean,baseline,effect,PHB,IL2,1.9073486328125e-06,0.1364249438047409,20,24
endpoint_mean,baseline,effect,CEP,IL1,1.9073486328125e-06,0.1362551748752594,24,24
endpoint_mean,baseline,effect,AIA,AIY,1.9073486328125e-06,0.129926398396492,20,24
endpoint_mean,baseline,effect,RIH,SMB,1.9073486328125e-06,0.1241176351904869,12,24
endpoint_mean,baseline,effect,IL2,URB,1.9073486328125e-06,0.1232085227966308,24,24
endpoint_mean,baseline,effect,RMG,AQR,1.9073486328125e-06,0.0967772603034973,17,24
endpoint_mean,baseline,effect,SMD,RID,3.814697265625e-06,0.5046873092651367,24,24
endpoint_mean,baseline,effect,SMD,RIB,3.814697265625e-06,0.4936078190803528,20,24
endpoint_mean,baseline,effect,SMD,URY,3.814697265625e-06,0.4250809550285339,15,24
endpoint_mean,baseline,effect,SMD,SIB,3.814697265625e-06,0.3592759966850281,20,24
endpoint_mean,baseline,effect,URA,IL1,3.814697265625e-06,0.3178048729896545,24,24
endpoint_mean,baseline,effect,RMD,SIA,3.814697265625e-06,0.273776113986969,24,24
endpoint_mean,baseline,effect,URA,OLQ,3.814697265625e-06,0.2692688107490539,24,24
endpoint_mean,baseline,effect,PLN,PVC,3.814697265625e-06,0.2686600089073181,23,24
endpoint_mean,baseline,effect,URA,OLL,3.814697265625e-06,0.2612507343292236,24,24
endpoint_mean,baseline,effect,ASK,PLN,3.814697265625e-06,0.2335572689771652,24,24
endpoint_mean,baseline,effect,URA,IL2,3.814697265625e-06,0.1760437786579132,24,24
endpoint_mean,baseline,effect,ADA,RMG,3.814697265625e-06,0.1668054163455963,21,24
endpoint_mean,baseline,effect,ALN,PLN,3.814697265625e-06,0.1624581515789032,24,24
endpoint_mean,baseline,effect,URB,IL2,3.814697265625e-06,0.153311088681221,24,24
endpoint_mean,baseline,effect,RMH,SIA,3.814697265625e-06,0.1278803944587707,18,24
endpoint_mean,baseline,effect,IL2,URA,3.814697265625e-06,0.1125191450119018,23,24
endpoint_mean,baseline,effect,PLN,PHB,5.7220458984375e-06,0.2061595022678375,23,24
endpoint_mean,baseline,effect,RIP,URA,5.7220458984375e-06,0.1974670737981796,24,24
endpoint_mean,baseline,effect,RMD,RIP,5.7220458984375e-06,0.1933324635028839,18,24
endpoint_mean,baseline,effect,SMB,AIA,5.7220458984375e-06,0.1656491458415985,24,24
endpoint_mean,baseline,effect,URX,IL2,5.7220458984375e-06,0.1562886238098144,24,24
endpoint_mean,baseline,effect,CEP,URA,5.7220458984375e-06,0.1407438963651657,24,24
endpoint_mean,baseline,effect,SMD,RME,7.62939453125e-06,0.3166731297969818,13,24
