method,horizon,energy,variogram,rmse,mae,coverage90,sharpness90
flow,1,1.4922955581297477,0.036119206847555034,0.23690490685985421,0.16442221738398072,0.8756087239583333,0.6641143313298623
flow,2,1.9297458052014311,0.051719083688900915,0.305096836333784,0.21690991531553055,0.870595703125,0.8489221963100135
flow,4,2.667761206347495,0.07637708315645185,0.4170419919032914,0.2965938191162422,0.8516829427083333,1.0729557377131036
flow,8,3.771964891379078,0.1182002547216446,0.5842752888876324,0.42082376655889675,0.8188639322916667,1.3657575398062667
flow,16,4.887447475455701,0.15836095233874703,0.7598937019938603,0.5680918091830487,0.7896842447916667,1.7462354042256871
flow,32,5.973920071435471,0.19475132629158903,0.940725989616476,0.731730630947277,0.7845572916666667,2.2986824159820873
persistence_gaussian,1,1.5578699773177505,0.037740975173073774,0.2456103763426654,0.16360648000845682,0.86982421875,0.6892747821751982
persistence_gaussian,2,2.0192277250811457,0.05526546259061429,0.3165784501004964,0.21403470418881623,0.8835742187500001,0.9752961624413728
persistence_gaussian,4,2.763996290974319,0.0851001427014125,0.4258695316617377,0.28455624063499274,0.88984375,1.3790088275447487
persistence_gaussian,8,3.8567291397601364,0.1403369274921715,0.588591191242449,0.3902864110074006,0.884951171875,1.9505815875716508
persistence_gaussian,16,4.9917803686112165,0.21440135606680993,0.7566919539589435,0.51634892441798,0.885244140625,2.758421446196735
persistence_gaussian,32,6.26401819139719,0.3387688697432168,0.9389623025665059,0.6713753655203618,0.88818359375,3.900418142415583
ridge_gaussian,1,1.5021052965894341,0.035976816611946516,0.23608882807893675,0.1645483551837969,0.83357421875,0.592998760426417
ridge_gaussian,2,1.9078898394480348,0.05003302951081419,0.29717808146961033,0.21089266371564006,0.8119921874999999,0.7016990335658193
ridge_gaussian,4,2.594807596039027,0.07220841655653198,0.39712873079115524,0.27994135338813064,0.788525390625,0.8503063566982746
ridge_gaussian,8,3.5935520531609653,0.10882973928528368,0.5439670774270781,0.38629945679567756,0.7637890625,1.0822667635511607
ridge_gaussian,16,4.513183392770588,0.1432093320850981,0.685726409475319,0.5036469807499089,0.7475292968749999,1.377143194898963
ridge_gaussian,32,5.044516713544726,0.15304525519022716,0.7790164206875488,0.5965459725586697,0.7470410156249999,1.6884161066263914
