cohort,scope,reference,delta_auroc,delta_ci_low,delta_ci_high,simultaneous_one_sided_lower,bootstrap_two_sided_tail_p,bootstrap_valid,holm_bootstrap_tail_p
historical80,all_common,randi_wild_type,0.049716003831080324,0.007163000450649133,0.09189431218828681,0.0017377672677786563,0.0211978802119788,10000,0.0211978802119788
historical80,all_common,cook_struct,0.05224095776560089,0.026049517794969165,0.0780723240916459,0.022282213695149506,0.00019998000199980003,10000,0.0007999200079992001
historical80,all_common,cook_chem,0.05244537265573912,0.02317883483671498,0.08148764588037948,0.018565475076818858,0.00019998000199980003,10000,0.0007999200079992001
historical80,all_common,cook_gap,0.05564530744739904,0.020723316509862734,0.09100116438496662,0.015202142212910724,0.0023997600239976003,10000,0.0047995200479952005
historical80,strong_fixed_support,randi_wild_type,0.018640350877192846,-0.03747512591183841,0.07363567221254472,-0.045622554099800275,0.5143485651434857,10000,0.5143485651434857
historical80,strong_fixed_support,cook_struct,0.05056686647543196,0.019280190954988723,0.08143843390786036,0.015118078208543119,0.0017998200179982,10000,0.0071992800719928
historical80,strong_fixed_support,cook_chem,0.05217445754520078,0.015490553623209408,0.08778696787105592,0.011344074535810206,0.005599440055994401,10000,0.016798320167983202
historical80,strong_fixed_support,cook_gap,0.04428413346952664,0.005068414455670483,0.0820784045132342,-0.000882695157197751,0.027797220277972202,10000,0.055594440555944404
historical80,support50_fixed,randi_wild_type,0.06329716352560433,0.014473397377430877,0.11223565466330228,0.00645837274181686,0.011198880111988802,10000,0.0143985601439856
historical80,support50_fixed,cook_struct,0.050934643897574405,0.022728788900146648,0.07831531960445773,0.01818925781213156,0.00039996000399960006,10000,0.0015998400159984002
historical80,support50_fixed,cook_chem,0.052343521500866075,0.020092555666676983,0.0834726565568876,0.014995818342194224,0.000999900009999,10000,0.0029997000299970002
historical80,support50_fixed,cook_gap,0.04921501248470628,0.01281141725160177,0.08518714486554445,0.00794613014989994,0.0071992800719928,10000,0.0143985601439856
historical80,head_head,randi_wild_type,0.050030935681159905,0.00721230343860052,0.09267334808387061,0.0016814830028755118,0.021597840215978402,10000,0.021597840215978402
historical80,head_head,cook_struct,0.062490883104569406,0.03255520806820753,0.09180230168679347,0.028360609164237754,0.00019998000199980003,10000,0.0007999200079992001
historical80,head_head,cook_chem,0.05962149654386595,0.026753043070257353,0.09209570327585177,0.02191784458303858,0.00019998000199980003,10000,0.0007999200079992001
historical80,head_head,cook_gap,0.06873588991837853,0.025620061359136952,0.11338232326695064,0.02031283330509373,0.0017998200179982,10000,0.0035996400359964
historical80,tail_tail,randi_wild_type,,,,,,0,
historical80,tail_tail,cook_struct,-0.08216145833333321,-0.1576393662785074,-0.0050122080895561565,-0.16820590583294195,0.039996000399960006,10000,
historical80,tail_tail,cook_chem,-0.0815249266862168,-0.18511906237165235,0.009953999069317312,-0.19971648433686506,0.0801919808019198,10000,
historical80,tail_tail,cook_gap,-0.06991855037979311,-0.15052003121261967,0.008922931967196006,-0.16185877518769756,0.08099190080991901,10000,
historical80,cross_origin,randi_wild_type,,,,,,0,
historical80,cross_origin,cook_struct,0.0042529054681937906,-0.04987440213604315,0.054218700639865204,-0.056623313426878825,0.8941105889411058,10000,
historical80,cross_origin,cook_chem,0.0180051311643733,-0.041564823845265796,0.07352467787561608,-0.05106673483698411,0.5517448255174483,10000,
historical80,cross_origin,cook_gap,0.011991674671789743,-0.09403284535200342,0.11061425511086448,-0.11166226263842204,0.8407159284071593,10000,
historical80,endpoint_timing_matched_1frames,randi_wild_type,0.046952076813693844,0.0005458030099528833,0.09246614461165524,-0.006071823316114138,0.047795220477952205,10000,0.047795220477952205
historical80,endpoint_timing_matched_1frames,cook_struct,0.05044866951747928,0.025888679760830962,0.07451278293333888,0.021795240237155587,0.00019998000199980003,10000,0.0007999200079992001
historical80,endpoint_timing_matched_1frames,cook_chem,0.050339092462502344,0.023408924320432994,0.07657344244832111,0.01934556401779362,0.00039996000399960006,10000,0.0011998800119988001
historical80,endpoint_timing_matched_1frames,cook_gap,0.05002391364292791,0.015358059287689655,0.08616839372969892,0.01143013652109815,0.0051994800519948,10000,0.0103989601039896
historical80,endpoint_timing_matched_8frames,randi_wild_type,0.12595877053269622,0.07214734459093965,0.17756666281990868,0.06287585228802361,0.00019998000199980003,10000,0.0007999200079992001
historical80,endpoint_timing_matched_8frames,cook_struct,0.10914238042807811,0.0789337604510244,0.1378434828467539,0.07422939341382685,0.00019998000199980003,10000,0.0007999200079992001
historical80,endpoint_timing_matched_8frames,cook_chem,0.10063464337700156,0.06920753464048023,0.13063907112495463,0.06443154464177342,0.00019998000199980003,10000,0.0007999200079992001
historical80,endpoint_timing_matched_8frames,cook_gap,0.15327424768094788,0.10441841835785229,0.20015804774420004,0.09688237712965243,0.00019998000199980003,10000,0.0007999200079992001
