cohort,channel,context,source_lag_frames,horizon_frames,source_to_endpoint_frames,scope,reference,method,n_edges,n_positive,prevalence,auroc,auprc,source_macro_auroc,n_macro_sources
historical80,endpoint_mean,state_average,1,1,2,all_common,randi_wild_type,flow,1646,273,0.16585662211421628,0.6799527251093165,0.3300529408685393,0.6498615714518235,44
historical80,endpoint_mean,state_average,1,1,2,all_common,cook_struct,flow,6320,1267,0.2004746835443038,0.6328923669560433,0.3251951727537779,0.6230503539391725,80
historical80,endpoint_mean,state_average,1,1,2,all_common,cook_chem,flow,6320,1145,0.18117088607594936,0.6222250068561063,0.2845077929379135,0.6046533730191401,80
historical80,endpoint_mean,state_average,1,1,2,all_common,cook_gap,flow,6320,321,0.05079113924050633,0.6689427469479596,0.1245924353094555,0.695494415540281,66
historical80,endpoint_mean,state_average,1,1,2,strong_fixed_support,randi_wild_type,flow,1051,139,0.13225499524262607,0.6318156001514577,0.25486715244494784,0.5977589971541923,27
historical80,endpoint_mean,state_average,1,1,2,strong_fixed_support,cook_struct,flow,4503,838,0.18609815678436598,0.6207642115476659,0.2952238375863446,0.6192363005258081,57
historical80,endpoint_mean,state_average,1,1,2,strong_fixed_support,cook_chem,flow,4503,746,0.16566733288918498,0.6088882522062481,0.25601618011177396,0.5966703156953747,57
historical80,endpoint_mean,state_average,1,1,2,strong_fixed_support,cook_gap,flow,4503,231,0.051299133910726186,0.6621197934400181,0.1294327031901005,0.6803187661985898,47
historical80,endpoint_mean,state_average,1,2,3,all_common,randi_wild_type,flow,1646,273,0.16585662211421628,0.680046101022066,0.3254029956207123,0.6489235206089077,44
historical80,endpoint_mean,state_average,1,2,3,all_common,cook_struct,flow,6320,1267,0.2004746835443038,0.630850162703129,0.32285576929966275,0.6173169009689102,80
historical80,endpoint_mean,state_average,1,2,3,all_common,cook_chem,flow,6320,1145,0.18117088607594936,0.6195528553045165,0.2824789472818261,0.597780601969335,80
historical80,endpoint_mean,state_average,1,2,3,all_common,cook_gap,flow,6320,321,0.05079113924050633,0.6713065884812577,0.12373095046105341,0.6952594663747376,66
historical80,endpoint_mean,state_average,1,2,3,strong_fixed_support,randi_wild_type,flow,1051,139,0.13225499524262607,0.6341979048340275,0.2538322840037296,0.5990721690502224,27
historical80,endpoint_mean,state_average,1,2,3,strong_fixed_support,cook_struct,flow,4503,838,0.18609815678436598,0.6204202170437637,0.29367005724704853,0.6144107196474774,57
historical80,endpoint_mean,state_average,1,2,3,strong_fixed_support,cook_chem,flow,4503,746,0.16566733288918498,0.6082519065394284,0.2547539508402799,0.5907949504441249,57
historical80,endpoint_mean,state_average,1,2,3,strong_fixed_support,cook_gap,flow,4503,231,0.051299133910726186,0.665908685571607,0.1290139636740047,0.6837727052358481,47
historical80,endpoint_mean,state_average,1,4,5,all_common,randi_wild_type,flow,1646,273,0.16585662211421628,0.6755026958959952,0.3105125397865126,0.6461011440963019,44
historical80,endpoint_mean,state_average,1,4,5,all_common,cook_struct,flow,6320,1267,0.2004746835443038,0.6269930215641587,0.318844434830418,0.6098484570918548,80
historical80,endpoint_mean,state_average,1,4,5,all_common,cook_chem,flow,6320,1145,0.18117088607594936,0.6148812522414193,0.2791130541925949,0.5882792343954556,80
