source,target,lag,horizon,recording,effect
DVA,DVB,1,1,SBTG:0924_01,0.7084020376205444
DVA,DVB,1,2,SBTG:0924_01,0.6989635229110718
DVA,DVB,1,4,SBTG:0924_01,0.6766549348831177
DVA,DVB,1,8,SBTG:0924_01,0.6238881349563599
DVA,DVB,1,16,SBTG:0924_01,0.5096357464790344
DVA,DVB,1,32,SBTG:0924_01,0.30143728852272034
DVA,DVB,1,1,SBTG:0924_02,0.7707910537719727
DVA,DVB,1,2,SBTG:0924_02,0.7614798545837402
DVA,DVB,1,4,SBTG:0924_02,0.7434821724891663
DVA,DVB,1,8,SBTG:0924_02,0.6839916706085205
DVA,DVB,1,16,SBTG:0924_02,0.5702868700027466
DVA,DVB,1,32,SBTG:0924_02,0.383800208568573
DVA,DVB,1,1,SBTG:0924_03,0.7082035541534424
DVA,DVB,1,2,SBTG:0924_03,0.7010650634765625
DVA,DVB,1,4,SBTG:0924_03,0.6703155040740967
DVA,DVB,1,8,SBTG:0924_03,0.6326833963394165
DVA,DVB,1,16,SBTG:0924_03,0.5523735284805298
DVA,DVB,1,32,SBTG:0924_03,0.4282190799713135
DVA,DVB,1,1,SBTG:0925_01,0.6496646404266357
DVA,DVB,1,2,SBTG:0925_01,0.6409345865249634
DVA,DVB,1,4,SBTG:0925_01,0.628301739692688
DVA,DVB,1,8,SBTG:0925_01,0.5899416208267212
DVA,DVB,1,16,SBTG:0925_01,0.48512184619903564
DVA,DVB,1,32,SBTG:0925_01,0.3053964674472809
DVA,DVB,1,1,SBTG:0925_04,0.7801326513290405
DVA,DVB,1,2,SBTG:0925_04,0.781036376953125
DVA,DVB,1,4,SBTG:0925_04,0.7781258821487427
DVA,DVB,1,8,SBTG:0925_04,0.7438626885414124
DVA,DVB,1,16,SBTG:0925_04,0.632355272769928
DVA,DVB,1,32,SBTG:0925_04,0.39239993691444397
DVA,DVB,1,1,SBTG:0928_01,0.7109388709068298
DVA,DVB,1,2,SBTG:0928_01,0.7145963311195374
DVA,DVB,1,4,SBTG:0928_01,0.7014042139053345
DVA,DVB,1,8,SBTG:0928_01,0.6716208457946777
DVA,DVB,1,16,SBTG:0928_01,0.5593791604042053
DVA,DVB,1,32,SBTG:0928_01,0.33530092239379883
DVA,DVB,1,1,SBTG:0928_03,0.725456953048706
DVA,DVB,1,2,SBTG:0928_03,0.7130550742149353
DVA,DVB,1,4,SBTG:0928_03,0.6949372291564941
DVA,DVB,1,8,SBTG:0928_03,0.6481884717941284
DVA,DVB,1,16,SBTG:0928_03,0.5386089086532593
DVA,DVB,1,32,SBTG:0928_03,0.3025771379470825
DVA,DVB,1,1,SBTG:0928_05,0.002392798662185669
DVA,DVB,1,2,SBTG:0928_05,0.04783166944980621
DVA,DVB,1,4,SBTG:0928_05,0.0506516769528389
DVA,DVB,1,8,SBTG:0928_05,0.09259921312332153
DVA,DVB,1,16,SBTG:0928_05,0.13851571083068848
DVA,DVB,1,32,SBTG:0928_05,0.12919354438781738
DVA,DVB,1,1,SBTG:0928_07,0.7546396255493164
DVA,DVB,1,2,SBTG:0928_07,0.7546333074569702
DVA,DVB,1,4,SBTG:0928_07,0.7450400590896606
DVA,DVB,1,8,SBTG:0928_07,0.7095741629600525
DVA,DVB,1,16,SBTG:0928_07,0.6004884243011475
DVA,DVB,1,32,SBTG:0928_07,0.3848973512649536
DVA,DVB,1,1,SBTG:0928_08,0.8546609878540039
DVA,DVB,1,2,SBTG:0928_08,0.8452891111373901
DVA,DVB,1,4,SBTG:0928_08,0.8190498352050781
DVA,DVB,1,8,SBTG:0928_08,0.7619463801383972
DVA,DVB,1,16,SBTG:0928_08,0.6466872692108154
DVA,DVB,1,32,SBTG:0928_08,0.43736857175827026
DVA,DVB,1,1,SBTG:0928_11,0.7136901617050171
DVA,DVB,1,2,SBTG:0928_11,0.7071513533592224
DVA,DVB,1,4,SBTG:0928_11,0.6755766868591309
DVA,DVB,1,8,SBTG:0928_11,0.6349973678588867
DVA,DVB,1,16,SBTG:0928_11,0.554376482963562
DVA,DVB,1,32,SBTG:0928_11,0.40381336212158203
DVA,DVB,1,1,SBTG:0928_13,0.7615101933479309
DVA,DVB,1,2,SBTG:0928_13,0.736924409866333
DVA,DVB,1,4,SBTG:0928_13,0.6890577673912048
DVA,DVB,1,8,SBTG:0928_13,0.6232759356498718
DVA,DVB,1,16,SBTG:0928_13,0.5257587432861328
DVA,DVB,1,32,SBTG:0928_13,0.3715142607688904
DVA,DVB,1,1,SBTG:0929_02,0.8484537601470947
DVA,DVB,1,2,SBTG:0929_02,0.8244552612304688
DVA,DVB,1,4,SBTG:0929_02,0.7872841358184814
DVA,DVB,1,8,SBTG:0929_02,0.727931022644043
DVA,DVB,1,16,SBTG:0929_02,0.6009740829467773
DVA,DVB,1,32,SBTG:0929_02,0.39057308435440063
DVA,DVB,1,1,SBTG:0929_03,0.7983740568161011
DVA,DVB,1,2,SBTG:0929_03,0.7942781448364258
DVA,DVB,1,4,SBTG:0929_03,0.7745689749717712
DVA,DVB,1,8,SBTG:0929_03,0.7327772378921509
DVA,DVB,1,16,SBTG:0929_03,0.6351448893547058
DVA,DVB,1,32,SBTG:0929_03,0.4497542977333069
DVA,DVB,1,1,SBTG:0929_05,0.7606399059295654
DVA,DVB,1,2,SBTG:0929_05,0.7474254369735718
DVA,DVB,1,4,SBTG:0929_05,0.721695065498352
DVA,DVB,1,8,SBTG:0929_05,0.6761064529418945
DVA,DVB,1,16,SBTG:0929_05,0.5564903616905212
DVA,DVB,1,32,SBTG:0929_05,0.3383125066757202
DVA,DVB,1,1,SBTG:0929_06,0.7789041996002197
DVA,DVB,1,2,SBTG:0929_06,0.772287130355835
DVA,DVB,1,4,SBTG:0929_06,0.7433539628982544
DVA,DVB,1,8,SBTG:0929_06,0.6719818711280823
DVA,DVB,1,16,SBTG:0929_06,0.5491583347320557
DVA,DVB,1,32,SBTG:0929_06,0.3616994023323059
DVA,DVB,1,1,SBTG:0929_07,1.143162727355957
DVA,DVB,1,2,SBTG:0929_07,1.1335309743881226
DVA,DVB,1,4,SBTG:0929_07,1.106701135635376
DVA,DVB,1,8,SBTG:0929_07,1.0636155605316162
DVA,DVB,1,16,SBTG:0929_07,0.8975832462310791
DVA,DVB,1,32,SBTG:0929_07,0.5742994546890259
DVA,DVB,1,1,SBTG:1030_03,0.741861879825592
DVA,DVB,1,2,SBTG:1030_03,0.7209410667419434
DVA,DVB,1,4,SBTG:1030_03,0.6938319802284241
DVA,DVB,1,8,SBTG:1030_03,0.6584383845329285
DVA,DVB,1,16,SBTG:1030_03,0.575893223285675
DVA,DVB,1,32,SBTG:1030_03,0.41603684425354004
DVA,DVB,1,1,SBTG:1104_08,0.7190059423446655
DVA,DVB,1,2,SBTG:1104_08,0.7175818085670471
DVA,DVB,1,4,SBTG:1104_08,0.6874623894691467
DVA,DVB,1,8,SBTG:1104_08,0.6476120352745056
DVA,DVB,1,16,SBTG:1104_08,0.528538167476654
DVA,DVB,1,32,SBTG:1104_08,0.3056454658508301
DVA,DVB,1,1,SBTG:1104_10,0.7049445509910583
DVA,DVB,1,2,SBTG:1104_10,0.6840513348579407
DVA,DVB,1,4,SBTG:1104_10,0.6559467315673828
DVA,DVB,1,8,SBTG:1104_10,0.6131653189659119
DVA,DVB,1,16,SBTG:1104_10,0.5410556197166443
DVA,DVB,1,32,SBTG:1104_10,0.41131240129470825
DVA,DVB,4,1,SBTG:0924_01,0.6791102886199951
DVA,DVB,4,2,SBTG:0924_01,0.6636126637458801
DVA,DVB,4,4,SBTG:0924_01,0.6390556693077087
DVA,DVB,4,8,SBTG:0924_01,0.5784319043159485
DVA,DVB,4,16,SBTG:0924_01,0.45119190216064453
DVA,DVB,4,32,SBTG:0924_01,0.2854616343975067
DVA,DVB,4,1,SBTG:0924_02,0.7008618116378784
DVA,DVB,4,2,SBTG:0924_02,0.6944941878318787
DVA,DVB,4,4,SBTG:0924_02,0.6746975183486938
DVA,DVB,4,8,SBTG:0924_02,0.631675660610199
DVA,DVB,4,16,SBTG:0924_02,0.5621843338012695
DVA,DVB,4,32,SBTG:0924_02,0.42583465576171875
DVA,DVB,4,1,SBTG:0924_03,0.853896975517273
DVA,DVB,4,2,SBTG:0924_03,0.8387231826782227
DVA,DVB,4,4,SBTG:0924_03,0.8076617121696472
DVA,DVB,4,8,SBTG:0924_03,0.7508546113967896
DVA,DVB,4,16,SBTG:0924_03,0.6452328562736511
DVA,DVB,4,32,SBTG:0924_03,0.4660196900367737
DVA,DVB,4,1,SBTG:0925_01,0.758333683013916
DVA,DVB,4,2,SBTG:0925_01,0.7499759197235107
DVA,DVB,4,4,SBTG:0925_01,0.7284660935401917
DVA,DVB,4,8,SBTG:0925_01,0.6809462308883667
DVA,DVB,4,16,SBTG:0925_01,0.5630286931991577
DVA,DVB,4,32,SBTG:0925_01,0.3546917140483856
DVA,DVB,4,1,SBTG:0925_04,0.6984742879867554
DVA,DVB,4,2,SBTG:0925_04,0.6927968263626099
DVA,DVB,4,4,SBTG:0925_04,0.6779199242591858
DVA,DVB,4,8,SBTG:0925_04,0.6306778788566589
DVA,DVB,4,16,SBTG:0925_04,0.514789342880249
