cohort,channel,context,lag,horizon,comparison,scope,n_edges,spearman,rmse,sign_agreement
historical80,endpoint_mean,state_average,1,1,generator_0_vs_1,all,6320,0.6468196291104605,0.034628607,0.7384493670886076
historical80,endpoint_mean,state_average,1,1,generator_0_vs_1,strong,4503,0.6613397774149795,0.031125443,0.7410615145458583
historical80,endpoint_mean,state_average,1,1,generator_0_vs_2,all,6320,0.6487200639645411,0.03371599,0.7379746835443038
historical80,endpoint_mean,state_average,1,1,generator_0_vs_2,strong,4503,0.6588461676721846,0.030497318,0.7399511436819898
historical80,endpoint_mean,state_average,1,1,generator_1_vs_2,all,6320,0.6729182021194502,0.03297783,0.7507911392405063
historical80,endpoint_mean,state_average,1,1,generator_1_vs_2,strong,4503,0.6788284017401152,0.030008363,0.7492782589384854
historical80,endpoint_mean,state_average,1,1,independent_MC,all,6320,0.9015341929312392,0.017804118,0.8659810126582278
historical80,endpoint_mean,state_average,1,1,independent_MC,strong,4503,0.9147248387312124,0.0151111195,0.8765267599378193
historical80,endpoint_mean,state_average,1,1,direct_N4096,all,6320,0.8753569675731872,0.020249303,0.8387658227848102
historical80,endpoint_mean,state_average,1,1,direct_N4096,strong,4503,0.8812763706513759,0.018354177,0.841883188985121
historical80,endpoint_mean,state_average,1,2,generator_0_vs_1,all,6320,0.6650206573531177,0.034450464,0.7444620253164557
historical80,endpoint_mean,state_average,1,2,generator_0_vs_1,strong,4503,0.6759808471070737,0.031047527,0.7441705529646903
historical80,endpoint_mean,state_average,1,2,generator_0_vs_2,all,6320,0.6672091923713649,0.033474095,0.7447784810126582
historical80,endpoint_mean,state_average,1,2,generator_0_vs_2,strong,4503,0.674190802499205,0.030307453,0.746613368865201
historical80,endpoint_mean,state_average,1,2,generator_1_vs_2,all,6320,0.6911598420879694,0.032753106,0.7604430379746835
historical80,endpoint_mean,state_average,1,2,generator_1_vs_2,strong,4503,0.6958619893978469,0.029764464,0.7599378192316234
historical80,endpoint_mean,state_average,1,2,independent_MC,all,6320,0.9091517171825487,0.01744315,0.867879746835443
historical80,endpoint_mean,state_average,1,2,independent_MC,strong,4503,0.9206607739538054,0.014845717,0.8776371308016878
historical80,endpoint_mean,state_average,1,2,direct_N4096,all,6320,0.8727170070454126,0.021003913,0.8371835443037975
historical80,endpoint_mean,state_average,1,2,direct_N4096,strong,4503,0.8756507594725013,0.019149702,0.8367754830113258
historical80,endpoint_mean,state_average,1,4,generator_0_vs_1,all,6320,0.692827228189394,0.034166284,0.7575949367088608
historical80,endpoint_mean,state_average,1,4,generator_0_vs_1,strong,4503,0.7032398392029227,0.030762848,0.7559404841216967
historical80,endpoint_mean,state_average,1,4,generator_0_vs_2,all,6320,0.6954460729039434,0.033122323,0.7556962025316456
historical80,endpoint_mean,state_average,1,4,generator_0_vs_2,strong,4503,0.7004007003201658,0.029934691,0.7552742616033755
historical80,endpoint_mean,state_average,1,4,generator_1_vs_2,all,6320,0.7199536258561494,0.032337368,0.7724683544303798
historical80,endpoint_mean,state_average,1,4,generator_1_vs_2,strong,4503,0.7231826145927921,0.02928813,0.7683766377970243
historical80,endpoint_mean,state_average,1,4,independent_MC,all,6320,0.9215518622883901,0.01676755,0.8772151898734177
historical80,endpoint_mean,state_average,1,4,independent_MC,strong,4503,0.9308280028013527,0.014349238,0.8858538751943149
historical80,endpoint_mean,state_average,1,4,direct_N4096,all,6320,0.8758688549569876,0.021807745,0.8477848101265822
historical80,endpoint_mean,state_average,1,4,direct_N4096,strong,4503,0.8775938362885632,0.020005153,0.8465467466133688
historical80,endpoint_mean,state_average,1,8,generator_0_vs_1,all,6320,0.7284500053011623,0.03452521,0.7781645569620254
historical80,endpoint_mean,state_average,1,8,generator_0_vs_1,strong,4503,0.7369908940459561,0.03099393,0.7779258272262936
historical80,endpoint_mean,state_average,1,8,generator_0_vs_2,all,6320,0.7297393503922258,0.033455845,0.7778481012658228
historical80,endpoint_mean,state_average,1,8,generator_0_vs_2,strong,4503,0.73142523172797,0.030177126,0.7763713080168776
historical80,endpoint_mean,state_average,1,8,generator_1_vs_2,all,6320,0.7531298891280854,0.032593004,0.7854430379746835
historical80,endpoint_mean,state_average,1,8,generator_1_vs_2,strong,4503,0.7545365259945688,0.02939823,0.7830335332000888
historical80,endpoint_mean,state_average,1,8,independent_MC,all,6320,0.9387226797789113,0.015808353,0.8949367088607595
historical80,endpoint_mean,state_average,1,8,independent_MC,strong,4503,0.945403665250215,0.013616549,0.8996224739062847
historical80,endpoint_mean,state_average,1,8,direct_N4096,all,6320,0.874382349087815,0.023679543,0.8496835443037974
historical80,endpoint_mean,state_average,1,8,direct_N4096,strong,4503,0.8741591599615416,0.02212238,0.8507661558960693
historical80,endpoint_mean,state_average,1,16,generator_0_vs_1,all,6320,0.747869907360182,0.03706645,0.789873417721519
historical80,endpoint_mean,state_average,1,16,generator_0_vs_1,strong,4503,0.7544714030565868,0.03262686,0.7925827226293582
historical80,endpoint_mean,state_average,1,16,generator_0_vs_2,all,6320,0.7493275174469193,0.035882417,0.7871835443037974
