cohort,panel,normalization,first,second,scope,horizon,eligible_cells,total_cells,coverage,mean_abs_difference,rmse,median_abs_difference,mean_abs_first,mean_abs_second,median_mc_sd_first,median_mc_sd_second,median_paired_se,median_change_over_se,fraction_change_over_2se,spearman,sign_agreement
historical80,derivative,normalized_effect,1.0,0.5,valid_positive_gap,all,26070,30336,0.859375,0.040879510621984194,0.05537536239148689,0.03149590423951547,0.05948158442261257,0.06715168259126436,0.0368741665111816,0.06253906023951072,0.03815137791191589,0.8331283490081094,0.18224012274645185,0.7551434313143958,0.7975067126965861
historical80,derivative,normalized_effect,1.0,0.5,valid_positive_gap,1,4345,5056,0.859375,0.044849640422950955,0.06019049841938419,0.035007257635394695,0.05690681448930564,0.06650663769325466,0.04075302135219485,0.06908171699157047,0.04235478214496792,0.8516667027090272,0.1811277330264672,0.691412620137681,0.7703107019562716
historical80,derivative,normalized_effect,1.0,0.5,valid_gap_ge_0.1,all,26070,30336,0.859375,0.040879510621984194,0.05537536239148689,0.03149590423951547,0.05948158442261257,0.06715168259126436,0.0368741665111816,0.06253906023951072,0.03815137791191589,0.8331283490081094,0.18224012274645185,0.7551434313143958,0.7975067126965861
historical80,derivative,normalized_effect,1.0,0.5,valid_gap_ge_0.1,1,4345,5056,0.859375,0.044849640422950955,0.06019049841938419,0.035007257635394695,0.05690681448930564,0.06650663769325466,0.04075302135219485,0.06908171699157047,0.04235478214496792,0.8516667027090272,0.1811277330264672,0.691412620137681,0.7703107019562716
historical80,derivative,normalized_effect,0.5,0.25,valid_positive_gap,all,25596,30336,0.84375,0.07612867334281002,0.10142020199580369,0.05938054423313581,0.06618915616187168,0.08918104421195906,0.06219916304246584,0.11633718918600189,0.07357491352907021,0.8266194827172199,0.17998906079074856,0.4986592281414085,0.6881153305203939
historical80,derivative,normalized_effect,0.5,0.25,valid_positive_gap,1,4266,5056,0.84375,0.0818678336773999,0.10870177964191559,0.064921780799826,0.06593345813056323,0.09174943365270598,0.0687284533638231,0.12688757925503535,0.08132947784984446,0.8074667317064199,0.17369901547116737,0.4307454195987467,0.6673699015471167
historical80,derivative,normalized_effect,0.5,0.25,valid_gap_ge_0.1,all,22752,30336,0.75,0.07245121539151958,0.09565688279329033,0.05723206109056869,0.06505823300576317,0.08530841079321648,0.06007521681537391,0.11100465813446292,0.07089897518276081,0.8262759915205975,0.1812148382559775,0.5037821361481452,0.6906645569620253
historical80,derivative,normalized_effect,0.5,0.25,valid_gap_ge_0.1,1,3792,5056,0.75,0.07769946161778984,0.10211682531361811,0.06254804289589325,0.0647500209223393,0.08757225284269933,0.06621278754128825,0.1215711055309297,0.07881341377853265,0.8084226866242612,0.17431434599156118,0.4363301968302054,0.6711497890295358
historical80,derivative,normalized_effect,1.0,0.25,valid_positive_gap,all,25596,30336,0.84375,0.07094942407856088,0.0941545001559358,0.05612452487306045,0.058348068074914335,0.08918104421195906,0.03675614894844531,0.11633718918600189,0.06827894236914805,0.8193756908317269,0.17819190498515394,0.5616908569657514,0.7103062978590404
historical80,derivative,normalized_effect,1.0,0.25,valid_positive_gap,1,4266,5056,0.84375,0.07672270296410162,0.1014761688714625,0.060566954314708696,0.05616922656185216,0.09174943365270598,0.04065467889378223,0.12688757925503535,0.07442132091179628,0.8140712089779745,0.17580872011251758,0.49107211801853984,0.6781528363806845
