cohort,method,particles,resolved_reference_fraction,stratified_mae,pooled_mae,resolved_run_cells
historical80,direct,4096,0.484856276371308,0.054504146244491035,0.053875056750481175,220629
historical80,direct,16384,0.484856276371308,0.025597584229276587,0.025461056428087984,220629
historical80,progressive,64,0.484856276371308,0.0842148541772712,0.08430014499888236,220629
historical80,progressive,128,0.484856276371308,0.06151026183314774,0.061436728224745434,220629
historical80,progressive,512,0.484856276371308,0.034227866199869186,0.03416602583905416,220629
clean54,direct,4096,0.41801297169811313,0.06400904144270918,0.0635658526030628,127611
clean54,direct,16384,0.41801297169811313,0.02645583042248806,0.026338625038618665,127611
clean54,progressive,64,0.41801297169811313,0.09168428033519302,0.09188189344082438,127611
clean54,progressive,128,0.41801297169811313,0.0668686173234731,0.06696966646880625,127611
clean54,progressive,512,0.41801297169811313,0.0377647747339342,0.037771083458892026,127611
