cohort,reference,method,common_edges_before_strict,status,n_edges,n_positive,prevalence,auroc,auprc,source_macro_auroc,n_macro_sources
historical80,randi_wild_type,strict,1646,evaluated,196,10,0.05102040816326531,0.5483870967741935,0.2491396559590259,0.5405707159764557,5
historical80,randi_wild_type,primary_on_strict_mask,1646,evaluated,196,10,0.05102040816326531,0.5483870967741935,0.2491396559590259,0.5405707159764557,5
historical80,randi_wild_type,published_on_strict_mask,1646,evaluated,196,10,0.05102040816326531,0.5973118279569892,0.13966711090223405,0.5796404967914122,5
historical80,cook_struct,strict,6320,evaluated,948,142,0.14978902953586498,0.6485164086254499,0.3052981259084243,0.6897740882748837,12
historical80,cook_struct,primary_on_strict_mask,6320,evaluated,948,142,0.14978902953586498,0.6485164086254499,0.3052981259084243,0.6897740882748837,12
historical80,cook_struct,published_on_strict_mask,6320,evaluated,948,142,0.14978902953586498,0.5876961520986964,0.2426631896817965,0.6392995999201236,12
historical80,cook_chem,strict,6320,evaluated,948,113,0.11919831223628692,0.6215250914101,0.24471125018677575,0.6540027491651946,12
historical80,cook_chem,primary_on_strict_mask,6320,evaluated,948,113,0.11919831223628692,0.6215250914101,0.24471125018677575,0.6540027491651946,12
historical80,cook_chem,published_on_strict_mask,6320,evaluated,948,113,0.11919831223628692,0.5581474219702188,0.19769697386417795,0.6153366585171341,12
historical80,cook_gap,strict,6320,evaluated,948,56,0.05907172995780591,0.7059577194106342,0.22957964141639284,0.7518924467756936,10
historical80,cook_gap,primary_on_strict_mask,6320,evaluated,948,56,0.05907172995780591,0.7059577194106342,0.22957964141639284,0.7518924467756936,10
historical80,cook_gap,published_on_strict_mask,6320,evaluated,948,56,0.05907172995780591,0.6409352978859705,0.14689406157709467,0.7310216104715734,10
clean54,randi_wild_type,strict,1349,no_complete_case_edges,0,0,,,,,0
clean54,randi_wild_type,primary_on_strict_mask,1349,no_complete_case_edges,0,0,,,,,0
clean54,randi_wild_type,published_on_strict_mask,1349,no_complete_case_edges,0,0,,,,,0
clean54,cook_struct,strict,2862,no_complete_case_edges,0,0,,,,,0
clean54,cook_struct,primary_on_strict_mask,2862,no_complete_case_edges,0,0,,,,,0
clean54,cook_struct,published_on_strict_mask,2862,no_complete_case_edges,0,0,,,,,0
clean54,cook_chem,strict,2862,no_complete_case_edges,0,0,,,,,0
clean54,cook_chem,primary_on_strict_mask,2862,no_complete_case_edges,0,0,,,,,0
clean54,cook_chem,published_on_strict_mask,2862,no_complete_case_edges,0,0,,,,,0
clean54,cook_gap,strict,2862,no_complete_case_edges,0,0,,,,,0
clean54,cook_gap,primary_on_strict_mask,2862,no_complete_case_edges,0,0,,,,,0
clean54,cook_gap,published_on_strict_mask,2862,no_complete_case_edges,0,0,,,,,0
