law,data_seed,family,region,event,absolute_error,qualified
bimodal,101,edm,boundary,common,0.10241003836108786,True
bimodal,101,edm,boundary,rare,0.022598989191490296,True
bimodal,101,edm,central,common,0.07853526497284002,True
bimodal,101,edm,central,rare,0.06485981303573954,False
bimodal,101,edm,extrapolated,common,0.40254916646450956,False
bimodal,101,edm,extrapolated,rare,0.07655214842550871,True
bimodal,101,flow,boundary,common,0.22121828533423354,True
bimodal,101,flow,boundary,rare,0.023018357810915907,True
bimodal,101,flow,central,common,0.12613125658433533,True
bimodal,101,flow,central,rare,0.11505550305125006,False
bimodal,101,flow,extrapolated,common,0.2945936004374682,False
bimodal,101,flow,extrapolated,rare,0.06687991630433704,True
bimodal,101,gaussian_diag,boundary,common,0.6101222634713734,True
bimodal,101,gaussian_diag,boundary,rare,0.1800679203675819,True
bimodal,101,gaussian_diag,central,common,0.9658331817661894,True
bimodal,101,gaussian_diag,central,rare,0.18003941506712395,True
bimodal,101,gaussian_diag,extrapolated,common,0.832957088983128,True
bimodal,101,gaussian_diag,extrapolated,rare,0.18004779606350096,True
bimodal,101,gaussian_rank2,boundary,common,0.07531730566558309,True
bimodal,101,gaussian_rank2,boundary,rare,0.3547370374382084,True
bimodal,101,gaussian_rank2,central,common,0.29204751015467945,True
bimodal,101,gaussian_rank2,central,rare,0.493746256544386,True
bimodal,101,gaussian_rank2,extrapolated,common,0.5411602884650089,True
bimodal,101,gaussian_rank2,extrapolated,rare,0.24039143097056226,True
bimodal,101,gp_rbf,boundary,common,0.6101222634713734,True
bimodal,101,gp_rbf,boundary,rare,0.1800679203675819,True
bimodal,101,gp_rbf,central,common,0.9658331817661894,True
bimodal,101,gp_rbf,central,rare,0.18003941506712395,True
bimodal,101,gp_rbf,extrapolated,common,0.832957088983128,True
bimodal,101,gp_rbf,extrapolated,rare,0.18004779606350096,True
bimodal,101,mdn4,boundary,common,0.15619281162183296,True
bimodal,101,mdn4,boundary,rare,0.03597948374844545,True
bimodal,101,mdn4,central,common,0.05193246676638469,True
bimodal,101,mdn4,central,rare,0.05528765674597091,False
bimodal,101,mdn4,extrapolated,common,0.34240448880542806,True
bimodal,101,mdn4,extrapolated,rare,0.05078668300047959,True
bimodal,101,ridge,boundary,common,0.004052091075314013,True
bimodal,101,ridge,boundary,rare,0.43410643417910544,True
bimodal,101,ridge,central,common,0.35165882721950203,True
bimodal,101,ridge,central,rare,0.4341349394795636,True
bimodal,101,ridge,extrapolated,common,0.2187827344364407,True
bimodal,101,ridge,extrapolated,rare,0.43412655848318615,True
bimodal,101,student_rank2,boundary,common,0.04888462891093592,True
bimodal,101,student_rank2,boundary,rare,0.5832507769454719,True
bimodal,101,student_rank2,central,common,0.30178843291084556,True
bimodal,101,student_rank2,central,rare,0.8084508551840475,True
bimodal,101,student_rank2,extrapolated,common,0.593972138140609,True
bimodal,101,student_rank2,extrapolated,rare,0.2282237391666352,True
bimodal,101,transformer_mdn4,boundary,common,0.13646602449933176,True
bimodal,101,transformer_mdn4,boundary,rare,0.045894476155855096,True
bimodal,101,transformer_mdn4,central,common,0.294698071540328,True
bimodal,101,transformer_mdn4,central,rare,0.0650438312776338,False
bimodal,101,transformer_mdn4,extrapolated,common,0.15434109037705063,True
bimodal,101,transformer_mdn4,extrapolated,rare,0.020905946777155446,True
bimodal,202,edm,boundary,common,0.11731010188587038,True
bimodal,202,edm,boundary,rare,0.0734765434791834,False
bimodal,202,edm,central,common,0.048989988536664975,True
bimodal,202,edm,central,rare,0.05577287717951205,False
bimodal,202,edm,extrapolated,common,0.5099675146408482,False
bimodal,202,edm,extrapolated,rare,0.05737245844314551,True
bimodal,202,flow,boundary,common,0.08638383798637495,True
bimodal,202,flow,boundary,rare,0.09960975459693445,False
bimodal,202,flow,central,common,0.03702724587332351,True
bimodal,202,flow,central,rare,0.061488288858297595,False
